馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
シゲルオウミ,7,7.4,1.9,2.9,1800,1,1,1,468,0,54.0,3,127.0,12,10,54,9,9,8,37.8,468,-4,0.1,9,82.8,18,11,17,18,34.9,472,+2,0.6,7,96.6,18,13,11,10,34.2,470,+2,0.5,3,108.9,10,13,34.7,468,0,0.5,7,109.3,18,34.9,468,-4,0.4
ブルーダイアモンド,8,27.5,5.5,9.2,1800,1,2,15,428,-6,51.0,0,0,0,0,0,0,0,0,0,0,0,0,8,109.3,18,2,5,7,35.4,434,-6,1.5,10,111.8,16,15,11,12,40.9,440,+4,1.9,12,110.7,7,14,35.8,436,+6,1.7,15,112.9,9,36.2,430,0,3.0
ラディーア,13,7.5,1.7,2.6,1800,2,3,5,442,+4,54.0,6,116.4,12,7,54,3,4,3,40.0,438,0,2.1,9,96.6,16,6,2,2,35.6,438,0,1.3,9,123.8,16,10,2,2,37.5,438,-4,1.7,6,96.2,2,4,35.0,442,0,0.7,0,0,0,0,0,0,0
ワイドショー,9,17.9,4.4,7.3,1800,2,4,9,486,+6,54.0,13,110.5,18,2,54,8,8,0,36.8,480,0,2.1,3,109.1,18,5,7,8,35.2,480,-2,0.2,15,112.0,16,9,9,10,37.5,482,-8,1.8,11,97.5,8,2,36.2,490,0,0.9,0,0,0,0,0,0,0
ディパーテッド,5,14.4,3.9,6.5,1800,3,5,6,444,+4,54.0,10,96.9,18,18,51,15,16,0,34.0,440,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィラデルフィア,12,15.6,4.0,6.6,1800,3,6,7,416,-4,54.0,14,82.9,18,8,54,17,17,0,34.6,420,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウラバンド,2,5.6,1.7,2.6,1800,4,7,5,446,+6,54.0,9,82.5,18,10,54,13,15,0,35.7,440,+2,0.9,3,81.8,18,10,3,4,34.7,438,+10,0.1,10,88.5,16,6,9,9,39.5,428,0,2.1,15,112.9,12,7,42.8,428,-4,3.0,6,97.3,6,35.4,432,0,0.4
アグリナデシコ,10,24.9,4.8,8.0,1800,4,8,4,438,0,51.0,8,109.6,18,4,51,6,7,0,35.3,438,-2,0.9,13,94.9,18,5,9,9,34.9,440,-6,1.3,7,108.9,18,4,7,9,34.8,446,+2,1.1,7,110.5,3,11,35.8,444,0,1.1,0,0,0,0,0,0,0
マイネマレフィカ,1,2.8,1.1,1.3,1800,5,9,2,432,+2,54.0,4,97.0,16,4,54,1,1,1,35.0,430,+2,0.2,4,96.3,18,6,7,7,34.1,428,0,0.2,3,94.6,18,4,3,3,35.4,428,+2,0.3,6,107.3,9,7,35.8,426,-2,1.6,6,96.6,8,35.8,428,-4,0.7
ドリームノート,14,109.5,20.3,34.9,1800,5,10,14,442,-20,54.0,12,135.9,16,8,54,8,8,6,37.2,462,-6,1.6,14,120.5,15,5,14,12,42.4,468,+10,4.3,11,96.5,16,3,15,15,36.5,458,+6,1.8,13,98.3,9,13,35.9,452,-6,1.4,16,120.4,11,41.6,458,+2,4.9
