馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ミライヘノマイ,4,120.8,16.2,57.1,1800,1,1,12,486,+4,54.0,8,83.2,18,3,52,12,12,0,35.0,482,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドラゴンキングダム,1,1.3,1.1,1.1,1800,2,2,3,514,-2,56.0,2,116.0,16,16,55,2,2,2,38.8,516,0,0.2,2,100.8,16,8,3,3,36.9,516,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブラックエミオ,12,13.9,2.2,6.6,1800,2,3,9,474,+4,56.0,4,96.7,13,4,55,8,7,0,34.4,470,+2,0.0,4,96.2,12,3,8,8,34.5,468,+10,0.5,3,100.8,10,1,2,2,35.6,458,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブルーミーフラワー,7,11.7,1.8,5.1,1800,3,4,3,482,-6,56.0,4,119.1,13,1,55,2,2,2,38.8,488,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウインシンデレラ,15,178.1,25.6,91.2,1800,3,5,4,432,-8,54.0,11,101.8,16,16,54,11,11,11,36.3,440,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダノンフォーミュラ,11,46.8,6.4,21.6,1800,4,6,5,486,0,56.0,9,70.9,16,7,55,13,14,0,35.5,486,+2,0.7,12,85.2,13,4,5,6,36.9,484,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レイニーアプローズ,13,238.7,21.3,75.6,1800,4,7,3,476,+4,56.0,8,118.8,16,15,55,7,6,4,41.6,472,0,1.6,11,124.3,15,6,2,2,36.4,472,+10,1.2,10,132.6,10,3,5,2,41.8,462,+2,4.2,8,110.9,11,6,36.2,460,-2,0.5,9,109.5,4,40.0,462,+4,2.1
マイネルヴィクター,14,430.1,73.9,265.2,1800,5,8,4,456,+2,56.0,16,113.3,16,13,55,12,12,16,36.3,454,-8,2.1,9,113.1,13,10,5,6,36.1,462,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ケージープリサイス,9,145.4,12.8,44.9,1800,5,9,12,516,+4,56.0,9,102.4,12,7,55,4,4,0,40.2,512,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デピュティイモン,6,86.4,10.2,35.4,1800,6,10,4,428,+6,54.0,6,101.4,16,10,54,6,5,5,36.5,422,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デンジャラー,10,134.2,15.7,55.2,1800,6,11,4,454,+12,54.0,15,126.4,18,15,54,16,15,17,36.2,442,0,1.0,9,110.0,18,9,16,17,34.7,442,+2,0.9,8,87.6,12,9,11,9,37.4,440,+2,1.5,6,96.3,11,8,34.7,438,-2,0.6,10,99.9,5,37.2,440,-10,1.1
センノイギダー,5,452.0,65.4,234.6,1800,7,12,4,468,+2,56.0,18,126.6,18,7,55,9,9,7,36.9,466,0,1.2,7,97.9,11,7,3,4,35.4,466,-2,1.2,11,88.9,18,7,13,14,36.0,468,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ユズノカオリ,8,22.7,3.8,12.4,1800,7,13,4,460,+4,54.0,8,111.8,16,2,54,4,4,3,35.9,456,-6,0.6,3,108.4,16,16,12,12,35.5,462,0,0.2,5,96.5,17,1,6,6,35.5,462,+2,1.1,3,97.6,10,6,34.1,460,0,0.2,0,0,0,0,0,0,0
ワイルドコットン,2,7.9,1.7,4.6,1800,8,14,13,500,+16,56.0,8,98.8,16,12,55,8,7,0,37.2,484,+2,1.6,2,117.6,16,10,7,7,41.0,482,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジーガークリスタル,3,11.1,1.7,4.8,1800,8,15,2,538,+2,56.0,4,115.9,16,5,55,9,8,8,40.6,536,-4,0.9,6,101.2,12,4,10,10,38.5,540,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
