馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
トレーロマタドール,3,89.8,12.8,21.7,1,0,2000,0,0,1,0,1,1,3,510,+6,0,0,1,3,56.0,0,0,0,0,1,0,0,0,0,0,10,1,0,2000,125.0,0,0,1,0,16,10,3,56,8,9,11,0,35.5,504,0,1.5,0,0,0,0,0,1,0,0,0,0,13,0,1,1800,119.5,0,1,0,0,15,4,3,56,5,6,8,9,40.7,504,-2,2.6,0,0,0,0,0,1,0,0,0,0,14,1,0,2200,140.1,0,1,0,0,16,12,3,56,1,1,1,1,37.0,506,-2,1.1,0,0,0,0,1,0,0,0,0,0,13,1,0,2000,123.2,1,0,0,0,14,4,3,56,14,14,13,0,34.6,508,+2,1.5,0,0,0,0,1,0,0,0,0,0,5,1,0,2000,129.0,1,0,0,0,14,1,3,56,3,4,4,0,34.3,506,0,0.7
スケルツァンド,9,12.9,2.8,4.4,1,0,2000,0,0,1,0,1,2,1,468,0,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,5,1,0,1800,110.7,1,0,0,0,16,11,3,56,11,11,8,4,36.6,468,+6,0.5,0,0,0,0,0,0,0,1,0,0,7,1,0,1800,109.3,1,0,0,0,14,8,3,53,10,13,0,0,35.3,462,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カフェディーン,11,48.8,11.8,20.0,1,0,2000,0,0,1,0,2,3,0,484,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カワキタテンザン,15,340.0,56.6,96.7,1,0,2000,0,0,1,0,2,4,15,488,+16,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,14,0,1,1800,121.0,0,0,0,1,16,12,3,56,11,12,14,14,39.9,472,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイトカイン,13,453.4,65.3,111.5,1,0,2000,0,0,1,0,3,5,2,464,+2,1,0,0,3,53.0,0,0,1,0,0,0,0,0,0,0,9,1,0,2000,123.2,0,1,0,0,16,12,3,53,15,14,13,13,37.4,462,+2,1.2,0,0,0,0,1,0,0,0,0,0,10,0,1,1300,81.9,1,0,0,0,15,11,3,56,12,13,0,0,38.1,460,-2,2.2,0,0,0,0,1,0,0,0,0,0,12,1,0,1400,85.7,0,1,0,0,17,16,3,56,7,10,0,0,34.7,462,-4,1.4,0,0,0,0,0,1,0,0,0,0,12,0,1,1200,76.3,1,0,0,0,16,14,3,56,16,15,0,0,37.4,466,+2,1.7,0,0,0,0,0,1,0,0,0,0,12,0,1,1200,75.0,0,0,1,0,16,11,3,56,12,13,0,0,39.0,464,0,3.3
ダイメイサンデー,12,41.7,5.4,8.9,1,0,2000,0,0,1,0,3,6,1,462,-2,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,5,1,0,2600,165.8,1,0,0,0,16,5,3,56,14,14,14,12,36.3,464,0,0.5,0,0,0,0,1,0,0,0,0,0,8,1,0,1800,109.9,1,0,0,0,18,17,3,56,18,17,15,0,34.5,464,0,0.8,0,0,0,0,1,0,0,0,0,0,7,1,0,2000,123.7,1,0,0,0,12,3,3,56,7,8,8,0,35.4,464,-6,1.0,0,0,0,0,0,1,0,0,0,0,6,1,0,2200,140.9,0,0,0,1,16,14,3,56,7,7,7,9,37.4,470,+8,0.9,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,114.2,0,0,1,0,16,3,3,56,12,12,11,7,38.0,462,-8,0.3
ハンサムボーイ,4,7.3,2.1,3.2,1,0,2000,0,0,1,0,4,7,1,444,+2,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,6,1,0,1800,110.9,1,0,0,0,16,15,3,56,14,15,15,14,36.6,442,-2,0.7,0,0,0,0,1,0,0,0,0,0,7,1,0,2000,124.8,1,0,0,0,16,6,3,56,8,6,8,0,34.3,444,-2,1.3,0,0,1,0,0,0,0,0,0,0,3,1,0,2000,121.2,1,0,0,0,15,13,3,56,14,13,11,9,35.1,446,-6,0.2,0,0,0,0,0,1,0,0,0,0,5,1,0,2200,140.7,0,0,0,1,16,2,3,56,11,11,10,7,36.9,452,+2,0.7,0,0,0,0,0,1,0,0,0,0,4,1,0,2200,136.0,1,0,0,0,14,9,3,56,11,12,12,10,34.7,450,0,0.4
ブリガンディン,10,52.9,9.2,15.4,1,0,2000,0,0,1,0,4,8,1,518,0,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,11,1,0,2600,166.6,1,0,0,0,16,16,3,56,6,6,3,10,37.8,518,0,1.3,0,0,0,0,1,0,0,0,0,0,6,0,1,2100,136.0,1,0,0,0,16,3,3,56,15,15,14,14,37.3,518,0,0.8,0,0,0,0,1,0,0,0,0,0,10,0,1,1600,100.7,0,0,1,0,16,13,3,56,9,9,0,0,38.4,518,+10,1.9,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,117.9,1,0,0,0,15,11,3,56,9,8,4,3,39.4,508,-4,1.0,0,0,0,0,0,1,0,0,0,0,7,1,0,2000,128.4,1,0,0,0,10,7,3,55,7,7,7,7,35.0,512,0,0.7
ダイワプライム,6,4.3,1.4,2.1,1,0,2000,0,0,1,0,5,9,3,504,-2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,9,1,0,2000,124.9,0,0,1,0,16,8,3,56,11,9,9,0,35.6,506,+4,1.4,0,0,0,0,1,0,0,0,0,0,2,1,0,2000,123.6,1,0,0,0,16,3,3,56,4,4,4,0,33.3,502,+4,0.1,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,114.4,0,0,0,1,16,5,3,56,12,12,3,3,37.9,498,0,0.5,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,114.2,0,0,0,1,13,3,3,56,12,11,8,6,38.7,498,-6,0.7,0,0,0,0,0,1,0,0,0,0,3,0,1,1800,115.3,0,0,0,1,16,13,3,56,16,16,13,12,38.7,504,-8,1.3
ベルウッドワンキー,8,69.3,11.5,19.4,1,0,2000,0,0,1,0,5,10,2,470,+2,1,0,0,3,56.0,0,1,0,0,0,0,0,0,0,0,8,1,0,2600,166.9,1,0,0,0,12,8,3,56,2,2,2,4,40.6,468,-2,2.8,0,0,0,1,0,0,0,0,0,0,8,1,0,2200,136.9,0,1,0,0,16,10,3,56,10,10,10,6,36.2,470,-4,0.8,0,0,1,0,0,0,0,0,0,0,5,1,0,2600,161.7,1,0,0,0,16,4,3,56,9,9,10,6,37.0,474,+10,2.0,0,0,0,0,0,0,1,0,0,0,6,1,0,2000,126.9,0,1,0,0,17,2,3,56,9,7,7,6,37.4,464,-2,0.8,0,0,0,0,0,1,0,0,0,0,8,1,0,2200,139.7,0,1,0,0,16,9,3,56,7,7,7,8,35.9,466,-8,0.7
