馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ジョウショーサニー,12,217.5,21.9,37.2,0,1,1800,0,0,1,0,1,1,3,530,+8,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,15,0,1,2100,138.7,0,1,0,0,16,10,3,53,5,4,4,8,40.5,522,0,3.4,0,0,0,0,0,0,0,1,0,0,8,0,1,1800,117.0,1,0,0,0,16,4,3,56,13,11,13,11,38.6,522,0,1.6,0,0,0,0,0,0,0,0,1,0,7,0,1,1800,118.4,1,0,0,0,11,11,3,55,5,5,3,4,41.5,522,+4,3.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1800,118.1,1,0,0,0,16,14,3,55,8,8,5,8,40.5,518,-6,2.8,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,115.6,0,0,1,0,13,10,3,54,10,10,2,2,39.7,524,-2,1.3
キーバージョン,15,387.2,73.0,124.5,0,1,1800,0,0,1,0,1,2,2,476,-2,1,0,0,3,53.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,119.6,1,0,0,0,16,13,3,56,16,15,13,13,40.8,478,-2,4.6,0,0,0,0,0,0,0,1,0,0,16,0,1,1400,90.1,1,0,0,0,16,12,3,56,16,16,0,0,39.0,480,+6,3.4,0,0,0,0,0,0,0,1,0,0,13,1,0,2000,129.9,1,0,0,0,13,6,3,55,10,10,10,11,37.0,474,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アスカノラポール,13,283.3,54.9,93.6,0,1,1800,0,0,1,0,2,3,0,524,-6,1,0,0,3,55.0,0,0,0,0,0,0,0,1,0,0,16,0,1,1800,118.4,0,1,0,0,16,16,3,56,7,8,10,14,41.8,530,-2,4.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,118.9,1,0,0,0,16,5,3,56,14,13,14,14,38.8,532,+4,2.8,0,0,0,0,0,0,0,1,0,0,11,0,1,1800,117.1,0,0,1,0,16,11,3,56,16,16,12,13,38.6,528,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マコトアンバサダー,9,24.4,3.1,4.9,0,1,1800,0,0,1,0,2,4,0,496,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,10,0,1,1800,116.5,0,1,0,0,16,12,3,56,5,5,5,4,40.2,500,+12,2.4,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,118.9,1,0,0,0,16,9,3,56,10,9,11,11,38.3,488,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タマモショパン,7,53.0,7.6,12.6,0,1,1800,0,0,1,0,3,5,2,494,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,7,0,1,1700,109.8,1,0,0,0,15,4,3,56,9,10,10,10,39.3,494,0,1.3,0,0,0,0,0,0,0,0,0,1,6,1,0,1800,112.5,0,1,0,0,16,4,3,56,4,3,8,9,35.6,494,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
イーリス,5,45.5,7.7,12.8,0,1,1800,0,0,1,0,3,6,1,486,-10,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,10,1,0,1800,112.9,1,0,0,0,16,2,3,54,11,11,0,0,35.7,496,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボクサー,8,20.6,4.6,7.4,0,1,1800,0,0,1,0,4,7,6,478,+2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,9,0,1,1800,117.8,1,0,0,0,15,14,3,56,5,5,7,8,40.4,476,-4,1.2,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,109.6,1,0,0,0,13,8,3,55,4,3,0,0,36.8,480,+2,0.5,0,0,0,0,1,0,0,0,0,0,5,1,0,1800,108.9,1,0,0,0,9,1,3,55,2,3,3,0,35.7,478,+4,1.5,0,0,0,0,0,0,0,0,0,1,7,1,0,1800,109.9,1,0,0,0,16,14,3,54,14,14,13,8,36.9,474,-8,1.2,0,0,0,0,0,0,0,1,0,0,7,1,0,1800,111.5,1,0,0,0,10,6,3,54,4,3,0,0,36.7,482,0,1.2
サンライズロイヤル,4,6.3,1.7,2.6,0,1,1800,0,0,1,0,4,8,1,530,-2,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,116.2,1,0,0,0,16,2,3,56,1,1,1,1,39.8,532,-2,0.5,0,0,0,0,0,0,0,1,0,0,6,1,0,2000,128.1,1,0,0,0,10,9,3,56,2,2,2,2,35.5,534,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヤマニンメダイユ,16,3.3,1.3,1.7,0,1,1800,0,0,1,0,5,9,1,476,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,106.4,0,1,0,0,15,4,3,56,6,5,4,3,37.7,476,-2,0.2,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,106.5,0,1,0,0,12,7,3,56,2,2,1,1,37.8,478,0,0.0,0,0,0,0,0,0,0,0,1,0,9,0,1,1400,87.3,1,0,0,0,15,4,3,55,9,8,0,0,39.1,478,+4,1.9,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,106.1,0,0,0,1,16,3,3,55,2,1,1,1,38.3,474,0,0.1,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,87.9,1,0,0,0,16,11,3,55,2,2,0,0,39.2,474,0,1.5
ミヒロ,14,44.5,7.2,11.9,0,1,1800,0,0,1,0,5,10,2,438,-14,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,6,0,1,1400,89.5,1,0,0,0,16,15,3,56,10,10,0,0,39.5,452,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
