馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ムーンライトナイト,12,8.1,2.2,3.0,2000,1,1,2,438,-4,55.0,7,121.4,13,1,55,8,8,8,36.3,442,-2,1.4,4,109.6,15,14,8,6,37.0,444,+4,0.6,3,134.3,18,17,14,14,35.5,440,0,0.0,8,108.5,11,11,35.8,440,+4,0.7,5,120.5,4,34.5,436,+4,1.3
エスコフィオン,9,113.6,18.5,27.4,2000,2,2,1,422,-8,55.0,13,121.3,16,7,55,2,2,2,36.4,430,0,1.7,0,0,0,0,0,0,0,0,0,0,12,135.0,18,4,14,14,36.5,430,-2,1.4,1,111.4,7,3,39.0,432,+7,0.0,2,114.8,5,40.2,425,-2,0.1
ティイ,11,28.4,6.2,9.1,2000,2,3,10,448,-4,53.0,11,135.3,16,9,54,2,2,1,37.5,452,+20,1.2,0,0,0,0,0,0,0,0,0,0,1,123.5,16,16,2,2,36.5,432,+4,-0.2,2,121.7,9,2,37.0,428,-6,0.0,9,149.7,11,37.0,434,-6,1.2
ゴールデンフィジー,10,29.8,8.1,12.0,2000,3,4,7,424,-12,54.0,8,109.4,13,3,53,8,9,9,33.2,436,+14,0.7,11,121.5,16,4,12,12,35.7,422,-6,1.0,7,108.8,13,9,7,7,34.2,428,-2,0.5,1,107.7,15,11,33.5,430,0,0.0,8,109.2,15,34.5,430,0,1.0
ファストライフ,5,8.8,2.7,3.9,2000,3,5,1,440,-2,52.0,7,120.5,16,15,55,2,2,2,35.4,442,0,0.9,6,95.4,14,13,11,11,34.0,442,-8,0.3,3,109.0,13,13,3,3,33.3,450,+4,0.3,6,94.8,11,7,34.5,446,+2,0.5,8,81.9,1,35.0,444,+6,0.5
カーロバンビーナ,2,5.7,1.7,2.1,2000,4,6,6,400,-6,52.0,4,146.4,14,9,54,5,5,8,34.6,406,-2,0.5,7,122.9,18,15,8,8,34.1,408,-2,0.6,6,134.5,18,9,11,13,35.7,410,+12,0.2,3,120.1,2,5,33.1,398,-2,0.5,1,109.6,1,36.3,400,-2,-0.5
ココナッツスルー,15,38.7,9.0,13.3,2000,4,7,13,436,-9,53.0,1,86.0,11,8,54,3,3,2,40.1,445,+8,-0.7,2,86.2,9,8,4,4,40.5,437,-4,0.3,3,86.4,10,6,3,3,41.5,441,-4,0.4,1,85.5,3,1,40.3,445,+2,-0.8,2,85.4,10,40.4,443,-2,0.1
アドマイヤアルパマ,6,10.8,3.3,4.7,2000,5,8,15,428,0,55.0,9,122.7,18,12,55,7,8,6,35.5,428,0,0.6,2,121.3,18,8,3,3,34.5,428,+2,0.4,12,112.6,13,9,3,3,39.0,426,0,2.7,4,122.9,10,7,36.4,426,0,0.6,3,122.9,6,34.6,426,+2,0.3
サツキワルツ,8,11.0,2.6,3.7,2000,5,9,17,444,+4,55.0,7,121.7,18,1,54,7,6,8,34.7,440,-6,0.8,3,120.8,16,13,9,7,35.3,446,-6,0.3,1,121.3,18,5,9,10,35.4,452,+2,-0.1,2,121.2,6,14,34.8,450,+6,0.5,5,107.9,18,34.0,444,+4,0.6
フラッグサルート,4,25.4,5.5,8.0,2000,6,10,4,432,-4,55.0,3,124.6,13,7,55,10,11,9,37.8,436,-4,0.4,16,96.6,16,4,9,10,36.8,440,0,2.1,5,121.2,9,2,4,4,34.8,440,0,1.1,1,110.1,10,14,36.9,440,+4,-0.1,2,160.7,7,35.6,436,+2,0.4
コンダクトレス,3,12.2,2.7,3.9,2000,6,11,15,476,+12,55.0,8,134.9,18,16,53,8,8,11,36.2,464,+8,0.6,2,107.9,16,5,5,3,35.5,456,+12,0.1,12,108.4,13,13,6,6,39.6,444,-8,2.5,13,117.2,14,12,42.3,452,+4,4.3,8,97.9,2,34.7,448,-4,0.8
エマブルーム,14,122.0,29.9,44.4,2000,7,12,20,434,-12,52.0,1,102.7,8,4,54,1,1,1,38.5,446,-3,-0.3,5,123.1,10,3,8,8,39.2,449,+3,1.4,1,88.7,10,7,2,1,37.9,446,+6,-0.6,1,87.4,5,3,38.8,440,-6,-0.4,1,87.5,3,38.5,446,+5,-0.9
ナルハヤ,7,8.7,3.1,4.5,2000,7,13,26,486,-18,52.0,12,165.1,14,14,55,1,1,1,38.5,504,-2,2.5,3,119.5,15,12,1,1,36.2,506,+6,0.4,14,161.3,16,4,3,3,39.2,500,0,2.6,7,107.3,7,3,35.2,500,+6,0.7,5,133.9,2,36.0,494,+10,0.7
レローヴ,13,13.5,3.4,5.0,2000,8,14,5,502,+4,54.0,12,94.8,16,9,53,5,5,4,35.8,498,+2,1.2,2,122.8,13,5,3,3,34.5,496,-4,0.2,3,95.2,16,15,1,1,35.6,500,+10,0.2,3,94.4,16,3,35.3,490,+4,0.4,8,95.4,12,36.0,486,+10,0.7
ジョブックコメン,1,4.2,1.5,1.9,2000,8,15,2,424,-2,52.0,3,120.4,13,6,55,11,11,11,35.1,426,-4,0.4,5,146.5,14,3,1,1,35.1,430,+2,0.6,2,134.2,16,7,8,8,36.1,428,+4,0.1,5,122.7,13,9,36.6,424,+2,0.7,5,134.5,13,36.2,422,-2,0.2
