馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ダイチヴィーゼ,13,398.5,32.7,62.3,1600,1,1,10,466,+6,54.0,13,82.8,16,9,55,6,8,0,38.5,460,0,1.7,8,73.1,15,6,12,10,37.2,460,0,1.9,8,74.8,15,5,13,13,38.1,460,0,1.4,16,74.9,11,2,40.1,460,0,3.5,11,118.6,1,44.1,460,-2,7.7
バイプレーヤー,7,119.5,12.1,22.9,1600,1,2,5,470,-4,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レイジングラン,12,429.2,48.9,93.4,1600,2,3,2,464,-4,56.0,13,120.0,16,6,56,3,3,6,41.3,468,+22,2.8,0,0,0,0,0,0,0,0,0,0,9,118.2,13,5,5,4,41.0,446,-4,3.4,14,100.5,1,14,35.2,450,0,3.5,0,0,0,0,0,0,0
フォーアネーム,8,55.0,5.5,10.1,1600,2,4,3,494,-4,54.0,13,119.5,16,16,54,2,2,2,43.6,498,-2,4.0,3,118.7,15,11,9,7,40.2,500,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
パワーリンク,11,40.5,4.6,8.4,1600,3,5,2,510,+4,56.0,8,118.7,16,6,56,13,13,11,40.2,506,0,1.2,6,119.9,15,6,12,12,40.0,506,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キシャポッポ,10,148.7,16.7,31.6,1600,3,6,0,532,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ルッキングフライ,15,100.4,11.6,21.8,1600,4,7,5,450,0,55.0,14,96.8,16,15,54,9,8,10,38.0,450,+14,2.4,0,0,0,0,0,0,0,0,0,0,5,110.5,12,1,1,1,36.4,436,+2,0.8,7,109.3,6,5,38.2,434,+2,1.9,5,95.6,9,35.2,432,+8,1.3
シルヴァーイーグル,5,66.3,6.8,12.6,1600,4,8,7,506,+6,56.0,8,119.1,16,6,55,1,1,1,42.1,500,+8,2.5,7,117.2,16,9,1,1,40.5,492,-4,1.3,16,114.7,16,7,2,2,36.8,496,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フクノモンルージュ,14,537.3,58.5,111.8,1600,5,9,8,444,0,54.0,15,76.4,16,15,54,15,15,0,38.4,444,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スカテナート,4,3.0,1.1,1.6,1600,5,10,7,458,+4,56.0,2,116.7,16,9,55,13,12,7,39.2,454,-2,0.1,3,100.1,16,15,12,10,37.7,456,0,0.4,2,101.2,12,8,9,5,37.5,456,0,0.1,12,96.9,2,10,35.2,456,0,1.8,7,97.4,10,34.1,456,0,0.6
ビービーゲイル,6,18.1,3.0,5.3,1600,6,11,10,510,+12,54.0,4,87.7,16,9,55,8,8,0,38.2,498,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アルママ,3,3.8,1.2,1.9,1600,6,12,3,444,0,56.0,2,117.4,16,6,56,3,2,1,39.0,444,0,0.0,4,117.5,14,2,1,1,40.8,444,+6,0.3,2,110.0,15,10,2,3,34.2,438,-2,0.2,6,97.4,4,9,33.7,440,+10,1.0,2,91.9,10,35.1,430,0,0.1
マックスアン,1,2.8,1.1,1.6,1600,7,13,2,464,-2,56.0,2,118.4,16,15,56,2,2,2,40.7,466,-2,0.2,3,114.9,16,3,4,4,39.5,468,+12,0.4,4,110.8,8,3,8,6,34.3,456,-2,1.1,6,124.5,4,10,34.4,458,0,0.8,0,0,0,0,0,0,0
フクサンダーク,2,6.1,1.4,2.3,1600,7,14,2,484,-4,54.0,3,118.5,16,13,53,4,3,5,38.5,488,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドラマチックナイト,16,444.4,78.7,150.5,1600,8,15,3,448,-14,53.0,14,75.9,16,16,53,14,14,0,39.0,462,+6,3.5,18,100.6,18,8,18,17,36.1,456,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニコシーナ,9,228.4,27.1,51.6,1600,8,16,6,434,+4,53.0,10,74.0,15,4,51,7,7,0,40.0,430,-8,2.3,7,110.9,13,5,1,1,40.4,438,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
