馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ノーモアゲーム,4,97.1,13.3,20.0,1400,1,1,5,470,+8,56.0,11,87.8,13,8,55,12,12,0,38.9,462,+2,3.3,9,85.8,16,13,11,11,37.5,460,+2,0.9,1,81.5,16,16,10,6,36.8,458,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プリンシパルスター,13,9.4,2.4,3.4,1400,1,2,3,438,-4,56.0,6,70.4,12,9,55,2,2,0,35.7,442,+6,1.0,3,82.2,9,2,5,7,34.5,436,-2,0.1,2,69.6,11,8,2,2,35.2,438,-4,0.1,6,83.0,2,10,34.2,442,-2,0.9,13,95.7,4,35.4,444,+10,1.9
メイショウミラコロ,6,23.6,4.2,6.2,1400,2,3,3,508,-4,56.0,1,86.9,16,4,55,1,1,0,38.3,512,-8,-0.2,3,88.1,16,16,6,3,38.6,520,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヨウチエンコース,11,30.9,7.0,10.5,1400,2,4,6,460,0,56.0,1,87.7,16,3,55,1,1,0,38.7,460,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゼンノサーベイヤー,2,5.1,1.8,2.4,1400,3,5,14,502,+2,56.0,9,87.8,16,12,55,3,2,0,39.1,500,+4,1.9,1,84.7,12,12,3,2,37.4,496,-2,-0.3,2,72.6,12,3,1,2,36.1,498,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レディエントブルー,14,215.3,42.1,64.0,1400,3,6,2,458,+2,54.0,16,74.7,16,1,53,12,11,0,38.8,456,-2,2.3,13,74.3,14,12,2,3,40.6,458,0,2.7,12,99.9,13,13,5,4,40.7,458,+4,3.3,1,71.3,7,10,37.8,454,0,0.0,0,0,0,0,0,0,0
コウエイエンブレム,3,10.6,2.6,3.7,1400,4,7,7,516,+6,56.0,1,74.0,12,2,55,4,4,0,37.8,510,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ロンドンタウン,5,14.9,2.9,4.2,1400,4,8,2,508,-2,56.0,5,73.4,16,6,55,5,5,0,38.1,510,+4,1.0,1,71.1,15,5,3,3,35.7,506,-6,-0.5,2,72.7,12,7,5,5,36.8,512,0,0.1,6,100.5,13,1,40.0,512,0,1.6,0,0,0,0,0,0,0
フィランソロフィー,15,207.1,38.9,59.1,1400,5,9,4,452,-2,56.0,13,70.5,14,9,55,12,13,0,36.2,454,+2,1.6,4,76.1,9,1,8,7,39.4,452,+8,1.2,5,74.7,10,7,9,5,38.4,444,-6,2.1,2,76.3,9,6,39.9,450,+6,0.0,1,61.7,12,37.3,444,0,-0.8
マザックヤース,9,86.1,11.2,16.8,1400,5,10,9,432,+2,54.0,16,84.3,18,10,54,12,14,0,34.3,430,0,1.7,1,72.9,15,9,3,3,37.8,430,+2,-0.1,8,70.5,15,3,5,5,35.4,428,-6,0.3,7,90.4,12,2,36.8,434,+2,1.3,4,71.0,13,35.5,432,0,0.6
デピュティプライム,8,4.5,1.6,2.2,1400,6,11,11,478,+10,56.0,5,86.0,16,7,55,10,9,0,38.9,468,+2,0.8,1,71.5,16,11,5,5,36.0,466,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アドマイヤムテキ,7,18.5,3.6,5.3,1400,6,12,3,482,-4,56.0,9,114.5,12,13,55,4,4,6,38.8,486,0,1.9,1,85.4,13,13,3,3,38.1,486,-4,-0.9,5,85.8,16,5,3,4,38.0,490,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エムティーシャトル,16,320.0,61.0,92.7,1400,7,13,2,486,0,54.0,15,74.6,16,11,54,11,13,0,38.8,486,-2,2.2,5,89.2,11,9,5,5,38.0,488,+2,0.3,5,102.9,10,7,3,3,39.1,486,+4,1.4,1,75.6,11,3,38.3,482,-4,0.0,9,92.4,9,43.1,486,+6,3.4
シゲルナガイワシ,12,177.1,22.0,33.4,1400,7,14,1,452,-4,56.0,10,115.3,14,10,56,10,10,10,39.6,456,+6,3.0,1,116.1,16,7,4,4,38.5,450,-4,-0.2,3,118.2,15,5,8,7,41.1,454,+4,1.1,14,74.9,13,11,38.8,450,+4,3.1,9,96.6,2,34.9,446,0,1.4
ドライヴナイト,1,3.5,1.5,1.9,1400,8,15,9,504,+2,56.0,1,84.8,14,14,55,1,1,0,37.3,502,+2,-0.4,2,73.2,15,11,3,2,37.3,500,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラスベガスシチー,10,8.0,2.3,3.3,1400,8,16,10,516,+4,56.0,1,99.8,14,8,55,8,6,0,38.5,512,-6,-0.6,5,100.4,16,4,7,7,39.3,518,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
