馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
シェアザジョイフル,4,2.7,1.3,1.6,1200,1,1,13,454,-6,53.0,4,71.2,16,8,54,4,4,0,35.9,460,-4,0.3,2,67.5,18,4,4,4,33.7,464,+4,0.1,3,68.9,18,10,3,3,34.9,460,-4,0.1,1,68.1,6,2,35.1,464,+16,-0.1,8,82.0,5,34.8,448,+6,0.8
パドパピヨン,18,123.2,18.8,32.0,1200,1,2,17,426,-8,55.0,0,0,0,0,0,0,0,0,0,0,0,0,14,73.4,16,3,7,8,38.0,434,+2,2.1,14,86.8,16,14,16,11,38.0,432,+2,1.7,14,73.1,8,6,37.4,430,-2,1.8,11,96.5,11,35.9,432,0,1.8
ミリオンフレッシュ,17,38.4,6.0,10.0,1200,2,3,11,484,0,57.0,15,74.1,16,5,57,12,13,0,37.9,484,0,2.7,10,69.6,18,1,9,8,34.8,484,-4,0.6,14,95.9,18,4,14,10,34.5,488,+8,0.9,0,0,0,0,0,0,0,0,7,69.9,4,33.4,480,+2,0.5
テイクウォーニング,15,6.8,1.9,3.0,1200,2,4,46,486,+18,55.0,1,71.2,18,1,54,1,1,0,37.1,468,-2,-0.2,2,69.1,18,15,2,2,35.5,470,+2,0.6,9,70.8,16,2,2,2,35.8,468,+8,1.0,3,70.0,13,5,34.9,460,-4,0.3,6,82.7,6,35.5,464,0,0.3
ブライトボイス,14,15.9,3.1,4.9,1200,3,5,8,498,-2,55.0,13,97.1,16,6,54,2,2,2,36.5,500,+20,1.0,8,89.1,14,13,4,2,36.1,480,-2,1.1,1,82.5,18,14,8,9,35.3,482,-10,0.0,8,82.3,14,3,35.0,492,+2,0.8,3,82.3,8,36.4,490,-2,0.2
デンコウウノ,12,174.7,20.2,34.4,1200,3,6,9,484,+8,57.0,12,70.2,18,4,57,15,14,0,34.8,476,-4,1.1,15,71.0,16,11,15,12,35.5,480,+8,1.5,5,71.2,16,8,13,12,35.7,472,0,0.4,5,70.5,4,9,34.7,472,-2,0.8,5,70.7,6,35.5,474,0,0.8
ランウェイ,1,9.9,2.5,3.9,1200,4,7,22,474,-2,54.0,7,69.8,16,13,50,7,5,0,35.2,476,+10,0.3,2,88.2,14,12,3,3,35.5,466,+2,0.1,12,95.6,14,5,14,13,33.8,464,+2,1.5,1,81.5,5,9,33.6,462,0,-0.2,5,82.6,7,36.3,462,+8,0.5
シセイカスガ,8,116.7,16.9,28.8,1200,4,8,8,410,0,57.0,13,83.4,18,10,57,18,18,0,35.0,410,-8,1.2,9,68.3,18,10,17,17,33.6,418,+6,0.7,5,68.9,18,8,17,16,34.1,412,+10,0.6,11,70.6,4,9,35.7,402,-4,1.0,8,95.5,2,35.4,406,0,0.7
マサノハナチャン,3,19.8,3.5,5.7,1200,5,9,9,438,-8,55.0,6,69.9,18,5,55,12,12,0,34.6,446,-2,0.8,3,70.9,16,16,11,12,36.0,448,-6,0.0,12,82.6,18,12,13,13,34.8,454,+12,1.0,14,70.3,16,9,35.0,442,+6,0.8,8,70.1,16,34.7,436,+2,0.3
クラウンノキミ,7,25.9,4.7,7.7,1200,5,10,14,496,+2,57.0,7,69.3,16,10,55,4,4,0,35.1,494,+4,0.3,4,55.8,18,14,5,0,33.3,490,+6,1.0,12,70.6,16,14,2,2,36.5,484,-10,1.1,5,70.9,4,8,36.0,494,+10,0.4,14,76.3,15,43.0,484,+6,4.2
