馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
クリノリーズ,13,258.6,38.4,75.7,1400,1,1,3,422,+12,52.0,15,72.6,16,5,52,16,16,0,36.1,410,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プラウドフェロー,14,171.7,23.0,45.2,1400,1,2,10,424,-48,54.0,0,0,0,0,0,0,0,0,0,0,0,0,12,122.7,16,8,14,14,36.5,472,+10,1.5,11,119.4,16,11,15,15,40.8,462,-8,2.7,9,112.1,12,9,37.2,470,+2,1.6,7,100.2,17,34.8,468,0,0.5
ヴァタルサイビーチ,7,85.5,9.3,17.9,1400,2,3,4,454,+4,52.0,8,101.7,15,14,54,12,11,0,36.8,450,+2,1.4,6,117.4,15,13,10,10,39.2,448,+10,1.1,13,73.7,16,6,16,16,37.3,438,-14,1.8,12,89.4,4,9,37.8,452,0,1.3,0,0,0,0,0,0,0
ウジヒメ,15,106.7,12.8,25.0,1400,2,4,30,446,-12,54.0,12,103.6,16,15,54,4,3,0,41.1,458,-2,2.9,6,87.0,16,2,12,12,37.6,460,+8,1.5,9,74.3,16,10,12,10,38.1,452,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンデリアーナ,6,9.2,1.8,3.2,1400,3,5,2,506,+6,54.0,4,86.8,16,4,54,6,6,0,38.5,500,-12,0.8,5,101.2,16,8,5,4,38.6,512,-6,1.1,10,73.6,16,15,14,15,38.4,518,+8,0.5,4,73.5,4,4,37.5,510,-12,1.1,9,97.0,2,35.7,522,+6,1.2
ミッキーオフィサー,1,7.7,1.6,2.7,1400,3,6,12,440,+2,54.0,4,73.9,16,15,54,6,4,0,38.3,438,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナナエ,2,14.6,2.6,4.7,1400,4,7,4,424,-16,54.0,8,81.7,16,5,54,4,6,0,37.4,440,+2,0.9,5,73.2,16,8,2,4,37.7,438,+12,0.4,4,73.5,16,9,6,6,38.6,426,-2,1.5,6,86.3,9,1,38.4,428,-8,1.1,8,74.6,14,38.4,436,+4,1.2
シセイキセキ,10,77.3,14.4,28.2,1400,4,8,11,450,-4,54.0,9,75.5,16,3,54,12,10,0,38.2,454,-2,1.9,7,102.5,16,16,5,5,39.5,456,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プレアマール,8,13.6,2.6,4.6,1400,5,9,3,436,+6,54.0,6,86.9,16,14,54,11,10,0,37.4,430,+4,1.0,11,71.1,16,13,2,2,36.8,426,+4,1.4,9,96.4,16,7,2,2,35.8,422,-2,0.4,5,95.8,4,4,36.0,424,-2,0.6,4,97.4,12,35.1,426,0,1.3
ウィンイモン,12,194.6,18.4,36.0,1400,5,10,3,442,+10,52.0,11,110.8,16,4,52,15,14,0,36.9,432,-4,1.9,0,0,0,0,0,0,0,0,0,0,7,111.0,16,4,5,4,35.9,436,+10,1.1,10,123.6,11,7,37.3,426,-2,1.7,12,97.8,3,34.8,428,+12,1.0
モエルオンナ,4,4.4,1.3,1.9,1400,6,11,3,450,+2,51.0,2,80.1,16,13,51,11,11,0,36.3,448,-6,0.4,6,74.1,16,12,6,6,38.5,454,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
テンキセキ,3,18.5,3.8,7.0,1400,6,12,1,472,+2,51.0,4,73.8,15,13,51,4,5,0,37.7,470,0,0.6,14,120.1,16,15,3,3,41.9,470,-2,2.0,12,88.9,16,2,13,13,39.0,472,0,2.1,16,116.6,2,16,38.2,472,0,4.6,0,0,0,0,0,0,0
スプリットセコンド,5,35.4,5.3,10.0,1400,7,13,2,448,-6,54.0,5,73.1,15,15,52,7,6,0,37.9,454,+8,1.7,6,73.2,16,3,3,3,38.9,446,+2,1.5,8,80.8,14,9,11,10,37.3,444,-2,1.5,7,88.4,14,6,39.1,446,+6,1.4,11,85.0,12,38.2,440,0,1.8
フォールリアン,16,309.1,38.8,76.5,1400,7,14,0,404,0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジツリキヤシャ,11,26.9,4.6,8.6,1400,8,15,5,444,+6,53.0,6,70.5,16,6,54,7,6,0,38.3,438,+4,0.9,4,70.9,16,14,4,4,39.0,434,+4,0.3,8,74.2,16,13,6,6,39.1,430,-4,2.0,7,74.5,9,5,38.4,434,0,0.9,0,0,0,0,0,0,0
セシャルマン,9,2.1,1.1,1.3,1400,8,16,3,462,-6,54.0,4,86.7,16,3,54,14,14,0,36.7,468,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
