馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
プリメラアスール,6,18.3,4.3,6.4,1800,1,1,1,498,+10,52.0,6,121.3,13,3,52,3,2,3,35.8,488,-4,0.3,9,122.4,18,13,4,4,37.1,492,+2,0.6,9,115.1,16,1,4,4,39.8,490,+2,1.4,7,134.4,17,3,35.3,488,+16,0.5,6,120.5,4,35.1,472,-10,0.3
ノーブルルージュ,4,17.0,4.3,6.4,1800,2,2,2,452,-2,55.0,6,94.8,16,1,55,1,1,0,36.6,454,+6,0.6,10,83.2,18,2,3,2,37.0,448,-2,1.0,9,81.7,18,12,1,1,36.2,450,+2,0.6,5,93.7,3,1,35.4,448,+2,0.5,8,97.2,7,37.8,446,+4,1.4
コスモアルドラ,3,89.2,11.0,16.8,1800,3,3,0,518,-14,57.0,7,122.9,10,9,57,6,7,6,36.1,532,-2,1.4,14,122.6,18,18,7,7,37.4,534,+10,2.6,11,150.6,11,2,3,3,37.9,524,+18,3.1,10,109.2,4,3,35.3,506,-6,0.7,1,108.4,6,35.4,512,0,0.0
マルクナッテ,12,166.2,21.5,32.7,1800,4,4,1,438,+10,54.0,10,121.6,13,4,55,10,10,11,35.2,428,-2,0.6,10,122.5,18,2,18,18,36.2,430,-4,0.7,10,68.7,18,7,14,15,34.6,434,+6,0.6,13,82.2,3,15,34.6,428,+16,1.1,7,71.6,13,35.7,412,-8,0.4
ミッキーカーニバル,11,6.8,1.8,2.5,1800,4,5,4,476,+8,55.0,14,109.0,16,12,52,5,6,2,37.5,468,-10,0.8,5,94.9,16,5,12,12,34.3,478,+2,0.3,6,122.4,17,6,10,11,36.0,476,0,0.8,4,107.2,18,13,33.6,476,0,0.4,7,95.1,13,33.6,476,+6,0.4
アルトゥーナ,8,38.3,6.0,8.9,1800,5,6,3,446,+6,55.0,6,108.6,14,9,55,10,9,10,35.7,440,+6,0.5,9,81.6,18,7,15,14,34.4,434,+6,0.6,13,94.9,18,4,10,12,33.7,428,-2,0.9,9,89.4,11,13,35.6,430,0,0.7,8,68.8,5,34.2,430,+10,0.4
サイバーロイド,13,14.5,3.8,5.5,1800,5,7,21,502,-3,57.0,1,103.8,8,4,56,2,1,1,37.6,505,0,-0.7,7,109.3,10,3,5,5,44.3,505,+4,3.4,1,91.3,8,8,1,1,39.4,501,0,-0.2,2,90.3,2,1,40.4,501,-8,0.3,3,90.5,7,39.6,509,-9,1.8
チャップリン,7,5.2,1.8,2.5,1800,6,8,1,488,-2,57.0,3,113.8,9,7,57,2,2,2,38.6,490,+4,0.3,4,123.8,12,8,6,6,37.5,486,0,0.5,5,114.3,16,7,7,7,38.5,486,+4,0.6,9,113.7,15,8,39.2,482,+12,1.9,7,108.5,9,38.4,470,-8,1.0
ダブルイーグル,2,49.4,7.1,10.8,1800,6,9,2,480,+2,57.0,12,95.2,16,11,57,13,14,0,35.2,478,0,1.0,7,95.0,18,15,16,16,33.7,478,-2,0.9,6,121.2,13,8,11,12,34.8,480,+4,0.7,5,149.1,4,10,33.7,476,0,0.8,7,121.6,3,35.8,476,-14,0.6
クールジョーカー,9,98.1,12.0,18.2,1800,7,10,1,442,+2,57.0,9,121.7,15,5,57,6,7,5,35.8,440,-2,1.0,7,121.2,12,5,8,7,35.9,442,0,0.5,10,108.5,16,7,15,15,36.2,442,-6,0.6,7,121.7,11,6,35.4,448,+6,0.4,6,118.9,3,38.2,442,-4,1.6
ファシーノ,1,6.0,1.6,2.2,1800,7,11,1,474,+10,57.0,6,121.4,15,13,57,11,13,13,35.1,464,-8,0.7,11,121.0,18,18,3,3,36.7,472,0,0.8,7,122.1,8,8,5,5,34.3,472,+2,0.7,9,108.9,7,6,37.1,470,-6,0.9,3,118.6,6,33.8,476,+4,0.1
ロードグリッター,10,4.8,1.7,2.3,1800,8,12,2,486,-4,57.0,2,121.7,11,4,56,1,1,1,34.6,490,-6,0.0,12,120.9,18,9,6,8,37.4,496,+8,1.6,7,120.4,18,14,7,8,35.7,488,0,0.2,2,121.3,5,1,36.0,488,-6,0.0,7,107.4,16,34.5,494,+16,0.6
アドマイヤキンカク,5,3.4,1.4,1.7,1800,8,13,2,440,-4,57.0,4,94.6,16,10,57,11,12,0,34.8,444,-8,0.4,4,121.1,10,8,6,6,36.2,452,+8,0.4,8,120.4,18,17,11,10,35.9,444,-2,0.2,2,122.8,8,5,35.8,446,-2,0.1,2,120.7,4,34.7,448,+2,0.2
