馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ロビーナ,8,12.3,2.2,3.9,1800,1,1,1,446,0,53.0,2,113.7,16,3,54,6,6,6,36.6,446,+2,0.0,3,121.0,16,3,1,1,35.5,444,-4,0.3,7,108.1,16,6,7,7,39.6,448,-2,1.6,5,109.4,15,2,36.9,450,+10,0.5,3,95.6,1,35.7,440,0,0.6
ゴールドインゴット,3,5.4,1.4,2.3,1800,2,2,0,468,0,55.0,4,107.0,18,3,55,11,8,0,35.1,468,0,0.2,5,121.3,16,6,11,11,35.2,468,+4,0.6,4,108.3,15,8,9,10,34.7,464,-2,0.3,3,108.1,10,9,35.1,466,0,0.0,1,120.8,10,35.2,466,-2,0.0
イェドプリオル,4,3.8,1.2,1.7,1800,3,3,3,522,+2,57.0,5,112.3,15,8,57,1,1,1,39.1,520,-4,0.8,4,106.8,16,3,1,1,41.0,524,+6,0.8,12,114.5,16,14,2,2,39.6,518,-2,2.0,2,112.8,14,1,38.8,520,-2,0.0,2,112.8,5,36.9,522,-2,0.1
ウインランブル,5,21.1,2.6,4.7,1800,4,4,5,468,-8,55.0,7,106.4,13,9,54,7,7,4,39.1,476,+6,0.8,7,106.9,13,13,12,11,38.0,470,0,1.2,12,113.0,15,3,12,11,38.6,470,0,2.0,6,114.4,4,10,39.5,470,+2,2.1,3,112.4,4,37.7,468,+4,1.4
カペナ,10,27.1,4.4,8.1,1800,5,5,49,540,-6,57.0,0,0,0,0,0,0,0,0,0,0,0,0,3,115.4,12,6,5,3,37.8,546,+14,0.8,5,114.5,16,1,10,11,38.2,532,-6,0.9,1,113.2,16,8,38.6,538,+4,-0.1,2,112.4,11,37.5,534,0,0.0
サンライズフレンチ,11,86.0,12.3,23.6,1800,6,6,2,526,0,55.0,8,87.3,15,2,55,15,15,0,38.3,526,+8,2.1,9,110.9,10,8,6,6,36.9,518,-4,2.1,8,108.5,16,10,11,11,39.9,522,+8,1.9,9,84.7,5,11,36.4,514,+6,1.4,9,86.2,15,37.0,508,-12,1.0
ピッツバーグ,6,9.4,2.2,3.9,1800,6,7,2,506,-2,52.0,7,87.2,15,8,52,8,9,0,39.8,508,+14,2.0,1,85.4,15,4,6,4,37.1,494,+2,-0.2,4,85.6,16,13,4,2,38.1,492,-2,0.2,2,85.4,13,5,37.8,494,0,0.1,5,81.0,3,34.6,494,+4,0.6
ダイナミックアロー,9,65.7,8.6,16.3,1800,7,8,0,492,-4,55.0,14,114.6,16,1,55,11,12,15,37.4,496,+14,2.0,14,114.2,16,5,10,10,39.7,482,+2,4.3,8,115.3,8,6,7,7,40.1,480,-14,2.3,8,108.1,6,5,39.5,494,+12,1.6,5,113.4,12,39.3,482,-2,1.7
ドラゴンバローズ,2,2.3,1.1,1.4,1800,7,9,1,508,0,57.0,3,125.9,16,4,57,1,1,1,38.9,508,+8,1.2,1,120.9,15,14,6,6,38.7,500,+4,-0.4,2,113.0,12,11,7,7,38.0,496,+2,0.4,4,114.0,15,11,37.5,494,0,0.5,8,111.7,7,37.0,494,-2,1.0
メイショウハクラク,7,113.6,17.2,32.9,1800,8,10,1,500,0,57.0,13,86.2,16,1,57,12,11,0,38.7,500,-4,2.5,16,119.3,16,3,6,7,42.9,504,+2,6.1,6,112.6,16,9,4,4,37.7,502,+6,0.6,8,114.2,11,4,37.7,496,0,1.2,8,85.3,2,37.2,496,-8,0.7
ウォーターレスター,1,12.1,2.4,4.3,1800,8,11,4,526,-2,55.0,12,110.8,16,12,56,10,11,13,37.7,528,+2,2.1,2,121.9,14,7,12,11,38.6,526,-6,0.2,4,122.5,16,2,13,10,40.0,532,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
