馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
エンパシー,16,53.5,1,1,2,486,+2,1,0,0,5,57.0,0,0,0,1,0,0,0,0,0,0,13,1,1200,73.1,0,1,0,0,15,11,5,57,10,10,0,0,37.4,484,+2,1.8,0,0,0,0,0,1,0,0,0,0,5,1,1200,72.8,1,0,0,0,16,14,5,57,4,4,0,0,37.0,482,-6,0.6,0,0,0,0,0,1,0,0,0,0,13,1,1200,72.8,1,0,0,0,16,14,5,57,2,2,0,0,38.7,488,+2,1.6,0,0,0,0,0,1,0,0,0,0,13,1,1200,73.4,1,0,0,0,16,7,5,57,12,9,0,0,38.1,486,+4,1.0,0,0,0,0,1,0,0,0,0,0,8,1,1400,86.1,1,0,0,0,16,1,5,55,1,1,0,0,38.0,482,+4,1.3
タマスカイブルー,15,51.7,1,2,5,486,-8,1,0,0,4,57.0,0,0,0,0,0,1,0,0,0,0,15,1,1200,74.2,1,0,0,0,16,2,4,57,10,10,0,0,37.7,494,0,2.0,0,0,0,0,0,1,0,0,0,0,8,1,1200,72.3,1,0,0,0,16,8,4,55,5,6,0,0,37.7,494,0,1.1,0,0,0,0,1,0,0,0,0,0,14,1,1400,87.7,1,0,0,0,14,5,4,55,2,2,0,0,39.3,494,+18,2.7,0,0,0,0,0,0,1,0,0,0,4,1,1400,86.0,1,0,0,0,9,4,4,55,7,6,0,0,37.8,476,-6,1.7,0,0,0,0,1,0,0,0,0,0,4,1,1400,86.9,1,0,0,0,12,7,4,55,6,4,0,0,37.4,482,+14,0.9
スマートアムール,6,80.0,2,3,2,458,+2,0,1,0,5,55.0,0,0,0,0,1,0,0,0,0,0,8,1,1400,86.0,0,1,0,0,16,6,5,55,14,15,0,0,37.1,456,-6,1.1,0,0,0,0,0,1,0,0,0,0,6,1,1200,72.8,1,0,0,0,16,11,5,55,10,10,0,0,37.2,462,0,0.5,0,0,0,0,1,0,0,0,0,0,13,1,1400,86.7,0,1,0,0,16,1,5,55,16,16,0,0,36.2,462,+4,1.9,0,0,0,0,0,1,0,0,0,0,9,1,1200,72.0,1,0,0,0,16,6,5,55,7,8,0,0,37.8,458,+4,1.7,0,0,0,0,0,0,1,0,0,0,15,1,1400,84.9,0,0,0,1,16,5,5,55,6,5,0,0,39.2,454,+16,2.8
ケンユキノオー,9,26.3,2,4,11,448,+2,1,0,0,5,56.0,0,0,0,0,0,1,0,0,0,0,6,1,1200,72.4,1,0,0,0,16,8,5,57,10,10,0,0,37.8,446,-2,0.3,0,0,0,0,0,1,0,0,0,0,8,1,1200,72.5,1,0,0,0,16,13,5,57,7,7,0,0,38.1,448,+12,1.1,0,0,0,1,0,0,0,0,0,0,8,1,1200,72.6,0,0,1,0,15,15,5,57,8,6,0,0,37.7,436,-8,1.4,0,0,0,1,0,0,0,0,0,0,4,1,1200,71.9,1,0,0,0,14,14,5,57,8,8,0,0,37.5,444,+8,1.2,0,0,0,1,0,0,0,0,0,0,12,1,1200,71.7,0,0,1,0,15,1,5,57,12,11,0,0,36.6,436,-8,1.1
オレノマニラ,1,6.5,3,5,2,430,-2,1,0,0,4,54.0,0,0,0,0,1,0,0,0,0,0,6,1,1400,85.3,0,1,0,0,16,13,4,57,10,10,0,0,37.0,432,-4,0.4,0,0,0,0,0,1,0,0,0,0,4,1,1200,71.8,1,0,0,0,15,9,4,57,14,13,0,0,36.2,436,-6,0.5,0,0,0,0,0,1,0,0,0,0,10,1,1200,72.8,1,0,0,0,16,7,4,57,11,13,0,0,37.7,442,-2,0.9,0,0,0,0,0,1,0,0,0,0,7,1,1200,73.0,1,0,0,0,16,4,4,56,9,9,0,0,37.7,444,+10,0.8,0,0,0,0,1,0,0,0,0,0,12,1,1300,80.9,1,0,0,0,16,6,4,56,4,4,0,0,37.4,434,+18,1.4
サトノユニゾン,13,3.2,3,6,2,492,+2,0,0,1,4,57.0,0,0,0,0,1,0,0,0,0,0,5,1,1400,85.1,0,1,0,0,16,2,4,57,2,2,0,0,37.7,490,-6,0.2,0,0,0,0,0,1,0,0,0,0,3,1,1200,71.8,1,0,0,0,15,11,4,57,4,4,0,0,37.1,496,0,0.5,0,0,0,0,0,1,0,0,0,0,2,1,1200,72.0,1,0,0,0,16,16,4,57,6,6,0,0,37.3,496,+2,0.1,0,0,0,0,0,1,0,0,0,0,10,1,1200,72.6,1,0,0,0,16,15,4,56,8,8,0,0,38.9,494,+8,1.3,0,0,0,0,0,1,0,0,0,0,9,1,1200,72.0,0,0,1,0,16,8,4,55,10,10,0,0,36.9,486,-14,1.1
フクノクオリア,14,35.4,4,7,7,504,+6,0,0,1,5,57.0,0,0,0,0,0,0,1,0,0,0,13,1,1400,86.3,1,0,0,0,16,4,5,57,9,9,0,0,38.0,498,-8,1.2,0,0,0,0,0,1,0,0,0,0,16,0,1200,70.5,0,1,0,0,16,11,5,57,16,14,0,0,35.3,506,-4,1.6,0,0,0,0,1,0,0,0,0,0,11,0,1400,82.5,1,0,0,0,16,11,5,57,15,15,0,0,33.8,510,-2,0.8,0,0,0,0,0,1,0,0,0,0,15,1,1800,116.8,1,0,0,0,16,7,5,56,16,15,16,16,39.1,512,+4,3.1,0,0,0,0,1,0,0,0,0,0,15,0,1400,83.1,1,0,0,0,16,14,5,56,14,13,0,0,35.2,508,0,2.0
サウンドストリート,10,18.5,4,8,7,462,+4,1,0,0,5,57.0,0,0,0,0,0,0,1,0,0,0,11,0,1400,82.5,1,0,0,0,17,5,5,57,3,3,0,0,34.9,458,+2,0.8,0,0,0,0,0,0,1,0,0,0,13,0,1400,81.9,1,0,0,0,18,5,5,57,14,14,0,0,34.7,456,+8,1.6,0,0,0,1,0,0,0,0,0,0,15,0,1400,83.0,1,0,0,0,18,1,5,57,12,15,0,0,35.2,448,-2,1.1,0,0,0,0,1,0,0,0,0,0,5,0,1800,109.1,0,1,0,0,12,12,5,57,4,5,5,0,35.6,450,0,1.0,0,0,0,0,1,0,0,0,0,0,5,0,1400,81.8,1,0,0,0,18,6,5,57,11,10,0,0,33.9,450,-6,0.5
ココロノイコロ,5,14.5,5,9,7,450,+4,1,0,0,4,57.0,0,0,0,0,0,0,1,0,0,0,9,1,1200,73.4,1,0,0,0,16,12,4,57,5,5,0,0,38.0,446,-4,0.7,0,0,0,0,0,1,0,0,0,0,10,1,1200,72.9,1,0,0,0,16,11,4,57,7,7,0,0,38.6,450,0,0.8,0,0,0,0,0,0,1,0,0,0,2,1,1200,73.1,1,0,0,0,16,2,4,56,3,2,0,0,37.4,450,-4,1.0,0,0,0,0,0,1,0,0,0,0,6,1,1200,71.8,1,0,0,0,16,9,4,56,2,3,0,0,38.1,454,+8,1.5,0,0,0,0,0,0,1,0,0,0,5,1,1400,85.4,1,0,0,0,16,16,4,56,3,3,0,0,37.9,446,+6,0.5
シルバーストーン,8,8.0,5,10,3,506,+2,1,0,0,5,57.0,0,0,1,0,0,0,0,0,0,0,4,1,1150,69.3,1,0,0,0,14,12,5,57,8,8,0,0,37.3,504,-4,0.4,0,0,0,0,0,1,0,0,0,0,10,1,1200,72.5,1,0,0,0,15,4,5,57,10,10,0,0,37.4,508,0,1.2,0,0,0,0,0,1,0,0,0,0,3,1,1200,72.0,1,0,0,0,16,4,5,57,3,3,0,0,37.5,508,+2,0.1,0,0,0,0,0,1,0,0,0,0,6,1,1200,72.9,1,0,0,0,16,4,5,57,3,3,0,0,38.4,506,+2,0.5,0,0,0,0,0,1,0,0,0,0,3,1,1200,71.7,1,0,0,0,16,8,5,57,2,2,0,0,37.8,504,-2,0.3
