馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
セイカハルカゼ,7,85.6,1,1,4,446,+2,1,3,54.0,6,11,1,1800,1:58.9,1,16,12,8,53,15,15,15,15,40.8,444,+8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,1400,1:27.6,0,16,15,11,54,5,4,0,0,39.7,440,-6,1.0,3,13,0,1200,1:11.2,0,16,5,12,53,4,4,0,0,36.7,446,+18,0.8,4,11,0,1600,1:38.1,0,12,8,6,54,8,8,0,0,36.4,428,+4,3.0
エンペラーワルツ,12,246.9,1,2,1,442,+2,0,3,56.0,3,14,1,1700,1:51.9,0,15,4,15,56,8,8,13,13,41.1,440,+14,3.9,-1,9,1,1400,1:33.8,0,12,9,4,55,8,8,6,6,41.3,426,+4,2.2,9,9,1,1800,1:58.3,0,12,9,12,55,7,7,7,8,40.5,422,-6,3.4,9,8,1,1400,1:28.4,0,13,6,11,55,10,9,0,0,39.7,428,0,2.2,8,8,1,1800,1:56.9,0,13,1,11,55,7,7,7,5,40.7,428,0,3.3
セグーロ,1,14.1,2,3,13,470,+8,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,1800,1:50.9,0,16,16,9,56,13,13,13,0,35.1,462,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンマルジョーダン,11,220.9,2,4,12,444,-1,0,3,54.0,-1,9,1,1400,1:32.1,1,10,8,5,53,10,10,10,0,39.0,445,-1,3.9,10,10,0,2000,2:06.5,0,10,10,10,54,9,9,7,10,38.5,446,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ソラタカク,14,162.1,3,5,1,398,-4,0,3,56.0,3,15,0,1200,1:13.5,0,16,14,14,55,11,15,0,0,37.9,402,+16,2.8,4,11,0,1200,1:11.5,0,18,12,14,51,11,11,0,0,35.6,386,-4,1.7,4,7,0,1400,1:24.1,0,13,4,10,54,6,6,0,0,37.3,390,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ムーランノワール,15,247.8,3,6,26,438,+4,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,1400,1:30.9,1,16,8,15,54,12,14,0,0,40.2,434,-6,4.3,5,11,1,1600,1:44.5,0,11,6,11,55,3,3,0,0,42.1,440,-12,3.9,6,15,1,1200,1:14.9,1,16,5,10,53,9,9,0,0,39.2,452,0,3.5,4,12,0,1400,1:24.4,2,17,10,15,54,16,15,0,0,35.9,452,0,1.6
マイネルイヴィンス,2,2.0,4,7,2,514,+2,0,3,56.0,6,2,1,1800,1:56.0,1,12,12,2,56,6,6,4,2,40.6,512,+4,0.5,6,3,1,1800,1:56.9,1,16,13,1,56,9,9,4,2,40.0,508,0,0.1,6,2,1,1800,1:56.7,0,14,4,2,56,3,2,3,2,38.7,508,-10,0.9,6,7,1,1800,1:56.8,1,16,12,1,56,12,12,2,2,40.3,518,+8,1.4,5,4,1,1600,1:39.4,0,16,10,4,56,11,10,0,0,38.1,510,+4,0.3
ブラックテキーラ,8,54.7,4,8,6,500,+2,0,3,56.0,6,9,1,1800,1:59.0,0,12,11,9,56,11,11,10,9,40.7,498,-4,2.4,6,11,1,1200,1:14.1,1,16,5,9,56,11,12,0,0,39.0,502,-2,1.4,6,7,1,1200,1:13.9,0,16,15,8,56,6,8,0,0,38.6,504,+4,1.3,6,5,1,1200,1:13.4,0,16,9,13,55,11,11,0,0,38.0,500,+18,0.9,1,9,0,1500,1:38.3,1,9,9,9,54,8,9,9,0,40.5,482,0,6.7
ゴー,3,8.3,5,9,3,496,0,0,3,56.0,6,5,1,1800,1:57.9,0,13,5,4,56,6,8,5,5,40.0,496,0,0.6,6,3,1,1800,1:58.3,0,16,1,5,56,12,7,4,4,39.9,496,-4,2.0,6,8,1,1800,1:56.8,1,16,7,6,56,10,10,8,3,39.6,500,-2,1.4,5,5,1,2100,2:18.1,0,16,15,5,56,13,14,15,13,38.6,502,-4,0.6,6,4,1,1800,1:58.8,0,16,11,6,56,2,2,2,2,39.3,506,0,0.4
マハカーラ,4,6.7,5,10,0,488,0,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キングアゲン,13,78.9,6,11,1,506,0,0,3,56.0,5,15,0,1800,1:51.6,0,17,9,12,56,9,12,11,0,35.6,506,-2,2.4,6,9,1,1800,2:00.4,0,12,8,4,56,4,4,4,6,41.4,508,+4,3.1,6,6,1,1800,1:57.6,0,14,10,4,56,10,10,8,7,39.1,504,-4,1.8,6,6,0,2000,2:04.5,0,16,12,5,56,2,2,2,2,37.3,508,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シゲルブドウセキ,9,51.3,6,12,2,468,+4,0,3,56.0,6,7,1,1800,1:57.6,1,11,5,10,56,6,7,9,9,39.7,464,-2,4.3,6,8,1,1800,1:58.3,0,16,4,13,56,15,15,16,16,39.5,466,-2,1.9,6,13,1,1200,1:14.8,0,16,4,14,56,11,12,0,0,38.4,468,0,2.5,6,13,1,1200,1:15.0,0,16,9,13,55,14,14,0,0,39.1,468,0,2.7,5,11,1,1300,1:23.5,0,16,3,8,55,15,15,0,0,37.0,468,0,3.2
