馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
プルンクザール,1,1.9,1,1,2,466,0,0,4,57.0,9,2,0,2200,0,1,12,7,4,57,6,6,4,3,35.6,466,0,0.1,7,4,0,2200,0,0,8,4,4,56,6,6,5,6,35.6,466,+6,1.1,7,3,0,2200,0,0,18,17,4,55,10,10,10,10,34.9,460,0,0.3,8,4,0,1800,0,0,17,8,4,55,10,10,0,0,34.0,460,+2,0.5,4,2,0,1800,0,2,17,8,4,55,9,9,0,0,35.0,458,-2,0.1
イチザティアラ,10,173.3,2,2,1,458,+10,1,4,55.0,3,13,0,2000,0,0,14,11,4,55,6,6,5,5,36.4,448,-4,1.8,9,5,1,1800,0,0,9,3,4,55,9,8,8,9,39.7,452,+2,2.2,9,8,1,1400,0,1,16,11,4,55,12,11,0,0,38.4,450,+2,1.3,9,14,1,1200,0,0,16,12,4,55,13,15,0,0,37.0,448,-4,1.9,8,12,1,1200,0,1,14,13,4,55,9,9,0,0,37.6,452,-2,2.0
ピッツィカート,2,4.1,3,3,6,470,0,2,6,57.0,9,3,0,2400,0,1,13,10,6,57,4,4,4,4,36.8,470,-18,0.3,8,5,0,2200,0,0,16,14,6,57,3,3,3,3,36.1,488,+14,0.7,8,6,0,2400,0,0,10,7,6,57,4,4,3,3,35.2,474,+2,0.5,4,7,0,2400,0,1,12,7,6,57,5,5,6,4,35.4,472,+10,0.4,9,2,0,2400,0,0,10,9,6,57,2,2,2,2,34.5,462,-10,0.0
ダノンアポロン,3,13.6,4,4,2,496,-2,0,4,57.0,9,8,0,2200,0,1,12,3,4,57,10,10,8,12,36.1,498,+4,1.4,10,3,0,2600,0,0,12,6,4,56,10,10,10,10,35.5,494,+8,0.9,7,8,0,2200,0,0,15,3,4,55,11,11,14,13,35.6,486,+2,1.3,3,11,0,2600,0,0,16,16,4,55,1,1,1,1,37.8,484,-4,1.6,1,14,0,2600,0,0,14,14,4,54,4,3,3,11,37.3,488,-4,2.2
タマモベルガモ,6,83.3,5,5,2,490,-4,0,6,57.0,9,12,0,2200,0,1,12,5,6,57,4,4,6,9,38.0,494,-6,3.0,-1,5,1,1400,0,0,8,2,6,54,8,8,8,0,37.9,500,+28,2.3,9,9,0,2400,0,0,10,3,6,57,6,7,7,7,35.4,472,-10,1.5,10,11,0,2600,0,0,16,11,6,57,1,1,1,7,39.1,482,+10,2.2,10,6,0,2000,0,0,10,7,6,57,1,1,2,6,37.2,472,-4,1.6
チャーチタウン,8,104.4,6,6,2,506,-2,0,4,57.0,9,15,1,1400,0,1,16,7,4,57,11,15,0,0,38.1,508,-8,2.0,9,9,1,1800,0,1,9,6,4,56,2,2,2,2,39.9,516,0,1.4,8,7,1,1800,0,1,10,4,4,56,2,2,2,2,40.7,516,-4,1.8,8,6,1,1800,0,0,11,3,4,56,3,3,4,5,38.6,520,0,1.6,7,15,1,1800,0,0,15,14,4,56,3,4,3,6,41.6,520,+10,3.0
サダムラピュタ,4,4.7,7,7,2,474,-2,0,4,57.0,9,3,0,2200,0,1,12,6,4,57,11,11,11,8,35.4,476,-2,0.6,9,4,0,2400,0,1,13,3,4,56,11,11,12,10,36.7,478,0,0.9,10,3,0,2600,0,0,11,4,4,56,9,9,9,9,35.4,478,-4,0.4,9,7,0,2600,0,1,17,13,4,55,12,12,11,9,36.5,482,+4,0.7,9,7,0,1800,0,0,14,11,4,56,7,6,0,0,34.9,478,+14,0.8
タガノシャルドネ,7,48.2,7,8,2,466,+8,0,5,57.0,9,9,0,2200,0,1,12,4,5,57,9,9,8,9,36.6,458,+2,1.8,7,7,0,2200,0,0,8,5,5,57,8,8,8,8,35.5,456,-2,2.0,9,10,0,2400,0,1,13,1,5,57,13,13,13,12,36.7,458,+6,1.3,10,7,0,2600,0,0,10,3,5,57,8,8,8,8,36.3,452,+4,1.1,8,11,0,2200,0,0,11,8,5,57,11,11,10,10,36.1,448,+4,1.6
スズカマイゲスト,5,24.2,8,9,14,492,-2,0,5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,1900,0,0,16,10,5,57,9,9,9,9,38.3,494,0,0.6,7,16,1,1800,0,1,16,8,5,57,15,15,15,15,38.8,494,+6,2.7,7,5,1,1800,0,0,15,9,5,57,9,9,11,11,38.6,488,+20,0.8,4,14,1,1800,0,1,15,12,5,57,7,4,4,6,42.3,468,-2,1.8
グランノーブル,9,7.6,8,10,2,488,0,2,6,57.0,9,5,0,2200,0,1,12,1,6,57,1,1,1,1,37.6,488,0,0.7,9,7,0,2400,0,1,13,2,6,57,1,1,1,1,39.4,488,-4,1.2,9,13,0,1600,0,0,14,14,6,57,11,6,0,0,36.1,492,-2,1.6,8,14,0,2000,0,0,16,15,6,57,8,8,2,5,38.0,494,-2,2.2,7,17,0,2200,0,0,18,10,6,57,2,2,2,2,37.4,496,0,1.6
