馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
タマモコーラス,7,57.7,1,1,11,462,+6,1,5,55.0,8,8,1,1200,72.2,0,16,11,10,52,14,13,0,0,36.7,456,-2,0.9,8,11,1,1200,72.6,1,15,14,6,55,7,7,0,0,36.6,458,-2,0.6,7,7,1,1200,72.2,0,16,9,9,55,6,6,0,0,36.5,460,+6,0.8,8,13,1,1200,72.6,0,16,7,5,55,10,11,0,0,36.7,454,+2,1.3,8,3,1,1200,72.2,0,16,15,5,55,9,7,0,0,36.6,452,-8,0.3
ヒデノヴィーナス,1,7.2,2,2,8,456,+10,1,3,52.0,9,4,1,1200,71.9,0,16,11,3,52,2,2,0,0,36.7,446,+12,0.4,8,1,1,1200,72.8,0,14,1,3,54,7,4,0,0,37.7,434,+2,0.0,8,3,1,1400,86.2,1,9,4,6,54,4,4,0,0,38.9,432,-2,0.0,8,1,1,1200,73.9,0,16,10,1,54,2,2,0,0,38.0,434,-4,-0.2,9,2,1,1200,73.0,0,16,14,3,54,5,5,0,0,37.1,438,0,0.2
クーリュ,5,23.0,3,3,3,476,0,1,5,55.0,2,2,1,1000,58.9,0,8,4,4,55,6,5,0,0,35.0,476,-8,0.0,2,9,1,1700,106.8,1,14,11,6,52,2,3,2,2,40.4,484,0,0.7,5,7,1,1400,83.8,2,16,13,4,55,6,7,0,0,36.7,484,+12,0.9,5,1,1,1400,85.0,0,14,14,1,55,5,5,0,0,36.1,472,+4,-0.1,6,2,1,1200,70.4,1,16,4,1,55,3,3,0,0,36.5,468,-8,0.1
アカネサス,3,1.9,4,4,3,492,+2,1,3,52.0,2,1,1,1000,58.5,0,12,7,2,52,2,2,0,0,35.8,490,+6,-0.7,8,9,1,1400,86.1,0,16,10,1,54,2,2,0,0,38.3,484,-6,1.6,8,2,1,1200,72.8,0,14,12,4,54,2,2,0,0,37.9,490,+2,0.0,8,6,0,1400,83.3,0,12,7,6,54,1,1,0,0,36.1,488,+4,0.5,8,5,0,1800,110.4,0,7,5,6,54,1,1,0,0,36.3,484,-6,0.8
スズカグラーテ,2,13.6,5,5,2,464,-8,1,5,55.0,3,2,1,1150,67.2,2,16,7,3,55,4,4,0,0,35.7,472,+10,0.2,4,4,1,1200,71.3,1,15,8,4,55,2,2,0,0,36.8,462,+4,0.4,3,8,1,1150,68.7,2,16,1,3,55,4,4,0,0,37.3,458,-4,0.8,8,10,1,1200,73.0,0,16,1,2,55,1,1,0,0,37.9,462,-2,1.0,7,4,1,1200,71.9,0,16,15,3,55,5,5,0,0,36.4,464,-10,0.5
サンデュランゴ,9,158.9,6,6,2,484,0,1,5,55.0,3,14,1,1150,68.4,2,16,4,15,55,14,14,0,0,35.8,484,+2,1.4,5,16,1,1400,86.5,1,16,4,16,55,1,1,0,0,38.7,482,+4,2.2,6,13,1,1200,72.3,0,16,12,14,54,8,8,0,0,37.3,478,+4,1.1,6,13,1,1200,72.0,0,16,7,16,55,9,10,0,0,38.4,474,+4,1.0,5,10,1,1400,85.8,0,14,9,8,55,2,2,0,0,37.6,470,-4,1.1
テイエムチェロキー,4,7.9,6,7,7,488,0,0,5,57.0,9,5,1,1400,85.2,1,16,3,4,57,8,9,0,0,36.8,488,-6,0.7,8,2,1,1800,112.1,0,16,13,3,57,1,1,1,1,37.5,494,+4,0.4,10,9,1,1700,106.5,1,16,5,2,57,3,4,3,4,39.2,490,-6,0.9,8,5,1,1800,113.5,0,13,1,1,57,1,1,1,1,39.3,496,0,0.8,8,2,1,1800,112.4,0,16,2,7,57,1,1,1,1,38.5,496,+10,0.0
ガウル,10,39.5,7,8,3,488,+8,0,4,57.0,2,4,1,1000,59.4,0,8,2,2,57,4,3,0,0,35.8,480,-8,0.5,3,3,1,1150,68.3,2,16,11,12,57,2,1,0,0,37.2,488,-2,0.4,10,1,1,1000,58.4,3,14,14,1,56,1,1,0,0,36.1,490,+4,0.0,10,2,1,1000,59.2,1,14,13,6,56,4,3,0,0,36.1,486,+2,0.2,3,11,1,1150,69.9,0,16,15,7,55,1,1,0,0,38.3,484,+14,1.2
ポップシンガー,6,26.8,7,9,3,456,-2,1,5,55.0,2,3,1,1000,59.0,0,8,5,3,54,7,7,0,0,34.8,458,-2,0.1,2,9,0,1200,70.1,1,14,3,8,55,4,4,0,0,35.9,460,+8,0.6,4,3,0,1000,55.2,0,16,16,3,53,0,0,0,0,32.8,452,-14,1.1,6,1,1,1200,71.9,0,16,13,5,55,2,2,0,0,36.9,466,0,-0.2,6,4,1,1200,72.9,0,16,4,1,55,2,3,0,0,37.7,466,+2,0.7
デザートストーム,8,3.9,8,10,3,456,+8,0,5,57.0,7,2,1,1200,69.9,1,16,3,3,57,14,12,0,0,35.2,448,-4,0.2,9,3,1,1200,71.3,1,16,9,2,57,6,6,0,0,35.7,452,0,0.1,9,2,1,1200,71.2,1,16,16,3,57,5,5,0,0,35.3,452,0,0.0,10,1,1,1000,59.0,1,14,1,5,57,13,13,0,0,34.6,452,-2,-0.2,8,13,0,1200,70.0,0,16,7,3,56,7,10,0,0,34.6,454,+4,0.5
