枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
1,1,8,476,0,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,10,1,1200,73.8,1,0,0,0,16,5,3,53,1,1,0,0,40.0,476,+8,0.9,0,0,0,0,0,0,1,0,0,0,10,1,1400,88.2,1,0,0,0,16,13,3,54,4,4,0,0,40.4,468,-2,1.9,0,0,0,0,1,0,0,0,0,0,5,1,1400,86.9,1,0,0,0,15,11,3,53,2,2,0,0,37.6,470,-2,0.7,0,0,0,0,0,1,0,0,0,0,6,1,1200,73.4,1,0,0,0,16,5,3,53,5,4,0,0,38.4,472,+2,0.4,0,0,0,0,0,0,1,0,0,0,6,1,1200,74.1,0,1,0,0,13,7,3,54,10,12,0,0,37.8,470,-2,1.3
1,2,6,436,-2,0,1,0,3,52.0,0,0,0,0,0,1,0,0,0,0,15,1,1200,76.7,0,1,0,0,15,10,3,54,13,13,0,0,40.4,438,0,3.6,0,0,0,0,1,0,0,0,0,0,11,1,1400,87.3,0,0,0,1,16,14,3,51,12,13,0,0,38.1,438,0,2.6,0,0,0,0,1,0,0,0,0,0,2,1,1300,80.9,1,0,0,0,13,8,3,51,3,2,0,0,36.9,438,0,1.1,0,0,0,1,0,0,0,0,0,0,2,1,1200,73.4,0,0,1,0,15,3,3,51,2,2,0,0,38.1,438,-8,0.1,0,0,0,0,0,1,0,0,0,0,14,0,1600,96.6,1,0,0,0,16,14,3,51,4,7,9,0,37.3,446,-2,2.3
2,3,14,490,+12,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1400,86.3,1,0,0,0,16,5,3,55,1,1,0,0,39.0,478,-4,0.0,0,0,0,0,1,0,0,0,0,0,2,1,1400,85.9,1,0,0,0,16,1,3,55,4,4,0,0,38.1,482,+2,0.1,0,0,0,0,1,0,0,0,0,0,3,1,1600,97.5,0,0,1,0,16,9,3,55,2,2,0,0,36.8,480,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,15,458,+6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,1600,100.5,0,0,0,1,18,16,3,54,5,3,0,0,37.6,452,-4,1.8,0,0,0,0,1,0,0,0,0,0,10,0,2000,123.7,0,0,1,0,13,6,3,55,7,8,9,0,35.8,456,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,476,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,8,0,1200,70.4,1,0,0,0,17,10,3,56,13,11,0,0,35.5,476,0,0.7,0,0,0,0,0,0,0,0,0,1,5,0,1200,72.2,0,1,0,0,18,14,3,56,7,7,0,0,37.3,476,-4,0.3,0,0,0,0,1,0,0,0,0,0,14,0,1400,87.1,0,0,0,1,18,13,3,55,6,6,0,0,39.2,480,+4,2.3,0,0,0,0,1,0,0,0,0,0,10,1,1400,89.6,1,0,0,0,10,8,3,55,8,7,0,0,37.8,476,+2,2.2,0,0,0,0,1,0,0,0,0,0,13,1,1600,101.7,0,0,1,0,15,5,3,55,4,4,0,0,39.7,474,+10,3.2
3,6,3,420,-14,0,1,0,3,52.0,0,0,0,0,1,0,0,0,0,0,12,1,1400,89.4,0,1,0,0,15,1,3,54,15,15,0,0,38.0,434,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,1,428,0,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,9,1,1400,88.1,1,0,0,0,16,16,3,53,4,5,0,0,39.7,428,+4,1.6,0,0,0,0,0,1,0,0,0,0,7,1,1200,74.2,1,0,0,0,16,14,3,54,6,8,0,0,39.6,424,0,0.9,0,0,0,0,1,0,0,0,0,0,6,1,1400,86.3,0,0,0,1,12,4,3,51,3,3,0,0,38.5,424,-6,0.7,0,0,0,1,0,0,0,0,0,0,5,1,1200,73.4,0,0,0,1,14,3,3,51,8,5,0,0,37.7,430,-2,1.9,0,0,0,0,0,1,0,0,0,0,13,0,1600,98.6,0,0,1,0,16,7,3,51,10,10,10,0,37.7,432,-4,2.4
4,8,4,450,-2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,10,1,1300,81.3,1,0,0,0,16,6,3,56,10,10,0,0,37.8,452,+4,1.7,0,0,0,0,0,1,0,0,0,0,8,1,1200,75.5,1,0,0,0,16,1,3,56,5,5,0,0,39.6,448,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,8,442,0,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,14,1,1800,123.0,1,0,0,0,16,10,3,56,16,16,15,12,43.7,442,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,9,468,+2,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,13,1,1200,76.1,1,0,0,0,16,16,3,54,10,11,0,0,39.4,466,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
