馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
エンシュラウド,9,8.8,1,1,13,470,+8,2,3,55.0,1,8,0,2000,123.7,1,10,4,1,54,2,2,1,1,37.3,462,-8,1.5,1,3,0,1800,108.6,0,7,4,1,54,2,2,2,2,35.7,470,-4,0.2,5,1,0,1800,108.2,1,16,13,1,56,2,2,1,0,34.2,474,-2,-0.3,6,2,0,2000,122.1,0,17,12,1,56,1,1,1,1,36.4,476,-4,0.3,5,2,0,2400,147.4,0,12,11,1,56,2,2,1,1,34.8,480,-6,0.0
マイネルユニブラン,13,23.4,1,2,0,524,+2,0,5,57.0,3,8,0,2000,122.4,0,16,13,8,57,2,2,2,2,36.9,522,+8,0.6,1,6,0,2000,122.0,0,12,6,7,57,2,2,2,1,38.1,514,-8,1.6,1,4,0,2000,121.6,0,9,5,6,57,3,3,3,2,36.5,522,+6,0.7,2,6,1,1700,107.2,1,12,11,7,57,7,7,8,7,38.9,516,-2,1.5,2,6,0,1800,108.4,0,12,8,7,57,4,5,6,7,35.8,518,0,0.5
ブライティアセルバ,5,19.1,2,3,8,424,-2,1,3,53.0,6,4,0,1800,108.2,0,14,10,8,49,2,3,2,2,34.9,426,-2,0.5,4,5,0,2000,122.8,1,18,17,6,53,3,3,3,2,35.9,428,+2,0.7,4,2,0,2000,120.2,0,14,10,2,53,2,2,2,2,36.6,426,-2,0.3,3,9,0,1800,112.2,1,16,4,1,54,3,3,6,2,37.9,428,-2,0.9,6,3,0,2000,121.4,0,14,12,1,53,2,2,2,1,36.2,430,-2,0.3
ガトン,16,81.5,2,4,8,504,+8,2,3,55.0,6,9,0,1600,93.6,0,16,7,11,55,15,16,15,0,34.3,496,-2,1.0,4,11,0,1600,94.8,0,15,13,11,54,2,2,0,0,34.7,498,-10,1.2,6,10,0,1200,70.2,0,12,9,7,56,10,10,0,0,35.3,508,-6,1.4,6,16,1,1200,75.6,0,16,3,12,56,5,10,0,0,40.5,514,0,3.6,6,11,0,1600,96.8,0,13,2,4,56,2,1,1,0,37.1,514,0,1.9
ウレキサイト,3,9.0,3,5,8,500,0,0,3,55.0,9,4,0,1800,107.5,0,9,9,7,54,3,3,0,0,33.7,500,-6,0.3,10,9,0,2600,165.5,2,16,5,1,54,9,8,6,5,37.6,506,+6,1.5,8,6,1,1800,113.4,0,16,10,3,56,2,2,2,2,38.2,500,+4,2.0,3,5,0,2000,120.4,0,11,11,6,56,6,5,7,4,36.1,496,-6,0.4,6,5,0,2000,122.3,0,10,6,4,56,4,4,4,4,36.2,502,+2,1.1
メガディスカバリー,7,29.2,3,6,0,448,0,2,3,55.0,3,3,0,2000,122.2,0,16,14,12,55,13,13,12,10,35.8,448,-6,0.4,6,10,0,2000,120.5,0,16,9,14,54,15,15,15,14,34.0,454,+4,1.0,1,6,0,2000,124.2,1,16,12,12,54,14,14,14,15,37.0,450,-4,0.6,1,11,0,2600,164.5,0,11,5,10,54,3,3,6,7,39.3,454,-4,1.9,2,11,0,1800,110.0,0,11,1,8,54,10,10,8,9,35.6,458,+4,1.1
ツクバソヴァール,6,14.7,4,7,2,470,+2,0,3,55.0,4,4,0,2400,149.4,1,10,6,4,54,1,1,1,1,37.1,468,-4,0.4,4,6,0,2200,135.4,0,10,4,5,54,2,2,2,2,35.4,472,+8,0.6,6,8,0,2000,120.6,0,9,8,6,54,5,5,5,6,36.9,464,-6,1.5,5,3,0,2000,120.5,1,11,3,4,54,4,4,5,0,36.2,470,+10,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナミブ,12,75.4,4,8,8,450,0,0,3,55.0,6,9,0,2000,120.7,0,9,6,8,54,2,2,2,3,37.4,450,-2,1.6,1,7,0,2000,124.3,1,16,9,6,54,7,7,7,9,37.6,452,+12,0.7,1,1,0,2000,122.8,0,13,5,3,53,6,6,9,4,35.9,440,-2,0.0,2,3,0,2000,123.4,0,9,9,8,53,6,6,5,4,35.9,442,+4,0.2,2,4,0,2000,123.1,1,10,3,6,53,2,2,2,2,37.1,438,+2,0.3
ダディーズトリップ,4,7.3,5,9,2,440,-8,0,3,55.0,8,3,0,2000,122.8,2,9,4,7,55,8,7,8,7,35.2,448,+12,0.7,1,3,0,2000,122.8,1,10,8,8,54,8,8,7,7,35.7,436,-4,0.6,1,4,0,2000,123.3,0,9,6,6,54,4,3,3,4,35.7,440,+4,0.9,9,4,0,2000,123.6,1,5,5,4,51,3,3,3,2,37.1,436,-2,0.4,8,6,0,2000,120.9,0,8,4,5,56,2,1,1,1,35.1,438,+2,0.9
シャイニーロケット,14,40.9,5,10,2,458,-6,0,4,57.0,5,7,0,2000,120.6,0,8,6,7,57,5,5,6,0,35.1,464,+8,1.3,1,6,0,2600,166.6,1,12,4,8,54,6,6,7,5,36.9,456,-10,1.1,1,7,0,2600,161.9,0,14,7,4,54,10,9,10,12,35.8,466,+8,1.1,5,3,0,2000,119.9,0,10,3,9,54,8,8,8,0,33.9,458,+4,0.2,5,11,1,2100,135.3,0,16,5,4,56,15,15,14,16,38.7,454,+4,2.2
