馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ヘニッヒ,14,16.7,1,1,5,456,-10,2,3,54.0,2,1,1,1700,105.7,1,12,2,3,54,3,4,4,3,38.7,466,+2,0.0,5,10,1,1400,86.6,0,16,16,3,54,6,8,0,0,38.0,464,-12,1.8,5,15,1,1400,90.1,0,15,6,3,56,12,12,0,0,40.1,476,-2,3.6,5,7,1,1400,84.9,1,11,2,3,56,11,11,0,0,36.8,478,-4,0.6,5,11,1,1600,100.8,0,14,11,3,56,5,6,0,0,38.5,482,+20,1.4
ジュンドリーム,15,156.5,2,2,0,486,0,1,4,55.0,10,9,0,1200,69.1,0,11,6,4,55,10,10,0,0,34.9,486,+4,1.3,10,14,0,1200,69.8,0,14,12,4,55,7,7,0,0,35.3,482,0,1.8,9,12,0,1600,98.2,1,12,9,4,51,1,1,0,0,37.2,482,-2,2.9,7,18,0,1200,69.9,0,18,18,4,54,4,4,0,0,34.9,484,+16,1.5,10,7,0,1200,68.1,0,11,2,4,52,3,4,0,0,34.5,468,-2,0.4
ドルチェリア,5,5.5,2,3,2,508,0,2,6,57.0,7,5,1,1800,111.8,2,15,9,6,57,3,5,5,5,37.4,508,-14,0.9,9,5,1,1800,112.7,0,13,11,6,57,7,7,7,5,38.6,522,-4,0.7,7,3,1,1800,113.2,0,14,5,6,57,7,9,9,9,36.9,526,+2,0.4,10,2,1,1700,105.6,1,16,4,6,57,9,8,6,5,38.0,524,-8,0.0,8,3,1,1800,112.5,1,12,8,6,57,4,5,6,5,37.2,532,-6,0.2
キングブラック,12,45.1,3,4,27,506,-10,0,4,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1900,121.8,0,14,1,4,56,7,7,10,9,39.6,516,0,1.1,8,4,1,1800,113.0,0,16,14,4,56,12,12,8,12,38.8,516,+2,1.1,7,1,1,1900,120.7,0,12,3,4,56,4,4,4,4,37.3,514,+8,0.0,7,2,1,1800,114.1,0,15,8,4,56,6,5,5,6,38.8,506,-8,0.3
ライナス,9,26.1,3,5,2,486,0,0,4,57.0,3,12,1,1700,106.7,1,15,12,4,57,3,3,3,3,39.7,486,+8,1.2,10,9,1,1700,105.7,1,16,6,4,54,7,7,7,7,38.4,478,-6,1.4,10,1,1,1700,106.1,1,13,8,4,56,2,2,2,2,37.1,484,-14,0.0,8,9,1,1800,114.2,0,16,15,4,56,5,7,3,3,39.8,498,+16,1.2,3,3,1,1700,106.4,0,15,1,4,55,3,3,4,4,37.7,482,+6,0.4
ヴァイザー,6,15.5,4,6,4,458,+10,0,4,57.0,7,15,0,1600,95.1,1,15,13,4,54,4,5,5,0,36.3,448,-8,1.1,9,6,0,1800,107.6,0,14,13,4,57,3,3,0,0,34.6,456,0,0.5,6,8,0,1600,97.1,2,16,1,4,57,7,5,6,0,36.7,456,0,1.2,8,6,0,1600,96.0,0,13,8,4,55,7,9,0,0,35.2,456,-4,0.9,9,1,0,1600,95.1,0,17,11,4,56,8,8,0,0,35.2,460,+10,0.0
クリノピョートル,8,29.4,4,7,42,522,+16,0,5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1800,112.5,0,12,5,5,57,9,9,11,8,37.1,506,+6,-0.9,9,5,1,1800,112.7,2,13,1,5,57,7,7,6,6,38.3,500,+4,0.6,10,6,1,1700,105.7,0,16,11,5,57,11,11,12,8,37.8,496,+2,1.0,7,15,1,1800,115.5,0,15,1,5,56,1,1,1,3,41.7,494,-18,4.2
オンザロックス,3,5.1,5,8,6,484,-4,0,6,57.0,9,11,1,1800,115.2,0,15,12,6,57,7,6,8,7,38.4,488,+2,2.4,5,2,1,1600,97.2,0,16,12,6,57,5,6,0,0,35.9,486,+2,0.7,5,2,1,1600,95.4,2,16,12,6,57,6,6,0,0,36.2,484,-4,0.0,3,2,1,1700,107.3,0,15,11,6,54,3,3,2,3,39.0,488,+9,0.1,-1,1,1,1600,95.2,1,11,4,6,56,1,1,0,0,36.0,479,-3,-1.2
メンターモード,10,17.9,5,9,2,504,-10,0,5,57.0,3,11,1,1700,106.6,1,15,6,5,57,2,1,1,1,40.2,514,+18,1.1,3,7,1,1700,106.7,0,15,6,5,57,3,3,2,2,38.9,496,-2,0.9,3,1,1,1700,105.9,2,14,8,5,57,1,1,1,1,39.8,498,+8,-0.9,10,10,1,1700,106.0,3,16,11,5,57,9,9,8,8,39.0,490,-2,1.0,10,3,1,1700,106.5,1,11,11,5,57,3,4,3,3,37.8,492,+4,0.0
リシュブール,2,9.5,6,10,6,470,0,0,4,57.0,9,5,1,1800,114.0,0,15,2,4,57,1,1,1,1,38.0,470,-4,1.2,-1,1,1,1400,87.3,0,12,11,4,53,2,3,2,2,38.2,474,-12,-0.1,8,8,0,2200,136.8,0,16,10,4,56,5,4,4,4,36.2,486,+14,1.0,7,5,0,2200,134.7,0,18,3,4,54,5,5,5,5,35.6,472,-2,0.5,8,6,0,1800,106.8,0,17,16,4,55,8,8,0,0,34.3,474,+4,0.6
