馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ジョガールボニート,6,8.3,1,1,15,466,+14,1,0,0,3,55.0,0,0,0,0,1,0,0,0,0,0,1,1,1400,85.6,1,0,0,0,16,3,3,56,1,1,0,0,37.6,452,-4,-0.7,0,0,0,0,1,0,0,0,0,0,4,1,1300,80.1,1,0,0,0,16,14,3,56,4,3,0,0,37.1,456,+6,0.6,0,0,0,0,1,0,0,0,0,0,2,1,1300,80.0,1,0,0,0,15,3,3,56,3,3,0,0,37.3,450,0,0.7,0,0,0,0,0,0,1,0,0,0,6,1,1400,87.5,1,0,0,0,16,4,3,56,2,2,0,0,39.4,450,+2,1.2,0,0,0,0,0,1,0,0,0,0,5,1,1200,72.8,0,1,0,0,16,7,3,56,6,6,0,0,37.7,448,-6,0.8
レンズフルパワー,12,42.8,1,2,7,516,-2,1,0,0,7,57.0,0,0,0,1,0,0,0,0,0,0,7,1,1800,114.4,1,0,0,0,11,4,7,57,10,11,9,8,38.1,518,0,1.1,0,0,0,1,0,0,0,0,0,0,7,1,1200,71.7,1,0,0,0,15,13,7,57,15,15,0,0,36.1,518,+4,0.4,0,0,0,0,1,0,0,0,0,0,14,1,1400,87.6,1,0,0,0,15,13,7,57,15,15,0,0,36.9,514,+4,2.2,0,0,0,0,0,0,1,0,0,0,15,1,1400,86.7,1,0,0,0,16,11,7,57,15,15,0,0,37.7,510,-2,1.6,0,0,0,0,1,0,0,0,0,0,5,1,1400,86.2,1,0,0,0,16,4,7,57,15,15,0,0,36.3,512,+4,0.6
ノーベルプライズ,4,4.2,2,3,7,500,0,1,0,0,3,55.0,0,0,0,1,0,0,0,0,0,0,4,1,1800,113.9,1,0,0,0,11,1,3,54,8,7,7,6,37.9,500,-6,0.6,0,0,1,0,0,0,0,0,0,0,12,1,1700,108.7,0,1,0,0,15,1,3,54,5,6,9,8,38.9,506,-2,2.2,0,0,0,0,1,0,0,0,0,0,2,1,1600,97.6,0,0,0,1,14,3,3,54,4,3,0,0,37.1,508,+16,0.3,0,0,0,0,0,1,0,0,0,0,10,1,1800,116.1,1,0,0,0,16,7,3,56,11,11,10,11,39.9,492,0,1.8,0,0,0,0,0,1,0,0,0,0,4,1,1800,115.4,1,0,0,0,13,14,3,55,13,13,11,7,39.5,492,+2,0.8
ハルメキ,2,19.5,2,4,1,456,0,0,1,0,4,52.0,0,0,0,0,0,1,0,0,0,0,3,1,1200,71.0,1,0,0,0,14,1,4,52,5,5,0,0,35.9,456,0,0.2,0,0,0,1,0,0,0,0,0,0,7,1,1200,72.2,0,1,0,0,15,9,4,52,5,5,0,0,37.2,456,-2,1.0,0,0,0,0,1,0,0,0,0,0,7,1,1600,98.6,0,0,0,1,14,6,4,52,10,11,0,0,37.2,458,0,1.3,0,0,0,0,1,0,0,0,0,0,15,1,1400,85.9,0,0,1,0,15,9,4,55,13,12,0,0,36.5,458,+6,1.6,0,0,0,0,0,1,0,0,0,0,7,1,1200,72.4,1,0,0,0,16,8,4,55,15,16,0,0,36.7,452,+8,0.5
ベルポート,7,60.0,3,5,12,448,+4,0,1,0,3,50.0,0,0,1,0,0,0,0,0,0,0,12,1,1700,108.0,0,1,0,0,15,3,3,52,2,2,2,2,40.5,444,-2,1.7,0,0,1,0,0,0,0,0,0,0,10,1,1150,69.1,0,0,0,1,16,10,3,52,11,13,0,0,36.9,446,+4,1.1,0,0,1,0,0,0,0,0,0,0,1,1,1150,70.1,1,0,0,0,16,13,3,54,1,1,0,0,37.3,442,0,-0.8,0,0,1,0,0,0,0,0,0,0,3,1,1150,70.8,1,0,0,0,16,14,3,54,5,3,0,0,38.5,442,-4,0.5,0,0,0,0,0,1,0,0,0,0,3,1,1200,73.9,1,0,0,0,16,13,3,54,2,1,0,0,39.4,446,-2,0.4
セイクリッドサン,11,7.6,3,6,27,456,+8,1,0,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1200,72.6,1,0,0,0,16,1,3,55,4,3,0,0,37.8,448,-2,-0.5,0,0,0,0,0,1,0,0,0,0,2,1,1200,72.4,0,1,0,0,16,16,3,55,4,5,0,0,37.6,450,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リトルモンスター,3,5.9,4,7,15,468,0,0,1,0,3,50.0,0,0,0,0,1,0,0,0,0,0,8,1,1400,84.5,0,0,1,0,16,2,3,52,13,14,0,0,35.1,468,-4,1.1,0,0,0,0,1,0,0,0,0,0,5,1,1300,77.3,0,0,1,0,15,7,3,49,13,15,0,0,34.6,472,-4,0.7,0,0,0,0,1,0,0,0,0,0,1,1,1300,80.7,0,1,0,0,16,15,3,51,5,5,0,0,37.2,476,-2,-0.2,0,0,0,0,0,1,0,0,0,0,3,1,1200,72.3,0,1,0,0,16,2,3,54,4,4,0,0,38.2,478,+2,0.2,0,0,0,0,1,0,0,0,0,0,3,1,1600,99.4,1,0,0,0,16,12,3,54,7,7,0,0,38.4,476,0,0.3
フジノタカネ,5,19.8,4,8,29,528,+20,1,0,0,3,55.0,0,0,0,0,0,1,0,0,0,0,11,1,1200,72.7,1,0,0,0,16,11,3,56,16,15,0,0,36.7,508,-10,1.2,0,0,0,0,1,0,0,0,0,0,10,1,1400,89.0,1,0,0,0,15,2,3,56,10,8,0,0,39.2,518,+2,2.5,0,0,0,0,0,0,1,0,0,0,4,1,1400,86.4,0,1,0,0,13,1,3,55,13,13,0,0,36.6,516,+8,0.8,0,0,0,0,1,0,0,0,0,0,1,1,1400,86.6,0,1,0,0,16,1,3,55,9,9,0,0,36.2,508,-2,0.0,0,0,0,0,1,0,0,0,0,0,7,0,1400,84.5,1,0,0,0,18,7,3,54,4,3,0,0,34.7,510,0,0.6
ファイトエルフ,13,368.7,5,9,7,438,-2,0,0,1,5,57.0,1,0,0,0,0,0,0,0,0,0,13,1,1700,109.1,0,1,0,0,14,3,5,57,14,14,8,11,41.0,440,-6,5.1,1,0,0,0,0,0,0,0,0,0,10,1,1700,108.1,1,0,0,0,14,12,5,57,2,2,3,2,40.1,446,+4,2.6,0,1,0,0,0,0,0,0,0,0,7,1,1700,107.2,0,1,0,0,12,1,5,57,11,11,12,9,38.6,442,+4,1.5,0,1,0,0,0,0,0,0,0,0,10,0,2000,124.2,1,0,0,0,11,3,5,57,7,7,8,10,37.4,438,+4,2.0,0,0,0,1,0,0,0,0,0,0,11,0,2400,153.9,1,0,0,0,11,3,5,57,2,2,2,7,41.8,434,-32,6.1
ステラストラータ,9,18.0,5,10,3,472,+10,0,0,1,4,55.0,0,0,0,0,0,1,0,0,0,0,5,1,1200,70.8,0,0,0,1,13,11,4,55,6,6,0,0,36.6,462,+2,0.2,0,0,0,0,0,1,0,0,0,0,7,1,1200,72.1,1,0,0,0,16,3,4,55,12,14,0,0,36.1,460,-39,1.4,0,0,0,0,0,0,0,0,0,0,1,1,1600,104.8,0,1,0,0,11,10,4,56,4,4,3,3,39.4,499,-3,-0.3,0,0,0,0,0,0,0,0,0,0,2,1,1200,75.3,0,1,0,0,12,8,4,56,3,4,6,0,38.8,502,+4,0.8,0,0,0,0,0,0,0,0,0,0,1,1,1200,74.8,1,0,0,0,12,2,4,56,3,4,3,0,38.4,498,-2,-0.4
