枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
1,1,12,440,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,1200,71.8,1,0,0,0,16,1,3,54,2,2,0,0,38.9,444,+6,2.3,0,0,0,0,0,0,0,1,0,0,11,1,1200,75.3,0,0,1,0,12,2,3,54,1,1,0,0,40.5,438,-2,2.7,0,0,0,0,0,1,0,0,0,0,2,0,1200,69.6,1,0,0,0,16,7,3,54,1,1,0,0,35.2,440,+4,0.2,0,0,0,1,0,0,0,0,0,0,9,0,1200,71.4,1,0,0,0,16,6,3,54,3,3,0,0,36.1,436,+8,0.6
1,2,1,406,+6,0,1,0,3,53.0,0,0,0,0,0,0,1,0,0,0,2,0,1200,69.9,1,0,0,0,18,5,3,54,14,14,0,0,34.6,400,-10,1.0,0,0,0,0,0,0,0,0,1,0,14,1,1200,75.6,0,1,0,0,16,8,3,54,15,15,0,0,37.6,410,-4,2.9,0,0,0,0,0,0,0,0,1,0,6,0,1200,71.1,1,0,0,0,9,1,3,54,3,4,0,0,35.2,414,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,502,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,3,0,1200,71.0,0,1,0,0,18,13,3,53,7,5,0,0,35.8,500,-2,0.3,0,0,0,0,0,0,0,0,0,1,4,0,1200,69.7,1,0,0,0,18,4,3,52,1,1,0,0,36.5,502,+10,0.5,0,0,0,0,0,0,0,1,0,0,11,0,1400,83.7,1,0,0,0,17,3,3,54,1,1,0,0,37.3,492,+8,1.2,0,0,0,0,0,0,0,1,0,0,3,0,1400,83.7,0,1,0,0,18,3,3,54,1,1,0,0,36.9,484,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,2,464,0,1,0,0,3,55.0,0,0,0,0,0,0,0,0,0,1,5,0,1200,72.2,0,0,1,0,18,15,3,53,2,2,0,0,37.8,464,+4,1.4,0,0,0,0,0,0,1,0,0,0,4,0,1200,70.0,1,0,0,0,17,3,3,55,6,5,0,0,34.6,460,0,0.3,0,0,0,0,0,0,0,1,0,0,5,0,1200,71.5,1,0,0,0,9,2,3,55,4,4,0,0,35.2,460,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,8,490,+4,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,7,0,1600,98.1,1,0,0,0,16,11,3,54,2,2,0,0,36.6,486,+8,0.4,0,0,0,0,0,0,1,0,0,0,5,0,1600,95.5,1,0,0,0,16,2,3,54,1,1,1,0,34.9,478,-6,0.5,0,0,0,0,0,1,0,0,0,0,5,0,2000,122.3,1,0,0,0,13,10,3,53,1,1,1,1,36.7,484,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,15,400,-8,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1400,84.6,1,0,0,0,18,1,3,52,5,7,0,0,36.8,408,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,9,438,+2,0,0,1,3,56.0,0,0,0,0,0,1,0,0,0,0,15,1,1200,75.8,1,0,0,0,16,10,3,56,16,16,0,0,39.4,436,-2,3.7,0,0,0,0,0,1,0,0,0,0,15,0,1200,71.1,0,1,0,0,16,10,3,55,15,15,0,0,36.1,438,-8,1.8,0,0,0,1,0,0,0,0,0,0,14,1,1200,79.8,0,1,0,0,15,14,3,54,15,15,0,0,40.6,446,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,13,434,-8,0,1,0,3,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1400,82.5,1,0,0,0,15,6,3,54,3,3,0,0,35.8,442,0,1.2,0,0,0,0,1,0,0,0,0,0,8,0,1400,82.5,1,0,0,0,18,5,3,54,4,4,0,0,35.9,442,+8,0.7,0,0,0,1,0,0,0,0,0,0,3,0,1400,83.3,0,1,0,0,15,7,3,51,2,2,0,0,37.0,434,-6,0.4,0,0,0,0,0,1,0,0,0,0,4,0,1200,69.9,1,0,0,0,16,4,3,51,7,7,0,0,34.7,440,-2,0.5
5,9,2,458,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,2,0,1200,70.9,0,1,0,0,18,11,3,53,4,1,0,0,35.9,464,+4,0.2,0,0,0,0,0,0,0,0,0,1,3,0,1200,69.7,1,0,0,0,18,10,3,53,16,13,0,0,34.9,460,-2,0.5,0,0,0,0,0,0,0,0,0,1,2,0,1200,71.9,0,1,0,0,18,3,3,53,7,7,0,0,37.0,462,+2,0.0,0,0,0,0,0,0,0,0,0,1,2,0,1200,70.5,0,0,1,0,18,6,3,53,8,7,0,0,35.8,460,+12,0.6,0,0,0,0,1,0,0,0,0,0,14,0,1400,84.8,0,0,0,1,18,17,3,55,7,7,0,0,36.3,448,+2,1.3
5,10,9,450,-14,0,1,0,3,53.0,0,0,0,0,0,1,0,0,0,0,11,1,1200,74.9,1,0,0,0,16,4,3,53,6,6,0,0,40.2,464,+10,1.6,0,0,1,0,0,0,0,0,0,0,6,0,1200,70.7,1,0,0,0,16,3,3,53,2,1,0,0,36.0,454,-2,0.5,0,0,0,0,0,1,0,0,0,0,4,0,1200,69.1,1,0,0,0,13,6,3,53,2,2,0,0,35.5,456,-4,0.1,0,0,0,1,0,0,0,0,0,0,2,0,1200,72.4,1,0,0,0,12,6,3,53,3,3,0,0,36.2,460,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
