馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
トウショウデュエル,1,16.9,1,1,0,526,+2,0,7,57.0,2,3,1,1000,0,0,12,10,7,57,9,9,0,0,35.1,524,+2,0.7,2,4,1,1000,0,2,12,1,7,57,8,8,0,0,35.8,522,-6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1200,0,1,15,6,7,57,12,10,0,0,35.9,528,-6,0.4,5,15,1,1400,0,0,15,10,7,57,12,12,0,0,37.9,534,-2,2.8
バナナボート,8,20.8,2,2,3,444,0,0,5,56.0,2,2,1,1000,0,2,8,6,5,56,4,5,0,0,35.4,444,0,0.0,4,13,1,1200,0,0,15,1,5,55,9,11,0,0,38.0,444,+6,2.1,4,4,1,1200,0,0,15,11,5,56,2,2,0,0,37.1,438,+4,0.6,3,8,1,1150,0,0,16,10,5,54,13,14,0,0,37.0,434,+6,1.1,6,12,1,1200,0,0,16,1,5,57,13,12,0,0,38.3,428,-2,1.2
ダノンチャンス,3,2.1,3,3,1,508,0,2,5,57.0,2,3,1,1000,0,1,12,12,5,56,2,3,0,0,36.1,508,+6,0.4,6,5,1,1200,0,0,15,8,5,57,2,1,0,0,39.1,502,+4,0.2,6,3,1,1200,0,0,16,11,5,57,1,1,0,0,37.1,498,-4,0.4,6,2,1,1200,0,0,16,12,5,57,1,1,0,0,37.4,502,+16,0.3,4,5,1,1200,0,0,15,8,5,54,2,2,0,0,37.4,486,-2,0.6
セグレートシチー,6,52.8,4,4,0,520,+6,0,4,57.0,2,5,1,1000,0,0,12,3,4,57,9,9,0,0,35.6,514,-4,1.1,5,14,1,1300,0,2,15,16,4,56,10,10,0,0,38.6,518,+6,3.8,3,7,1,1150,0,0,14,1,4,57,12,12,0,0,37.8,512,+2,1.2,10,4,1,1000,0,1,14,6,4,57,6,4,0,0,35.8,510,-12,0.6,10,5,1,1000,0,1,14,11,4,57,2,5,0,0,36.0,522,+12,0.5
ラブミーボーイ,11,150.7,5,5,11,464,-6,0,4,54.0,-1,2,1,1200,0,1,12,7,4,56,2,1,2,0,40.6,470,-1,0.2,-1,1,1,1200,0,3,12,2,4,56,1,1,1,0,39.9,471,+10,-0.6,-1,1,1,1400,0,1,10,5,4,56,5,4,4,0,38.5,461,+1,-0.1,-1,2,1,1400,0,2,9,2,4,56,4,4,2,0,39.3,460,+4,1.3,-1,3,1,1400,0,0,8,7,4,56,2,2,3,0,38.5,456,+9,0.9
セイウンコービー,5,14.5,5,6,1,524,0,0,3,54.0,2,4,1,1000,0,1,12,1,3,54,4,4,0,0,35.7,524,+2,0.6,8,11,1,1200,0,0,15,13,3,56,9,11,0,0,39.4,522,+8,2.9,8,9,1,1200,0,0,14,14,3,53,5,4,0,0,39.5,514,+2,1.9,5,8,1,1400,0,1,11,9,3,56,1,1,0,0,39.0,512,-8,1.7,6,9,1,1200,0,0,16,13,3,55,11,11,0,0,37.6,520,+2,1.5
ホクリュウオウ,10,173.5,6,7,8,466,0,0,4,57.0,-1,7,0,1700,0,0,12,4,4,56,2,2,2,2,38.2,466,-4,0.8,6,12,1,1800,0,0,13,5,4,57,1,1,2,4,40.4,470,-6,2.2,-1,5,1,1400,0,2,9,8,4,56,2,2,1,2,38.7,476,+3,1.0,-1,10,1,1400,0,1,12,5,4,57,4,5,8,9,39.4,473,+1,1.4,-1,3,1,1400,0,0,11,6,4,56,1,1,1,1,39.9,472,+8,0.4
マイネルバトゥータ,2,6.1,6,8,2,488,+4,0,3,54.0,2,3,1,1000,0,2,12,5,3,54,3,3,0,0,36.3,484,+2,0.8,2,3,1,1000,0,0,8,9,3,54,3,2,0,0,36.5,482,-8,0.0,6,12,1,1200,0,0,16,9,3,56,5,4,0,0,38.1,490,0,1.2,6,11,1,1200,0,0,16,15,3,56,9,9,0,0,37.9,490,+30,1.4,5,9,1,1400,0,1,16,13,3,55,2,2,0,0,38.3,460,-8,2.2
メイショウメイリン,4,5.4,7,9,1,456,0,0,3,51.0,2,1,1,1000,0,0,12,2,3,53,1,1,0,0,36.2,456,0,-0.8,2,2,1,1000,0,0,12,10,3,53,4,4,0,0,36.4,456,-4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,1200,0,0,16,3,3,53,8,8,0,0,38.6,460,+4,1.3,10,2,1,1000,0,1,14,5,3,56,2,2,0,0,35.8,456,+2,0.1
タイガーキット,12,27.5,7,10,2,498,0,0,3,53.0,2,1,1,1000,0,0,12,11,3,55,1,1,0,0,36.7,498,+12,0.0,6,11,1,1200,0,0,16,2,3,56,3,2,0,0,39.7,486,+6,1.8,6,11,1,1200,0,0,16,3,3,56,9,6,0,0,40.7,480,-6,2.9,4,8,1,1200,0,2,15,1,3,55,3,3,0,0,39.5,486,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
