馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
グラナダ,13,144.0,23.8,46.1,1800,1,1,5,430,0,54.0,11,96.3,17,3,54,8,6,0,36.2,430,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トラストルシファー,1,1.9,1.1,1.3,1800,1,2,3,470,+10,54.0,2,107.4,18,3,54,9,9,9,34.7,460,+6,0.0,2,108.1,16,3,6,6,34.8,454,-10,0.0,14,120.4,16,3,13,12,42.9,464,+4,4.3,7,83.3,9,10,34.3,460,-6,0.6,12,111.3,9,34.5,466,+2,0.8
スウィートテイルズ,5,6.5,1.5,2.2,1800,2,3,6,440,+2,54.0,8,122.7,16,14,54,5,5,5,35.1,438,-2,0.6,3,109.5,18,7,8,11,34.7,440,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ミュトスレディ,15,12.3,2.5,4.5,1800,2,4,7,466,+6,54.0,7,109.7,14,9,54,1,1,0,35.9,460,0,1.2,3,110.4,16,5,2,2,36.7,460,-10,0.6,7,83.5,15,1,12,11,34.7,470,+2,1.2,9,95.7,7,5,35.9,468,+2,1.6,8,88.2,7,40.1,466,+6,2.0
スナークソフィア,12,98.7,26.9,52.2,1800,3,5,2,450,-4,51.0,10,113.5,16,16,51,11,12,11,38.3,454,+6,1.8,13,123.3,16,12,13,13,35.4,448,0,1.2,7,110.8,16,6,12,14,35.6,448,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラナチュール,3,22.1,3.7,6.9,1800,3,6,4,394,+2,54.0,2,135.3,15,10,51,9,9,9,36.1,392,+6,0.2,4,122.3,12,9,8,8,35.5,386,-4,0.4,7,126.2,18,17,15,15,36.1,390,0,1.5,9,123.0,5,13,35.6,390,-10,1.3,12,123.8,15,35.8,400,-2,0.8
ダブルフラワー,7,23.9,3.8,7.0,1800,4,7,4,478,+6,54.0,11,95.8,18,8,54,13,13,0,34.4,472,0,1.2,5,95.5,9,3,4,2,34.1,472,-4,0.2,7,123.1,18,8,11,9,35.7,476,-4,0.3,7,110.9,10,6,36.0,480,+8,0.4,7,110.8,1,34.5,472,+2,0.6
ラヴィーゲラン,9,11.2,2.1,3.6,1800,4,8,5,484,-8,51.0,9,96.0,17,7,54,16,16,0,35.0,492,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エアルナ,4,21.2,3.8,7.0,1800,5,9,5,392,-4,54.0,7,95.4,17,5,54,15,13,0,34.5,396,-2,0.5,5,81.7,18,10,13,14,34.0,398,+2,0.2,9,96.2,14,13,10,9,35.3,396,-2,0.9,8,82.6,10,13,35.2,398,+10,1.0,6,84.2,2,35.8,388,0,0.6
ハマギク,2,12.5,2.6,4.7,1800,5,10,2,466,-18,54.0,3,108.8,18,9,54,2,2,2,35.8,484,+22,0.4,14,120.8,16,15,6,7,40.7,462,+2,4.2,8,110.0,14,10,2,2,36.1,460,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リコリアーノ,11,97.1,14.6,28.2,1800,6,11,9,402,+14,54.0,5,110.7,16,10,54,8,9,11,36.1,388,-18,0.9,9,113.2,16,2,2,2,35.8,406,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コアレスフェーブル,6,31.6,5.7,10.6,1800,6,12,4,430,0,54.0,8,107.9,16,9,54,10,12,0,34.6,430,+4,0.4,8,95.6,16,14,4,8,36.2,426,-2,1.1,13,126.5,16,1,1,1,36.7,428,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フォローガーネット,10,38.0,7.6,14.3,1800,7,13,29,448,-6,54.0,10,85.0,15,15,54,6,6,0,36.4,454,-8,1.7,2,82.1,12,3,3,3,35.0,462,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サクヤヒメ,14,212.3,44.6,86.6,1800,7,14,2,432,-2,54.0,13,114.6,16,8,54,8,8,8,39.8,434,+6,2.2,11,109.9,18,14,12,11,36.6,428,+12,1.3,14,87.6,15,2,11,12,38.9,416,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ベルシルエット,16,62.6,8.5,16.2,1800,8,15,16,434,+20,54.0,9,129.4,16,16,54,13,13,9,37.3,414,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ルールザユニバース,8,9.3,2.1,3.6,1800,8,16,15,442,+2,54.0,9,112.1,16,13,54,2,2,2,37.3,440,0,0.9,2,97.7,16,13,2,2,34.4,440,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
