馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ワンダーグロワール,15,4.0,1.5,1.8,1200,1,1,2,496,+4,56.0,2,59.5,12,8,56,2,2,0,36.0,492,-4,0.1,2,59.6,12,2,2,2,36.4,496,+14,0.1,13,71.8,16,7,14,14,36.1,482,-4,1.0,5,60.7,3,3,37.3,486,0,0.7,3,60.6,2,37.6,486,+2,0.4
カゼノカオリ,10,22.6,5.6,8.1,1200,1,2,2,488,+2,51.0,4,68.7,18,7,51,2,2,0,35.1,486,+4,0.1,5,68.9,18,4,4,4,35.6,482,-4,0.2,7,83.5,18,7,5,5,35.5,486,+8,1.0,8,82.5,7,3,35.8,478,-2,0.5,5,82.4,2,35.3,480,-2,0.2
ティーエスナイン,3,15.2,4.3,6.1,1200,2,3,2,452,0,56.0,5,69.0,18,1,56,1,1,0,35.5,452,0,0.4,2,69.2,18,2,1,1,35.5,452,0,0.3,8,70.1,15,14,3,3,35.5,452,+12,0.8,16,91.7,1,14,42.7,440,-6,6.4,9,114.6,14,38.2,446,0,2.2
スズカプリウス,11,88.4,30.4,44.7,1200,2,4,43,438,-2,54.0,0,0,0,0,0,0,0,0,0,0,0,0,10,88.2,14,14,12,12,37.8,440,-4,1.4,8,76.0,8,6,3,3,38.9,444,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ギャラクシーツアー,12,82.4,22.0,32.3,1200,3,5,4,422,+4,53.0,8,70.5,15,8,51,14,13,0,35.0,418,+2,0.6,0,0,0,0,0,0,0,0,0,0,9,116.0,16,4,7,7,37.2,416,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スカイパッション,14,27.6,6.0,8.6,1200,3,6,2,456,-6,54.0,2,68.6,18,6,54,7,6,0,34.5,462,-2,0.0,11,107.6,16,5,16,16,38.8,464,+4,3.1,11,86.8,16,15,9,10,39.9,460,-4,2.1,7,116.0,5,5,39.4,464,0,0.9,7,115.9,9,35.3,464,0,1.0
タイセイメテオ,7,9.3,2.6,3.6,1200,4,7,7,480,+6,56.0,5,68.7,18,7,56,5,7,0,35.4,474,+4,0.6,5,73.3,16,7,13,13,37.3,470,0,1.4,2,72.3,16,16,9,8,36.5,470,+4,0.3,8,73.9,8,7,38.5,466,0,1.3,3,69.6,9,36.9,466,0,0.3
ナムラスター,13,4.8,1.8,2.4,1200,4,8,4,466,+6,56.0,8,59.6,14,4,56,9,8,0,35.6,460,-8,0.9,2,73.6,11,10,2,2,36.7,468,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グレートブレス,5,7.8,2.0,2.7,1200,5,9,3,510,+4,56.0,2,58.5,14,8,56,2,2,0,36.1,506,+2,1.0,9,59.5,14,12,12,12,35.1,504,+2,1.1,3,72.9,15,3,4,4,38.5,502,0,0.1,4,73.2,5,1,38.7,502,-2,1.0,5,73.5,8,37.7,504,0,0.6
メイショウアバラガ,2,13.1,3.0,4.2,1200,5,10,3,514,+2,56.0,5,59.7,12,7,56,3,3,0,35.8,512,+2,0.2,5,60.1,12,7,3,5,36.3,510,+2,0.2,4,59.0,10,3,6,6,35.5,508,-6,0.1,15,70.6,12,13,35.1,514,-2,1.7,3,73.1,14,38.2,516,+10,0.5
ラヴィダフェリース,9,19.1,5.5,7.9,1200,6,11,2,488,-12,53.0,5,59.9,12,11,53,8,9,0,35.9,500,-2,0.5,4,59.5,12,6,3,3,35.7,502,0,0.0,6,108.6,11,3,2,2,41.0,502,+2,1.7,6,122.3,1,15,39.0,500,+4,1.5,9,116.7,13,40.0,496,-4,1.1
メイショウワカアユ,4,25.6,5.5,8.0,1200,6,12,4,464,+8,56.0,12,70.0,18,11,56,7,7,0,35.7,456,+4,1.1,11,109.9,16,9,4,4,37.9,452,-8,1.7,9,97.1,16,5,10,7,36.9,460,+6,1.3,14,96.9,3,3,38.4,454,+10,2.8,3,95.8,9,34.2,444,0,0.0
クランデール,6,37.4,5.9,8.5,1200,7,13,2,446,-2,54.0,3,58.4,14,4,54,6,6,0,35.4,448,0,0.4,5,59.3,14,13,3,5,35.9,448,-2,0.6,15,73.0,18,6,16,17,36.9,450,0,2.3,10,87.2,15,4,39.8,450,-4,1.7,9,75.2,6,38.4,454,-10,1.1
