複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
4.5,6.2,1,0,1200,0,1,0,0,1,1,3,0,0,1,0,0,5,57.0,0,0,0,0,0,0,0,0,1,0,5,1,0,1400,80.5,1,0,0,0,18,7,5,57,10,10,0,0,34.2,492,+6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,1600,91.3,1,0,0,0,16,8,5,58,15,15,0,0,32.6,486,+8,0.4,0,0,0,0,0,0,0,0,1,0,14,1,0,2000,122.5,1,0,0,0,14,12,5,57,4,5,6,4,36.7,478,-12,1.5,0,0,0,0,0,1,0,0,0,0,3,1,0,1800,105.5,1,0,0,0,11,7,5,57,5,5,6,6,33.5,490,+12,0.0
6.5,9.2,1,0,1200,0,1,0,0,1,2,7,0,0,0,1,0,4,55.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1200,69.0,1,0,0,0,18,8,4,55,13,12,0,0,33.7,478,+4,0.0,0,0,0,0,0,0,0,1,0,0,4,1,0,1200,69.3,1,0,0,0,18,11,4,53,12,10,0,0,33.9,474,+4,0.5,0,0,0,0,0,0,0,1,0,0,1,1,0,1200,69.2,0,1,0,0,18,1,4,52,9,7,0,0,34.6,470,+10,0.0,0,0,0,0,0,0,1,0,0,0,8,1,0,1200,70.7,0,0,0,1,13,13,4,51,13,13,0,0,34.9,460,+4,0.9,0,0,0,0,0,0,0,1,0,0,3,1,0,1200,68.2,1,0,0,0,16,7,4,55,6,6,0,0,33.7,456,-2,0.2
2.7,3.6,1,0,1200,0,1,0,0,2,3,3,0,0,1,0,0,5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1600,94.2,1,0,0,0,18,6,5,57,9,9,0,0,34.3,484,+12,0.2,0,0,0,0,0,0,0,1,0,0,10,1,0,1600,93.8,1,0,0,0,17,15,5,57,13,12,0,0,34.0,472,-4,0.8,0,0,0,0,0,0,0,1,0,0,1,1,0,1400,81.3,0,1,0,0,18,17,5,56,12,11,0,0,33.6,476,0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1400,79.6,1,0,0,0,13,7,5,54,8,7,0,0,33.7,476,+2,0.0
17.7,25.2,1,0,1200,0,1,0,0,2,4,2,0,0,1,0,0,1,57.0,0,0,0,0,0,1,0,0,0,0,9,1,0,1200,68.7,1,0,0,0,16,4,10,56,15,14,0,0,34.2,464,-6,1.3,0,0,0,0,0,0,0,1,0,0,13,1,0,1200,69.9,1,0,0,0,18,4,10,57,13,12,0,0,34.6,470,-2,0.9,0,0,0,0,0,0,0,1,0,0,14,1,0,1200,71.0,1,0,0,0,15,15,10,59,12,12,0,0,35.2,472,+4,1.4,0,0,0,0,0,0,1,0,0,0,5,1,0,1200,67.6,1,0,0,0,18,5,10,57,11,8,0,0,33.7,468,-6,0.3,0,0,0,0,0,0,0,1,0,0,3,1,0,1200,68.5,1,0,0,0,18,18,10,57,16,15,0,0,33.7,474,+2,0.2
27.4,39.1,1,0,1200,0,1,0,0,3,5,2,0,0,0,1,0,5,55.0,0,0,0,0,0,1,0,0,0,0,13,1,0,1200,69.0,1,0,0,0,16,12,5,54,10,11,0,0,35.2,438,-4,1.6,0,0,0,0,0,0,0,1,0,0,16,1,0,1200,70.3,1,0,0,0,18,7,5,52,11,12,0,0,35.0,442,+2,1.3,0,0,0,0,0,0,0,1,0,0,11,1,0,1200,70.7,1,0,0,0,15,1,5,57,4,4,0,0,35.6,440,-6,1.1,0,0,0,0,0,0,0,1,0,0,9,1,0,1200,69.8,1,0,0,0,18,1,5,55,3,3,0,0,35.2,446,+8,1.0,0,0,0,1,0,0,0,0,0,0,16,1,0,1000,57.4,0,1,0,0,18,2,5,57,0,0,0,0,34.9,438,+2,1.0
1.8,2.2,1,0,1200,0,1,0,0,3,6,2,0,0,1,0,0,5,57.0,0,0,0,0,0,1,0,0,0,0,1,1,0,1200,67.4,1,0,0,0,16,2,5,56,4,4,0,0,34.0,478,+4,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1200,0,1,0,0,0,14,7,5,57,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1200,67.2,1,0,0,0,16,2,5,57,7,8,0,0,33.7,470,-8,0.1,1,0,0,0,0,0,0,0,0,0,1,1,0,1200,69.2,0,1,0,0,16,13,5,57,7,6,0,0,35.3,478,+6,-0.1
5.8,8.2,1,0,1200,0,1,0,0,4,7,9,0,0,1,0,0,4,57.0,0,0,0,0,0,1,0,0,0,0,7,1,0,1600,96.3,0,1,0,0,16,9,4,56,5,4,8,0,36.6,496,+8,0.5,0,0,0,0,1,0,0,0,0,0,10,0,1,1600,96.0,1,0,0,0,16,1,4,56,4,4,0,0,37.1,488,-6,1.4,0,0,0,0,0,1,0,0,0,0,11,1,0,1600,91.5,1,0,0,0,16,9,4,55,5,5,5,0,34.6,494,+4,1.2,0,0,0,0,0,0,1,0,0,0,1,1,0,1600,93.6,0,1,0,0,16,5,4,52,4,7,7,0,34.6,490,+2,0.0,0,0,0,0,1,0,0,0,0,0,10,1,0,1600,92.9,1,0,0,0,18,6,4,57,9,9,0,0,34.3,488,+2,0.5
2.1,2.8,1,0,1200,0,1,0,0,4,8,13,0,0,0,1,0,4,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1400,79.4,1,0,0,0,18,5,4,54,8,8,0,0,33.5,474,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1600,92.7,1,0,0,0,18,8,4,55,3,1,0,0,33.3,476,-6,-0.4,0,0,0,0,0,0,0,0,1,0,3,1,0,1600,94.3,1,0,0,0,15,2,4,54,2,2,0,0,34.6,482,+6,0.4
1.7,2.1,1,0,1200,0,1,0,0,5,9,2,0,0,1,0,0,5,57.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1200,68.1,1,0,0,0,16,1,5,58,9,6,0,0,34.4,520,+6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1200,67.1,1,0,0,0,16,8,5,57,11,8,0,0,33.5,514,-2,-0.1,0,0,0,0,0,0,0,0,1,0,1,1,0,1200,66.7,1,0,0,0,13,7,5,57,7,7,0,0,33.2,516,-4,-0.5,1,0,0,0,0,0,0,0,0,0,2,1,0,1200,69.3,0,1,0,0,16,7,5,58,12,12,0,0,34.9,520,+2,0.1
4.3,5.9,1,0,1200,0,1,0,0,5,10,10,0,0,0,1,0,4,55.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1200,69.6,1,0,0,0,15,12,4,54,5,5,0,0,34.4,434,0,-0.1,0,0,0,0,0,0,0,1,0,0,2,1,0,1200,69.1,1,0,0,0,18,12,4,53,12,13,0,0,33.6,434,-4,0.3,0,0,0,0,0,0,0,1,0,0,1,1,0,1200,69.1,1,0,0,0,18,12,4,52,10,10,0,0,33.9,438,+16,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1400,82.0,0,1,0,0,13,14,4,52,6,3,0,0,35.4,422,0,-0.4,0,0,0,0,0,0,0,0,1,0,1,1,0,1400,81.6,1,0,0,0,12,4,4,54,7,8,0,0,34.4,422,0,0.0
