馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ロトシリウス,7,4.7,1.6,2.2,0,1,1800,1,0,0,0,1,1,2,456,-2,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,2,0,1,1700,107.6,0,0,1,0,15,3,3,56,15,15,3,3,37.5,458,+6,0.1,0,0,0,0,1,0,0,0,0,0,12,1,0,1400,84.1,1,0,0,0,18,10,3,56,16,15,0,0,35.1,452,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノビッグスカイ,5,85.1,21.2,34.1,0,1,1800,1,0,0,0,2,2,0,446,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エドヒガン,1,4.1,1.4,2.0,0,1,1800,1,0,0,0,2,3,2,478,-4,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,3,0,1,1700,108.0,0,0,1,0,15,4,3,56,5,5,5,4,37.7,482,+4,0.5,0,0,0,0,1,0,0,0,0,0,2,0,1,2100,135.8,1,0,0,0,16,9,3,56,4,4,4,4,37.2,478,-4,0.0,0,0,0,0,1,0,0,0,0,0,3,0,1,2100,135.9,1,0,0,0,16,16,3,56,13,14,14,13,37.6,482,0,0.1,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,100.2,1,0,0,0,15,13,3,56,14,13,0,0,37.2,482,0,1.5,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,117.0,1,0,0,0,16,5,3,56,15,14,12,8,38.0,482,0,0.4
イチフジ,9,323.9,42.4,68.3,0,1,1800,1,0,0,0,3,4,3,410,0,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,13,0,1,1700,111.3,1,0,0,0,15,8,3,56,3,2,3,7,42.1,410,+4,3.9,0,0,0,0,1,0,0,0,0,0,14,0,1,1400,89.4,0,1,0,0,15,7,3,56,5,7,0,0,41.0,406,-12,3.4,0,0,0,0,0,1,0,0,0,0,13,0,1,1200,76.3,1,0,0,0,16,15,3,56,8,10,0,0,40.5,418,+4,4.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.0,0,0,0,1,15,9,3,56,7,6,0,0,38.9,414,+4,1.3,0,0,0,0,1,0,0,0,0,0,5,0,1,1600,103.2,1,0,0,0,16,5,3,56,3,2,0,0,38.9,410,0,0.4
シンボリルアーブル,4,28.1,6.6,10.5,0,1,1800,1,0,0,0,3,5,18,512,-14,1,0,0,3,53.0,0,0,0,0,0,1,0,0,0,0,12,0,1,1800,118.9,1,0,0,0,16,13,3,56,15,14,16,15,41.2,526,+2,3.3,0,0,0,0,0,1,0,0,0,0,10,1,0,2000,126.2,0,1,0,0,11,10,3,55,7,7,7,8,37.7,524,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラッキーバニラ,3,3.5,1.3,1.7,0,1,1800,1,0,0,0,4,6,2,492,+2,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,3,0,1,1700,108.9,0,1,0,0,15,10,3,56,4,3,5,4,37.6,490,-4,0.4,0,0,0,0,1,0,0,0,0,0,4,0,1,1600,99.5,1,0,0,0,16,13,3,56,5,4,0,0,38.0,494,+2,0.4,0,0,0,1,0,0,0,0,0,0,3,0,1,1800,114.5,1,0,0,0,15,7,3,56,2,2,2,2,39.6,492,-2,0.1,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,99.2,1,0,0,0,15,9,3,56,7,8,0,0,37.0,494,+18,0.5,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,116.7,0,0,0,1,15,7,3,55,6,7,9,8,40.1,476,-2,0.5
マンカイノサクラ,13,595.5,90.0,145.3,0,1,1800,1,0,0,0,4,7,2,464,+4,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,14,0,1,1700,111.6,0,1,0,0,15,7,3,53,14,13,8,10,40.0,460,+2,3.1,0,0,0,0,1,0,0,0,0,0,12,0,1,1300,81.9,1,0,0,0,16,8,3,56,10,12,0,0,38.4,458,-4,1.8,0,0,0,0,1,0,0,0,0,0,4,0,1,1400,88.1,1,0,0,0,16,12,3,56,11,10,0,0,38.1,462,-14,1.1,0,0,0,0,0,1,0,0,0,0,16,0,1,1200,75.1,0,0,0,1,16,10,3,56,12,14,0,0,39.2,476,+8,3.1,0,0,0,0,0,1,0,0,0,0,14,0,1,1800,120.2,0,0,0,1,14,6,3,55,11,11,12,14,42.0,468,0,6.1
ハマー,14,95.6,13.3,21.4,0,1,1800,1,0,0,0,5,8,2,516,+6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,13,0,1,1200,74.4,0,0,0,1,16,13,3,55,14,14,0,0,36.5,510,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ノアシーズ,15,168.3,20.8,33.4,0,1,1800,1,0,0,0,5,9,3,426,-8,0,1,0,3,54.0,0,0,1,0,0,0,0,0,0,0,8,0,1,1700,109.8,1,0,0,0,15,4,3,54,14,14,14,13,38.8,434,+12,1.3,0,0,0,0,1,0,0,0,0,0,7,0,1,1400,87.7,1,0,0,0,15,1,3,54,10,10,0,0,37.7,422,-12,1.9,0,0,1,0,0,0,0,0,0,0,14,1,0,1200,72.5,1,0,0,0,16,7,3,51,10,11,0,0,36.7,434,+12,1.8,0,0,0,0,0,1,0,0,0,0,7,0,1,1200,74.1,0,0,0,1,15,14,3,51,8,8,0,0,38.9,422,-4,1.4,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,75.3,1,0,0,0,16,15,3,51,8,7,0,0,40.1,426,-6,1.6
グランデボス,10,46.5,5.8,9.0,0,1,1800,1,0,0,0,6,10,1,486,-2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,115.3,0,1,0,0,14,4,3,56,4,4,4,4,39.4,488,+8,2.3,0,0,0,0,0,0,0,1,0,0,11,1,0,1600,95.8,1,0,0,0,11,9,3,55,9,8,0,0,36.9,480,-8,1.1,0,0,0,0,0,0,0,1,0,0,10,1,0,1600,96.7,1,0,0,0,18,7,3,55,13,15,0,0,35.6,488,+10,1.4,0,0,0,1,0,0,0,0,0,0,4,1,0,1600,97.4,1,0,0,0,14,11,3,54,7,7,0,0,34.2,478,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
