馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ローズエンジェル,12,382.1,53.9,92.1,0,1,1000,1,0,0,0,1,1,1,476,+4,0,1,0,4,55.0,0,1,0,0,0,0,0,0,0,0,11,0,1,1700,109.6,0,1,0,0,13,6,4,52,5,5,9,10,39.8,472,0,2.8,0,1,0,0,0,0,0,0,0,0,12,0,1,1000,61.7,1,0,0,0,12,11,4,52,10,12,0,0,37.1,472,+2,3.1,0,0,0,0,1,0,0,0,0,0,17,1,0,1400,84.1,1,0,0,0,18,9,4,55,14,15,0,0,35.5,470,-12,2.1,0,0,0,0,1,0,0,0,0,0,14,0,1,1400,87.5,0,0,1,0,16,4,4,55,7,7,0,0,39.0,482,0,2.1,0,0,0,0,0,0,0,0,0,0,7,0,1,1600,105.2,0,0,1,0,12,12,4,54,5,4,6,0,0.0,482,-1,1.6
アルマダ,7,55.3,7.0,11.7,0,1,1000,1,0,0,0,2,2,2,444,+6,1,0,0,4,56.0,0,1,0,0,0,0,0,0,0,0,8,0,1,1000,60.2,1,0,0,0,12,9,4,56,10,10,0,0,36.2,438,0,1.7,0,1,0,0,0,0,0,0,0,0,7,0,1,1000,59.9,1,0,0,0,12,6,4,55,6,6,0,0,36.1,438,+2,0.5,0,0,1,0,0,0,0,0,0,0,10,0,1,1150,70.3,1,0,0,0,16,1,4,54,5,5,0,0,37.7,436,-6,1.1,0,0,0,0,0,0,1,0,0,0,2,0,1,1000,59.4,1,0,0,0,15,1,4,55,3,3,0,0,36.1,442,-2,0.7,0,0,0,0,0,0,1,0,0,0,18,1,0,1200,73.1,1,0,0,0,18,16,4,56,6,12,0,0,39.0,444,+16,3.2
ナムラアトラクト,4,2.2,1.2,1.5,0,1,1000,1,0,0,0,3,3,1,504,0,0,1,0,3,52.0,0,1,0,0,0,0,0,0,0,0,7,0,1,1000,59.2,0,0,1,0,12,5,3,52,6,6,0,0,35.2,504,+2,1.5,0,1,0,0,0,0,0,0,0,0,2,0,1,1000,59.1,1,0,0,0,12,5,3,52,1,1,0,0,35.8,502,+20,0.5,0,0,0,0,0,0,0,1,0,0,11,0,1,1400,85.0,0,0,0,1,16,13,3,54,1,1,0,0,38.8,482,-28,1.6,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.8,1,0,0,0,16,13,3,54,2,1,0,0,38.7,510,-4,0.5,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,86.4,1,0,0,0,16,9,3,54,2,2,0,0,37.3,514,+10,0.9
エイシンクエスト,3,5.7,1.6,2.4,0,1,1000,1,0,0,0,4,4,2,520,+6,1,0,0,4,57.0,0,1,0,0,0,0,0,0,0,0,6,0,1,1000,60.2,1,0,0,0,12,6,4,57,8,7,0,0,35.9,514,-4,1.0,0,0,0,0,0,0,0,1,0,0,12,0,1,1200,71.5,0,1,0,0,16,4,4,57,7,7,0,0,36.5,518,+4,1.4,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,71.6,1,0,0,0,16,10,4,57,3,2,0,0,37.4,514,0,0.4,0,0,0,0,1,0,0,0,0,0,3,0,1,1300,78.3,1,0,0,0,16,12,4,57,3,3,0,0,36.7,514,0,0.5,0,0,0,0,0,0,0,0,1,0,4,0,1,1200,72.3,1,0,0,0,16,14,4,57,3,3,0,0,36.7,514,0,0.6
ヒシソロモン,6,113.4,11.6,19.8,0,1,1000,1,0,0,0,5,5,1,480,0,1,0,0,4,54.0,0,1,0,0,0,0,0,0,0,0,9,0,1,1000,60.2,0,1,0,0,12,5,4,57,5,5,0,0,36.1,480,-4,1.8,0,1,0,0,0,0,0,0,0,0,8,0,1,1000,60.5,1,0,0,0,12,1,4,57,10,9,0,0,35.9,484,+4,1.9,0,0,0,0,1,0,0,0,0,0,15,1,0,1400,84.6,0,1,0,0,18,7,4,54,10,11,0,0,36.7,480,-2,1.4,0,0,1,0,0,0,0,0,0,0,11,1,0,1200,70.6,1,0,0,0,16,8,4,54,8,10,0,0,35.4,482,+10,0.7,1,0,0,0,0,0,0,0,0,0,10,0,1,1000,59.9,1,0,0,0,11,4,4,54,10,10,0,0,34.8,472,0,1.3
スペシャルブレイド,11,4.4,1.5,2.1,0,1,1000,1,0,0,0,5,6,1,454,0,1,0,0,5,57.0,0,1,0,0,0,0,0,0,0,0,3,1,0,1200,70.9,1,0,0,0,15,9,5,57,1,1,0,0,36.7,454,-4,0.3,0,1,0,0,0,0,0,0,0,0,2,1,0,1200,69.9,1,0,0,0,14,8,5,57,1,1,0,0,35.6,458,+8,0.1,0,0,1,0,0,0,0,0,0,0,14,1,0,1200,72.8,0,1,0,0,15,4,5,57,1,1,0,0,38.4,450,-14,2.7,0,0,0,0,0,0,1,0,0,0,14,1,0,1200,70.8,1,0,0,0,18,14,5,57,1,1,0,0,37.1,464,+10,0.8,1,0,0,0,0,0,0,0,0,0,6,1,0,1200,70.4,1,0,0,0,16,1,5,57,13,11,0,0,34.1,454,+2,0.6
シズパンチ,1,26.1,4.0,6.5,0,1,1000,1,0,0,0,6,7,5,478,+7,0,1,0,3,52.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1000,59.5,1,0,0,0,12,5,3,53,4,3,0,0,35.7,471,-7,0.0,0,0,0,0,0,0,0,0,0,0,3,0,1,1400,89.0,0,0,0,1,12,3,3,53,4,4,2,2,39.6,478,+6,0.5,0,0,0,0,0,0,0,0,0,0,4,0,1,1600,102.9,0,1,0,0,9,1,3,53,5,5,5,4,38.9,472,-4,1.2,0,0,0,0,0,0,0,0,0,0,7,0,1,1400,91.4,1,0,0,0,11,6,3,53,7,7,7,8,41.0,476,-9,1.0,0,0,0,0,0,0,0,0,0,0,6,0,1,1600,104.8,0,1,0,0,12,12,3,53,5,5,3,3,42.0,485,+7,1.4
ホワイトクルーザー,2,18.7,2.7,4.3,0,1,1000,1,0,0,0,6,8,1,446,-4,0,1,0,4,55.0,0,1,0,0,0,0,0,0,0,0,6,0,1,1000,59.9,0,1,0,0,12,4,4,55,10,10,0,0,35.4,450,-2,1.5,0,1,0,0,0,0,0,0,0,0,6,0,1,1000,60.1,1,0,0,0,12,10,4,55,5,5,0,0,36.7,452,+14,1.6,0,0,0,0,0,0,0,0,1,0,14,0,1,1400,87.3,1,0,0,0,15,5,4,55,10,10,0,0,38.8,438,-12,2.4,0,0,0,0,1,0,0,0,0,0,8,0,1,1400,86.0,1,0,0,0,15,5,4,52,8,7,0,0,37.5,450,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デステニーアロー,8,252.3,31.2,53.2,0,1,1000,1,0,0,0,7,9,10,430,+12,0,1,0,4,55.0,0,0,0,0,1,0,0,0,0,0,14,0,1,1300,80.6,1,0,0,0,16,8,4,55,11,11,0,0,37.3,418,+4,1.7,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,72.2,0,0,0,1,14,10,4,55,8,7,0,0,37.3,414,+6,1.4,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,73.1,0,0,1,0,16,2,4,55,13,13,0,0,36.8,408,0,1.1,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,74.1,1,0,0,0,16,9,4,55,12,11,0,0,37.6,408,-4,2.3,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,74.2,1,0,0,0,16,2,4,54,13,12,0,0,38.3,412,-2,1.5
オリオンザブラック,5,6.2,1.6,2.4,0,1,1000,1,0,0,0,7,10,1,436,+2,0,1,0,4,55.0,0,1,0,0,0,0,0,0,0,0,4,1,0,1200,71.1,0,1,0,0,16,8,4,55,4,3,0,0,36.0,434,-8,0.4,0,0,0,1,0,0,0,0,0,0,11,1,0,1000,57.9,1,0,0,0,11,10,4,55,4,0,0,0,35.5,442,0,1.9,0,0,1,0,0,0,0,0,0,0,4,1,0,1200,69.2,1,0,0,0,16,9,4,51,9,11,0,0,34.7,442,-2,0.7,0,0,0,0,0,1,0,0,0,0,11,1,0,1200,68.9,1,0,0,0,15,9,4,54,11,10,0,0,34.5,444,0,0.6,0,0,0,0,0,1,0,0,0,0,10,1,0,1200,68.8,0,1,0,0,15,11,4,54,5,8,0,0,34.7,444,+2,0.9
