馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
トップオペラ,8,9.2,2.1,3.1,1,0,2200,0,0,1,0,1,1,3,450,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,7,1,0,2200,136.9,1,0,0,0,17,11,3,54,5,4,6,7,36.1,456,+4,1.1,0,0,0,0,0,0,0,1,0,0,4,1,0,2000,122.0,1,0,0,0,16,5,3,54,3,5,9,8,35.5,452,-4,0.8,0,0,0,0,0,0,1,0,0,0,7,1,0,2000,124.2,1,0,0,0,18,4,3,53,12,13,11,9,35.8,456,+2,0.8,0,0,0,0,0,0,0,1,0,0,11,1,0,2000,123.9,1,0,0,0,16,16,3,54,14,13,13,13,35.9,454,-6,1.8,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,122.3,1,0,0,0,6,3,3,55,3,3,5,5,42.4,460,0,1.9
ドミネーター,2,2.9,1.4,1.6,1,0,2200,0,0,1,0,1,2,3,464,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,2,1,0,2200,136.0,1,0,0,0,17,1,3,56,11,10,10,8,35.0,464,-14,0.2,0,0,0,0,0,0,0,1,0,0,6,1,0,2200,137.5,1,0,0,0,15,5,3,56,5,5,5,4,35.8,478,-4,1.6,0,0,0,0,0,0,0,0,1,0,3,1,0,2000,123.3,1,0,0,0,16,5,3,55,3,3,3,3,36.2,482,+8,0.3,0,0,0,0,0,0,0,1,0,0,5,1,0,1800,108.5,1,0,0,0,15,12,3,55,12,12,0,0,34.6,474,-2,0.7,0,0,0,0,0,0,0,0,1,0,5,1,0,1800,110.8,0,1,0,0,11,3,3,55,10,10,0,0,34.7,476,0,0.9
ユウキング,18,97.2,20.8,33.6,1,0,2200,0,0,1,0,2,3,2,466,+8,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,116.3,1,0,0,0,16,4,3,56,10,10,14,13,40.0,458,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シースナイプ,3,14.3,3.4,5.1,1,0,2200,0,0,1,0,2,4,18,448,-8,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,118.3,0,1,0,0,13,6,3,54,4,4,3,5,39.2,456,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイトップイモン,11,139.1,20.2,32.7,1,0,2200,0,0,1,0,3,5,4,382,0,0,1,0,3,53.0,0,0,0,0,0,0,0,1,0,0,10,1,0,2000,123.8,1,0,0,0,18,14,3,54,12,13,11,10,35.3,382,0,1.7,0,0,0,0,0,0,0,1,0,0,12,1,0,2400,150.6,1,0,0,0,13,8,3,54,6,6,10,10,35.7,382,-2,1.8,0,0,0,0,0,0,0,1,0,0,12,1,0,1600,97.0,1,0,0,0,18,15,3,54,16,17,0,0,36.0,384,0,2.3,0,0,0,0,0,0,0,0,1,0,13,0,1,1200,76.0,0,0,0,1,16,15,3,54,14,15,0,0,38.0,384,+2,2.7,0,0,0,0,0,0,0,1,0,0,9,0,1,1200,76.1,0,1,0,0,11,11,3,54,6,6,0,0,38.6,382,-2,1.7
ロスマリン,9,85.7,14.4,23.1,1,0,2200,0,0,1,0,3,6,2,444,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,8,1,0,2000,122.4,1,0,0,0,18,5,3,54,8,9,10,10,35.4,450,-6,0.9,0,0,0,0,0,0,0,1,0,0,13,0,1,1800,118.7,1,0,0,0,15,11,3,54,2,6,11,13,42.7,456,+4,4.5,0,0,0,0,0,0,0,1,0,0,8,0,1,1800,116.6,0,1,0,0,15,13,3,54,11,12,13,12,39.1,452,-4,2.2,0,0,0,0,0,0,0,0,1,0,13,0,1,1200,74.0,0,0,1,0,16,11,3,54,13,14,0,0,37.1,456,+2,2.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1200,75.5,1,0,0,0,15,16,3,54,10,9,0,0,38.1,454,-2,2.0
マムシ,15,107.1,20.5,33.2,1,0,2200,0,0,1,0,4,7,2,500,+8,1,0,0,3,53.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1900,123.4,1,0,0,0,16,6,3,56,15,15,15,15,39.0,492,-4,3.1,0,0,0,0,0,0,0,1,0,0,11,0,1,1900,122.8,1,0,0,0,15,11,3,56,14,14,15,13,38.9,496,+2,2.1,0,0,0,0,0,0,0,1,0,0,14,0,1,1800,119.5,0,1,0,0,16,5,3,56,16,16,16,16,41.1,494,+4,5.4,0,0,0,0,0,0,0,1,0,0,11,0,1,1800,118.9,1,0,0,0,13,8,3,56,12,11,12,12,39.6,490,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホーリーロックス,10,20.3,3.6,5.6,1,0,2200,0,0,1,0,4,8,23,492,-2,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,9,1,0,2000,123.6,1,0,0,0,16,6,3,56,3,2,3,3,37.1,494,0,1.5,0,0,0,0,0,0,0,0,1,0,4,1,0,1800,110.8,1,0,0,0,9,5,3,55,8,5,0,0,34.3,494,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヤマカツセイリュウ,7,10.8,2.6,3.9,1,0,2200,0,0,1,0,5,9,2,466,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,6,1,0,2000,122.0,1,0,0,0,18,8,3,56,8,7,4,2,35.5,466,0,0.5,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,108.1,1,0,0,0,18,1,3,56,4,3,0,0,35.7,466,+4,0.6,0,0,1,0,0,0,0,0,0,0,3,1,0,1800,111.0,1,0,0,0,16,13,3,56,8,8,6,3,36.7,462,-6,0.3,0,0,0,0,0,0,0,0,0,0,5,0,1,1400,91.2,1,0,0,0,11,2,3,55,5,3,1,4,0.0,468,+2,1.6,0,0,0,0,0,0,0,0,1,0,8,1,0,2000,124.7,1,0,0,0,13,2,3,55,5,5,6,8,35.3,466,-2,0.9
セレナデスタン,4,3.8,1.5,2.0,1,0,2200,0,0,1,0,5,10,1,440,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,3,1,0,2400,149.2,1,0,0,0,18,15,3,56,11,12,8,2,35.4,440,+6,0.1,0,0,0,0,1,0,0,0,0,0,2,1,0,2300,143.6,1,0,0,0,17,12,3,56,4,4,5,6,34.4,434,0,0.1,0,0,0,0,1,0,0,0,0,0,5,1,0,2400,148.4,1,0,0,0,11,3,3,56,8,8,9,7,34.4,434,-2,0.5,0,0,0,0,0,0,0,0,1,0,7,1,0,2400,150.3,0,1,0,0,16,7,3,56,8,7,8,11,35.6,436,+4,0.8,0,0,0,0,0,0,0,0,1,0,9,1,0,2200,138.7,1,0,0,0,17,6,3,56,10,10,11,10,35.4,432,+2,1.0
