馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
スマートアロー,15,18.4,4.0,6.5,0,1,1700,0,0,0,1,1,1,2,462,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,12,0,1,1800,117.3,0,1,0,0,16,15,3,56,16,16,14,14,39.4,466,+12,3.3,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,115.3,1,0,0,0,10,4,3,55,2,2,2,2,38.1,454,-2,0.4,0,0,0,0,0,0,0,1,0,0,8,1,0,1800,109.3,1,0,0,0,13,12,3,55,3,3,0,0,36.2,456,0,1.4,0,0,0,0,0,0,0,0,1,0,10,1,0,1600,96.2,1,0,0,0,18,7,3,54,16,14,0,0,35.0,456,+12,1.9,0,0,0,0,0,0,0,0,1,0,3,1,0,1600,98.5,0,1,0,0,11,11,3,54,9,7,0,0,35.8,444,-4,0.3
ローレルベルカント,6,24.4,4.5,7.3,0,1,1700,0,0,0,1,1,2,4,450,-6,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,6,0,1,1800,117.1,0,0,1,0,16,13,3,53,2,2,3,4,39.5,456,-4,1.2,0,0,0,0,0,0,1,0,0,0,6,0,1,1800,118.4,1,0,0,0,16,10,3,52,4,4,4,5,39.0,460,+18,1.3,0,0,0,0,0,0,1,0,0,0,15,0,1,1400,90.2,0,1,0,0,16,14,3,54,13,13,0,0,40.8,442,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヤマイチキセキ,5,6.4,1.7,2.6,0,1,1700,0,0,0,1,2,3,2,478,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,8,0,1,1800,116.2,0,1,0,0,16,5,3,56,4,4,4,5,40.1,478,0,1.5,0,0,0,0,0,0,0,1,0,0,9,0,1,1400,86.7,0,0,1,0,15,10,3,56,4,5,0,0,38.3,478,-4,1.3,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,85.8,0,1,0,0,16,13,3,56,4,3,0,0,37.5,482,-2,0.8,0,0,0,0,0,0,0,0,1,0,3,0,1,1400,87.6,0,1,0,0,13,4,3,55,1,1,0,0,37.2,484,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キョウエイヒーロー,12,201.8,35.0,59.0,0,1,1700,0,0,0,1,2,4,3,484,-14,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,14,0,1,1400,90.5,0,0,1,0,16,1,3,56,9,13,0,0,39.0,498,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タマモヴィオーラ,14,23.7,7.2,11.9,0,1,1700,0,0,0,1,3,5,5,470,-2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,74.0,0,0,1,0,16,9,3,56,9,9,0,0,38.5,472,+2,1.8,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,74.4,1,0,0,0,13,6,3,55,6,6,0,0,38.5,470,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジャイアントケンタ,8,65.1,8.7,14.5,0,1,1700,0,0,0,1,3,6,5,470,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,114.5,0,0,1,0,12,3,3,56,1,1,1,3,39.1,476,0,1.9,0,0,0,0,0,0,0,1,0,0,13,0,1,1800,119.2,0,1,0,0,14,6,3,56,12,11,2,6,43.3,476,+8,4.3,0,0,0,0,0,0,0,0,1,0,13,1,0,1200,71.7,1,0,0,0,16,14,3,55,10,10,0,0,35.7,468,+2,1.9,0,0,0,0,0,0,1,0,0,0,13,0,1,1200,75.2,1,0,0,0,16,7,3,54,14,13,0,0,38.2,466,+2,2.6,0,0,0,0,0,0,1,0,0,0,8,1,0,1400,85.2,1,0,0,0,10,4,3,54,7,7,0,0,36.7,464,-4,1.9
スーパーノヴァ,3,60.7,11.7,19.7,0,1,1700,0,0,0,1,4,7,2,470,-4,1,0,0,3,54.0,0,0,0,0,0,0,0,1,0,0,8,0,1,1200,74.3,0,1,0,0,16,16,3,56,10,8,0,0,37.1,474,-4,1.5,0,0,0,0,0,0,0,0,1,0,15,0,1,1400,88.5,1,0,0,0,16,16,3,55,16,16,0,0,38.5,478,+2,2.8,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,73.2,0,0,1,0,16,12,3,55,16,14,0,0,36.1,476,+2,1.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,74.5,1,0,0,0,8,8,3,55,4,4,0,0,37.8,474,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カゼノゴトク,7,205.9,21.9,37.0,0,1,1700,0,0,0,1,4,8,3,460,-4,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,11,0,1,2100,135.8,0,0,0,1,16,7,3,56,5,7,8,9,39.6,464,-6,1.6,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,118.7,1,0,0,0,15,10,3,56,12,12,11,10,40.5,470,+4,1.2,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,118.8,1,0,0,0,16,3,3,55,9,10,11,9,41.1,466,0,2.2,0,0,0,0,1,0,0,0,0,0,10,0,1,1400,90.0,1,0,0,0,16,1,3,55,7,8,0,0,39.7,466,+10,2.6,0,0,0,1,0,0,0,0,0,0,14,0,1,1200,75.6,0,0,0,1,15,15,3,54,10,11,0,0,39.6,456,-14,3.3
スクワール,2,2.5,1.2,1.5,0,1,1700,0,0,0,1,5,9,2,454,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,106.9,0,0,1,0,16,13,3,56,7,6,4,4,37.7,454,-2,0.3,0,0,0,0,0,0,1,0,0,0,3,0,1,1200,75.0,0,1,0,0,16,7,3,56,3,2,0,0,37.9,456,+4,0.2,0,0,0,0,0,0,1,0,0,0,3,0,1,1200,73.9,0,0,1,0,16,10,3,55,9,8,0,0,37.9,452,-2,0.3,0,0,0,0,0,0,0,1,0,0,9,1,0,1400,83.2,1,0,0,0,14,14,3,55,5,5,0,0,35.9,454,+10,1.1,0,0,0,0,0,0,0,1,0,0,5,1,0,1200,69.5,1,0,0,0,12,10,3,55,4,4,0,0,34.8,444,+2,0.5
アイファーマグオー,1,5.2,1.5,2.2,0,1,1700,0,0,0,1,5,10,1,492,-6,1,0,0,3,54.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,115.9,1,0,0,0,13,9,3,56,2,2,2,2,38.2,498,0,0.3,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,113.9,0,0,1,0,16,7,3,56,4,4,3,3,38.8,498,-2,1.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,116.7,0,1,0,0,14,12,3,54,7,6,5,4,40.5,500,-4,1.8,0,0,0,0,0,0,1,0,0,0,11,0,1,1800,119.1,1,0,0,0,16,8,3,55,11,11,13,13,38.8,504,-2,2.0,0,0,0,0,0,0,0,0,1,0,13,1,0,2000,124.4,1,0,0,0,16,13,3,55,5,6,6,5,37.9,506,0,3.3
デルニエアトゥー,16,55.4,11.2,18.8,0,1,1700,0,0,0,1,6,11,12,480,-6,0,0,1,3,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,1600,100.0,0,1,0,0,15,13,3,55,3,9,0,0,39.1,486,-8,3.5,0,0,0,0,0,0,0,1,0,0,9,0,1,1400,88.6,1,0,0,0,14,13,3,55,9,10,0,0,39.3,494,+2,0.7,0,0,0,0,0,0,0,1,0,0,6,0,1,1400,87.2,1,0,0,0,11,11,3,55,5,6,0,0,38.9,492,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タマモホットポット,13,40.2,7.2,11.9,0,1,1700,0,0,0,1,6,12,2,412,-12,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,13,1,0,1600,96.8,1,0,0,0,14,2,3,51,7,7,0,0,36.3,424,+10,1.5,0,0,0,0,0,0,0,1,0,0,16,1,0,1400,84.2,1,0,0,0,17,10,3,54,10,9,0,0,36.5,414,+8,1.8,1,0,0,0,0,0,0,0,0,0,8,1,0,1500,93.5,1,0,0,0,14,13,3,54,12,9,8,0,36.8,406,+2,1.6,1,0,0,0,0,0,0,0,0,0,2,1,0,1500,91.7,1,0,0,0,12,2,3,54,4,4,3,0,35.1,404,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タイキラトナンジュ,9,7.1,1.6,2.5,0,1,1700,0,0,0,1,7,13,5,442,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.8,0,0,1,0,15,16,3,56,2,2,0,0,37.7,448,0,0.4,0,0,0,0,0,0,0,0,1,0,7,1,0,1600,97.1,1,0,0,0,18,16,3,55,7,7,0,0,35.4,448,+4,0.8,0,0,0,0,0,0,0,1,0,0,5,1,0,1800,112.3,1,0,0,0,10,8,3,55,2,1,0,0,34.0,444,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヴェリテ,4,11.1,2.8,4.5,0,1,1700,0,0,0,1,7,14,1,480,0,0,0,1,3,56.0,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,116.1,1,0,0,0,13,10,3,56,5,5,3,3,38.2,480,-2,0.5,0,0,0,0,0,0,0,1,0,0,9,0,1,1800,115.2,0,0,1,0,15,15,3,56,2,2,2,2,40.7,482,+2,1.5,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,113.6,0,0,1,0,14,10,3,56,4,5,2,1,37.4,480,-6,0.8,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,113.8,0,0,1,0,16,10,3,54,4,5,4,4,38.3,486,-6,1.1,0,0,0,0,0,0,1,0,0,0,9,0,1,1800,118.9,1,0,0,0,16,1,3,53,3,3,4,4,39.6,492,+4,1.8
リターンエース,10,43.8,8.7,14.6,0,1,1700,0,0,0,1,8,15,4,444,+4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,73.4,0,0,1,0,15,1,3,56,14,14,0,0,37.5,440,+2,1.2,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.9,1,0,0,0,16,9,3,56,11,10,0,0,38.0,438,0,1.8,0,0,0,0,1,0,0,0,0,0,15,1,0,1600,103.0,1,0,0,0,15,8,3,55,13,15,0,0,37.5,438,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダイチ,11,26.9,3.6,5.8,0,1,1700,0,0,0,1,8,16,0,504,+12,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,5,0,1,1700,107.7,0,1,0,0,16,10,3,56,6,6,5,3,39.2,492,-2,0.3,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,119.0,0,1,0,0,16,8,3,56,7,7,9,10,42.0,494,-2,1.4,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,117.3,0,1,0,0,16,2,3,55,10,10,9,6,40.2,496,-2,0.6,0,0,1,0,0,0,0,0,0,0,7,0,1,1700,110.3,1,0,0,0,15,9,3,55,10,10,6,7,40.1,498,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
