馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ロキ,4,11.3,2.1,3.3,1,0,2400,0,1,0,0,1,1,2,468,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,4,1,0,2200,135.4,1,0,0,0,15,15,3,56,9,9,8,8,35.6,466,+2,0.2,0,0,0,0,0,0,0,0,1,0,3,1,0,2000,125.3,1,0,0,0,15,8,3,55,7,8,9,6,36.3,464,+2,0.2,0,0,0,0,0,0,1,0,0,0,5,1,0,2000,123.2,1,0,0,0,16,2,3,55,13,11,12,12,35.3,462,-4,0.5,0,0,0,0,0,0,0,0,1,0,5,1,0,1800,109.0,1,0,0,0,17,10,3,54,2,2,0,0,35.6,466,-6,0.6,0,0,0,0,0,0,0,1,0,0,6,1,0,2000,125.7,1,0,0,0,10,6,3,52,8,8,8,8,35.0,472,0,0.9
トーシンキング,5,25.5,3.6,5.9,1,0,2400,0,1,0,0,1,2,2,462,0,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,5,1,0,2000,122.7,1,0,0,0,18,12,3,56,6,8,8,8,35.4,462,0,0.5,0,0,0,0,0,0,0,1,0,0,4,1,0,1600,96.1,1,0,0,0,16,7,3,56,2,2,0,0,36.5,462,+4,0.7,0,0,0,0,0,0,0,1,0,0,6,1,0,1800,109.3,1,0,0,0,16,5,3,56,3,4,0,0,35.9,458,-2,0.6,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,112.0,1,0,0,0,15,14,3,56,2,2,0,0,36.2,460,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハギノアレス,1,2.7,1.3,1.5,1,0,2400,0,1,0,0,2,3,4,490,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,2,1,0,2000,123.2,1,0,0,0,12,3,3,56,7,6,7,6,35.2,490,-8,0.0,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,109.1,1,0,0,0,16,9,3,56,14,13,0,0,34.8,498,0,0.4,0,0,0,0,0,0,0,1,0,0,8,1,0,1800,112.0,0,1,0,0,16,1,3,56,2,2,0,0,37.3,498,-6,1.5,0,0,0,0,0,0,0,0,1,0,3,1,0,1800,110.3,0,1,0,0,13,7,3,55,4,3,0,0,35.5,504,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プレイングアローン,7,4.0,1.4,1.9,1,0,2400,0,1,0,0,2,4,2,482,-2,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,3,1,0,2000,122.4,1,0,0,0,18,8,3,56,3,4,4,4,35.3,484,-2,0.2,0,0,0,0,0,0,0,0,0,1,2,1,0,2000,123.2,1,0,0,0,18,6,3,56,4,3,5,4,36.4,486,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダイシングレート,16,272.6,41.4,72.1,1,0,2400,0,1,0,0,3,5,1,488,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,10,1,0,2000,123.5,1,0,0,0,14,9,3,56,3,6,4,5,36.9,488,0,1.7,0,0,0,0,0,0,0,0,1,0,11,1,0,1800,109.0,1,0,0,0,15,4,3,56,11,11,0,0,36.7,488,+2,3.2,0,0,0,0,0,0,0,0,0,1,15,1,0,2000,125.5,1,0,0,0,18,7,3,56,18,18,16,18,37.3,486,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スプリングボックス,10,8.6,2.1,3.3,1,0,2400,0,1,0,0,3,6,2,474,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,6,1,0,2200,135.6,1,0,0,0,15,3,3,56,12,11,11,11,35.6,472,-8,0.4,0,0,0,0,0,0,0,0,1,0,2,1,0,2400,150.4,1,0,0,0,11,1,3,56,11,11,7,4,35.8,480,+6,0.2,0,0,0,0,0,0,0,0,1,0,6,1,0,2000,126.6,0,0,1,0,11,7,3,55,9,7,6,7,37.0,474,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルシルバリー,8,113.1,17.3,29.9,1,0,2400,0,1,0,0,4,7,3,506,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,10,1,0,1800,108.9,1,0,0,0,15,14,3,53,1,1,0,0,38.4,504,+10,3.1,0,0,0,0,0,0,0,0,0,1,10,1,0,2000,123.1,1,0,0,0,18,15,3,53,4,5,4,3,37.6,494,-6,1.9,0,0,0,0,0,0,0,0,1,0,15,0,1,1800,116.0,0,0,1,0,16,8,3,55,7,7,7,7,40.5,500,-2,2.6,0,0,0,0,0,0,0,1,0,0,8,1,0,1800,108.5,1,0,0,0,12,3,3,55,1,1,0,0,37.0,502,0,0.8,0,0,0,0,0,0,0,1,0,0,7,1,0,2000,123.4,1,0,0,0,10,9,3,55,3,3,2,2,36.1,502,+4,1.0
バーニングテイスト,15,341.5,61.8,108.0,1,0,2400,0,1,0,0,4,8,2,486,0,0,1,0,3,52.0,0,0,0,0,0,0,1,0,0,0,16,1,0,2000,124.9,1,0,0,0,18,1,3,54,13,13,13,14,37.2,486,+2,2.7,0,0,0,0,0,0,0,0,0,1,14,1,0,1200,70.9,1,0,0,0,18,8,3,53,11,13,0,0,36.3,484,-8,1.2,0,0,0,0,0,0,1,0,0,0,15,0,1,1800,120.5,1,0,0,0,16,12,3,54,3,4,4,5,43.6,492,-6,4.9,0,0,0,0,0,0,0,0,1,0,12,0,1,1400,88.1,0,1,0,0,15,7,3,54,5,6,0,0,39.7,498,+18,2.0,0,0,0,0,0,0,0,0,0,1,15,1,0,1800,112.8,1,0,0,0,16,13,3,54,5,6,5,10,39.6,480,+4,3.6
ピエナアラシ,6,16.0,2.6,4.1,1,0,2400,0,1,0,0,5,9,2,466,-8,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,3,1,0,2200,135.3,1,0,0,0,15,13,3,56,8,8,8,8,35.5,474,-2,0.1,0,0,0,0,0,0,0,0,0,1,7,1,0,2000,123.7,1,0,0,0,18,17,3,56,7,8,2,2,37.2,476,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コールストーム,3,10.7,2.8,4.5,1,0,2400,0,1,0,0,5,10,2,494,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,2,1,0,2200,135.3,1,0,0,0,15,7,3,56,2,2,2,2,36.3,494,+6,0.1,0,0,0,0,0,0,0,1,0,0,16,0,1,1800,117.8,0,0,1,0,16,13,3,55,9,5,3,8,42.6,488,-4,5.2,0,0,0,0,0,0,0,1,0,0,10,1,0,1600,96.7,1,0,0,0,13,13,3,55,4,4,0,0,37.2,492,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
