馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ハイランドピーク,3,1.8,1.1,1.1,0,1,1600,1,0,0,0,1,1,2,452,-2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,114.3,1,0,0,0,16,16,3,56,1,1,1,1,38.8,454,+30,-1.3,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,114.6,0,0,1,0,16,2,3,54,6,6,5,4,39.1,424,-4,0.0,0,0,0,1,0,0,0,0,0,0,15,1,0,1600,98.5,1,0,0,0,18,5,3,54,13,13,0,0,34.2,428,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バスカヴィル,8,6.5,1.5,2.6,0,1,1600,1,0,0,0,1,2,10,470,-6,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,97.4,0,1,0,0,16,1,3,55,5,5,0,0,37.0,476,+6,-0.7,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,99.6,1,0,0,0,16,1,3,55,3,2,0,0,37.5,470,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スターストラック,13,65.7,8.0,17.0,0,1,1600,1,0,0,0,2,3,2,514,-4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1800,117.4,1,0,0,0,16,10,3,53,5,5,12,9,39.3,518,+22,1.4,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,116.5,1,0,0,0,16,2,3,52,6,5,5,4,39.8,496,+4,0.0,0,0,0,1,0,0,0,0,0,0,10,1,0,2000,124.2,1,0,0,0,16,15,3,51,6,5,6,6,36.9,492,+6,1.1,0,0,0,1,0,0,0,0,0,0,4,1,0,1800,109.0,1,0,0,0,13,1,3,54,3,3,0,0,35.2,486,0,1.0,0,0,1,0,0,0,0,0,0,0,6,1,0,2000,124.5,1,0,0,0,13,11,3,54,4,4,5,3,37.7,486,0,1.2
パレスハングリー,2,233.9,25.0,54.4,0,1,1600,1,0,0,0,2,4,2,464,+2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,117.7,1,0,0,0,16,12,3,51,8,8,6,7,40.0,462,-8,1.7,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,116.5,1,0,0,0,12,9,3,51,1,1,1,1,40.3,470,+4,0.9,0,0,1,0,0,0,0,0,0,0,1,0,1,1700,108.3,0,0,1,0,14,6,3,52,5,5,4,3,38.7,466,+2,-0.4,0,0,1,0,0,0,0,0,0,0,3,0,1,1700,109.4,1,0,0,0,15,13,3,54,4,5,4,5,39.6,464,-2,1.1,0,0,0,0,1,0,0,0,0,0,8,0,1,1400,86.8,0,0,1,0,16,4,3,54,3,4,0,0,37.6,466,+6,0.6
サノヘッド,12,5.5,1.4,2.4,0,1,1600,1,0,0,0,3,5,9,498,+8,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,97.1,0,1,0,0,16,11,3,55,1,1,0,0,36.4,490,+2,-0.5,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,99.8,1,0,0,0,13,9,3,55,1,2,0,0,36.2,488,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルルミノーソ,14,95.8,11.6,25.0,0,1,1600,1,0,0,0,3,6,1,484,+2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,115.3,0,1,0,0,16,10,3,56,1,1,1,1,39.9,482,+4,-0.6,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,116.4,0,0,1,0,16,9,3,55,1,1,1,1,42.1,478,0,2.0,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,118.3,1,0,0,0,16,4,3,55,1,1,2,3,41.4,478,+12,0.5,0,0,1,0,0,0,0,0,0,0,6,0,1,1700,108.3,0,0,0,1,15,3,3,55,1,1,1,2,40.7,466,+6,1.3,0,0,0,0,0,1,0,0,0,0,15,0,1,1800,121.1,0,1,0,0,16,12,3,54,9,8,9,11,43.8,460,-6,5.1
スマートエレメンツ,4,21.7,3.4,6.9,0,1,1600,1,0,0,0,4,7,2,498,+4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,117.5,1,0,0,0,16,16,3,56,8,8,6,9,39.7,494,-4,1.5,0,0,0,0,0,1,0,0,0,0,5,0,1,1800,116.8,1,0,0,0,12,6,3,55,8,9,8,6,39.6,498,+6,1.2,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,98.6,0,1,0,0,16,8,3,55,8,8,0,0,37.2,492,+6,-0.2,0,0,0,1,0,0,0,0,0,0,6,1,0,1800,110.5,1,0,0,0,12,4,3,54,10,10,0,0,34.6,486,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モンサンルリアン,10,181.8,24.1,52.4,0,1,1600,1,0,0,0,4,8,13,504,+16,1,0,0,3,54.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,100.5,1,0,0,0,14,12,3,55,1,1,0,0,38.5,488,-2,-0.1,0,0,0,0,1,0,0,0,0,0,12,1,0,1800,112.4,1,0,0,0,13,13,3,53,3,5,5,0,36.3,490,+2,2.4,0,0,0,0,0,1,0,0,0,0,7,0,1,1200,73.4,0,0,1,0,16,9,3,51,1,1,0,0,39.3,488,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リヴェルディ,1,7.0,1.6,2.9,0,1,1600,1,0,0,0,5,9,11,510,+2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,99.8,1,0,0,0,13,10,3,55,7,2,0,0,36.1,508,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エドノライト,15,166.7,17.9,38.9,0,1,1600,1,0,0,0,5,10,2,508,-8,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1800,118.2,1,0,0,0,15,14,3,54,1,1,1,1,40.0,516,-2,0.0,0,0,0,0,0,1,0,0,0,0,3,0,1,1800,118.6,1,0,0,0,14,10,3,54,2,2,2,2,41.0,518,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
