馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
トウカイクルーク,12,4.2,1.4,2.0,0,1,1700,0,0,1,0,1,1,2,434,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,115.7,0,1,0,0,13,2,3,54,1,1,1,1,38.5,438,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェリーロラム,14,192.1,45.6,78.9,0,1,1700,0,0,1,0,1,2,1,414,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,14,1,0,1200,70.3,1,0,0,0,18,12,3,54,14,13,0,0,35.8,412,+6,1.3,0,0,0,0,1,0,0,0,0,0,13,1,0,1400,84.9,1,0,0,0,17,8,3,54,6,6,0,0,36.0,406,-8,1.8,0,0,0,1,0,0,0,0,0,0,9,1,0,1400,85.2,0,1,0,0,18,17,3,54,12,10,0,0,36.4,414,-2,1.0,0,0,0,0,0,1,0,0,0,0,16,1,0,1600,97.4,1,0,0,0,16,15,3,54,2,3,5,0,38.8,416,+26,2.7,0,0,0,0,1,0,0,0,0,0,9,1,0,1400,83.9,1,0,0,0,15,3,3,54,6,7,0,0,36.5,390,+6,1.3
パープルミネルバ,7,13.5,2.9,4.7,0,1,1700,0,0,1,0,2,3,3,470,-14,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,115.8,1,0,0,0,14,5,3,54,2,3,3,3,38.3,484,+14,0.9,0,0,0,0,0,0,0,1,0,0,14,1,0,1400,83.7,1,0,0,0,18,17,3,52,14,13,0,0,35.3,470,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エイシンブライアー,16,116.1,40.4,69.8,0,1,1700,0,0,1,0,2,4,3,422,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,11,0,1,1200,75.9,1,0,0,0,12,6,3,54,8,8,0,0,38.8,426,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンカーメル,10,136.7,25.9,44.6,0,1,1700,0,0,1,0,3,5,0,446,+8,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,14,1,0,1800,112.6,1,0,0,0,16,11,3,54,11,11,11,13,36.7,438,+4,1.7,0,0,0,0,0,0,1,0,0,0,9,0,1,1400,87.7,1,0,0,0,16,7,3,54,15,15,0,0,38.6,434,-10,0.9,0,0,1,0,0,0,0,0,0,0,12,0,1,1700,109.1,0,0,0,1,15,1,3,54,7,7,8,9,40.7,444,+2,2.1,0,0,0,0,1,0,0,0,0,0,8,0,1,1600,102.5,1,0,0,0,14,13,3,54,6,6,0,0,39.6,442,-2,2.0,0,0,0,0,1,0,0,0,0,0,10,0,1,1300,80.8,0,0,1,0,16,8,3,54,11,11,0,0,37.2,444,0,2.1
ナンヨービーナス,13,14.9,4.5,7.5,0,1,1700,0,0,1,0,3,6,0,498,+6,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,16,1,0,2000,124.1,1,0,0,0,18,10,3,54,4,5,6,6,38.4,492,-8,2.9,0,0,0,0,1,0,0,0,0,0,13,1,0,1800,110.4,1,0,0,0,16,3,3,54,1,1,1,0,35.3,500,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルムフランセ,3,3.8,1.2,1.5,0,1,1700,0,0,1,0,4,7,1,470,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,2,0,1,1700,108.2,0,1,0,0,16,11,3,54,5,3,2,2,39.6,468,-4,1.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,116.4,1,0,0,0,16,2,3,54,3,3,2,3,39.8,472,-2,0.8,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.9,0,1,0,0,14,5,3,54,2,2,0,0,38.0,474,+2,0.8,0,0,0,0,1,0,0,0,0,0,3,0,1,1600,99.7,1,0,0,0,16,9,3,54,3,4,0,0,37.4,472,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピリナ,9,73.0,14.9,25.5,0,1,1700,0,0,1,0,4,8,1,438,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,14,0,1,1700,109.8,0,1,0,0,16,6,3,54,7,5,6,6,40.9,436,-6,2.6,0,0,0,0,0,1,0,0,0,0,9,0,1,1800,120.0,1,0,0,0,16,16,3,54,1,1,1,3,43.1,442,+4,2.2,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.8,1,0,0,0,16,7,3,54,6,6,0,0,38.9,438,+8,0.7,0,1,0,0,0,0,0,0,0,0,8,0,1,1000,61.1,0,1,0,0,12,9,3,54,3,3,0,0,37.9,430,-6,1.9,0,1,0,0,0,0,0,0,0,0,4,0,1,1000,60.1,0,0,0,1,12,6,3,54,2,2,0,0,36.3,436,0,0.5
サツキシラユリ,5,7.0,1.7,2.5,0,1,1700,0,0,1,0,5,9,1,476,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,113.4,0,0,1,0,16,5,3,54,10,10,7,4,37.3,480,-4,0.5,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,116.6,0,1,0,0,15,8,3,54,9,9,3,4,39.1,484,+2,1.5,0,0,0,0,0,0,0,1,0,0,12,1,0,1600,98.0,1,0,0,0,16,3,3,54,13,13,0,0,35.5,482,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マサノカオリ,6,84.8,30.8,53.3,0,1,1700,0,0,1,0,5,10,2,424,-8,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,8,0,1,1800,114.2,0,0,1,0,13,4,3,51,11,9,7,7,39.3,432,0,3.1,0,0,0,0,0,0,1,0,0,0,14,0,1,1800,120.2,1,0,0,0,16,13,3,54,8,8,6,7,43.1,432,-2,4.6,0,0,0,0,0,0,1,0,0,0,9,0,1,1800,118.7,1,0,0,0,15,4,3,53,15,14,11,10,40.1,434,0,2.4,0,0,0,0,0,0,1,0,0,0,9,0,1,1800,118.5,1,0,0,0,14,1,3,53,10,12,11,12,40.1,434,-4,3.2,0,0,0,0,0,0,0,1,0,0,12,1,0,1600,98.1,1,0,0,0,18,5,3,54,8,11,0,0,35.3,438,0,1.6
デルマネライウチ,4,40.8,8.0,13.5,0,1,1700,0,0,1,0,6,11,0,506,0,0,1,0,3,53.0,0,0,0,0,0,0,0,0,0,1,7,0,1,1700,109.6,0,1,0,0,16,7,3,53,6,6,2,3,39.9,506,0,1.9,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,117.3,0,1,0,0,16,16,3,53,1,1,1,1,40.7,506,0,0.9,0,0,0,0,0,1,0,0,0,0,5,0,1,1800,120.1,0,1,0,0,16,2,3,53,11,10,9,7,42.7,506,-2,0.8,0,0,0,0,0,1,0,0,0,0,10,0,1,1800,120.2,1,0,0,0,16,6,3,53,10,10,10,8,42.8,508,-4,3.5,0,0,0,0,1,0,0,0,0,0,12,1,0,1600,98.0,1,0,0,0,14,10,3,51,5,5,0,0,36.7,512,-4,1.6
クインズヌーサ,8,33.6,7.6,12.9,0,1,1700,0,0,1,0,6,12,3,450,-16,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,5,0,1,1800,117.7,1,0,0,0,14,6,3,53,2,2,2,2,40.6,466,-6,1.4,0,0,0,0,0,0,0,1,0,0,14,0,1,1400,92.2,0,1,0,0,16,11,3,53,15,11,0,0,40.1,472,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンドベージュ,15,62.5,17.6,30.2,0,1,1700,0,0,1,0,7,13,1,454,0,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,1,13,0,1,1000,60.9,0,1,0,0,14,1,3,52,10,11,0,0,36.8,454,-2,1.3,0,0,0,0,1,0,0,0,0,0,15,0,1,1400,88.6,0,0,1,0,16,15,3,54,5,5,0,0,40.0,456,-10,3.5,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,76.3,1,0,0,0,14,7,3,54,7,5,0,0,40.0,466,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バプティシア,11,74.7,16.4,28.2,0,1,1700,0,0,1,0,7,14,5,442,-12,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,11,0,1,1200,75.2,0,1,0,0,16,11,3,54,14,13,0,0,37.7,454,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイモンミラベル,2,10.0,2.4,3.8,0,1,1700,0,0,1,0,8,15,1,462,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,108.2,0,1,0,0,16,3,3,54,3,3,4,4,39.4,466,+6,1.0,0,0,0,0,0,0,0,0,0,0,3,0,1,1400,90.8,0,1,0,0,12,1,3,54,8,7,8,6,39.6,460,+2,0.0,0,0,0,0,0,0,0,0,1,0,12,1,0,1600,96.6,0,1,0,0,15,3,3,54,3,4,0,0,35.8,458,-4,1.8,0,0,0,0,0,0,0,0,1,0,6,1,0,1400,83.0,1,0,0,0,17,6,3,54,7,7,0,0,35.8,462,+4,1.0,0,0,0,0,0,0,0,0,0,1,4,1,0,1200,72.4,1,0,0,0,8,8,3,54,2,3,0,0,37.0,458,0,0.8
クルークハイト,1,4.1,1.3,1.9,0,1,1700,0,0,1,0,8,16,1,448,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.4,0,0,1,0,16,4,3,54,7,6,0,0,37.7,446,-2,0.5,0,0,0,0,0,0,1,0,0,0,2,0,1,1400,86.7,1,0,0,0,16,8,3,54,5,5,0,0,38.6,448,-2,0.1,0,0,0,0,0,0,0,1,0,0,6,0,1,1400,86.5,1,0,0,0,11,6,3,54,5,5,0,0,39.1,450,0,2.0,0,0,0,0,0,0,0,0,1,0,6,0,1,1400,87.3,1,0,0,0,15,3,3,54,6,5,0,0,38.8,450,+6,1.1,0,0,0,0,0,0,1,0,0,0,2,0,1,1400,86.3,0,0,0,1,15,6,3,54,4,4,0,0,38.0,444,0,0.0
