馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
チャーミングポッケ,9,168.0,21.9,37.9,0,1,1700,1,0,0,0,1,1,11,466,+2,0,1,0,5,54.0,0,0,0,0,0,0,0,0,0,1,14,0,1,1700,107.7,0,1,0,0,15,1,5,54,6,7,10,9,40.0,464,+20,1.9,0,0,0,0,0,0,0,0,1,0,11,0,1,1200,71.5,0,0,0,1,16,3,5,55,10,11,0,0,36.1,444,-2,1.7,0,0,0,0,0,0,0,0,1,0,7,0,1,1800,113.9,0,1,0,0,10,9,5,54,9,9,8,7,38.2,446,0,0.7,0,0,0,0,0,0,1,0,0,0,14,0,1,1400,86.7,1,0,0,0,16,8,5,54,9,8,0,0,38.2,446,-10,1.8,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,88.9,0,0,1,0,12,4,5,54,1,1,1,1,39.0,456,+3,-0.7
ララベスラーナ,7,5.6,1.6,2.5,0,1,1700,1,0,0,0,2,3,5,476,+6,0,1,0,3,52.0,0,0,0,0,0,0,0,1,0,0,7,0,1,1400,84.1,0,0,0,1,16,2,3,52,13,12,0,0,36.9,470,-2,1.1,0,0,0,0,0,0,0,0,1,0,2,0,1,1400,84.4,1,0,0,0,16,10,3,52,6,6,0,0,37.2,472,+8,0.0,0,0,0,0,0,0,1,0,0,0,8,0,1,1400,85.0,1,0,0,0,16,2,3,49,11,10,0,0,36.7,464,-4,0.7,0,0,0,0,0,0,1,0,0,0,5,0,1,1400,84.9,1,0,0,0,16,4,3,49,14,15,0,0,37.3,468,+8,0.9,0,0,0,0,1,0,0,0,0,0,10,0,1,1600,97.2,0,0,1,0,16,12,3,54,16,16,0,0,37.3,460,-4,1.4
ライディングハイ,10,190.3,20.2,34.9,0,1,1700,1,0,0,0,3,4,6,494,+4,0,1,0,4,52.0,0,0,0,0,0,0,0,0,1,0,12,0,1,1400,85.6,1,0,0,0,16,13,4,54,13,12,0,0,37.5,490,+14,1.2,0,0,0,0,0,0,0,0,1,0,12,0,1,1800,117.6,1,0,0,0,12,5,4,52,4,4,8,11,42.1,476,-11,4.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1500,96.1,1,0,0,0,11,11,4,55,7,7,5,1,39.4,487,+9,-0.5,0,0,0,0,0,0,0,0,0,1,7,1,0,1200,69.4,1,0,0,0,18,14,4,55,10,8,0,0,35.0,478,-10,0.5,0,0,0,0,0,0,0,0,0,1,11,1,0,1200,69.6,1,0,0,0,18,15,4,55,15,16,0,0,34.6,488,+8,1.3
エレクトリイオネ,8,70.5,9.4,16.1,0,1,1700,1,0,0,0,3,5,11,476,+2,0,1,0,3,53.0,1,0,0,0,0,0,0,0,0,0,10,0,1,1700,108.1,0,1,0,0,12,9,3,52,8,11,10,11,39.9,474,0,3.2,1,0,0,0,0,0,0,0,0,0,12,0,1,1700,106.3,0,0,0,1,14,11,3,52,5,5,5,5,39.1,474,+2,2.2,0,0,0,0,1,0,0,0,0,0,1,0,1,1600,99.6,1,0,0,0,16,3,3,54,2,2,0,0,36.9,472,+4,-0.2,0,0,0,0,0,1,0,0,0,0,8,1,0,2000,124.3,0,1,0,0,18,10,3,54,2,2,2,1,37.7,468,+4,0.7,0,0,0,0,0,0,0,0,0,1,13,1,0,2000,125.3,1,0,0,0,17,3,3,54,6,6,8,9,38.1,464,-2,1.7
ピアノイッチョウ,6,11.3,2.4,3.9,0,1,1700,1,0,0,0,4,6,10,530,+4,0,1,0,3,50.0,0,0,0,1,0,0,0,0,0,0,10,0,1,1800,115.1,1,0,0,0,15,11,3,52,8,8,6,5,40.1,526,+2,2.3,0,0,0,1,0,0,0,0,0,0,2,0,1,1800,114.5,1,0,0,0,14,4,3,52,10,9,9,4,38.3,524,+10,0.8,0,0,1,0,0,0,0,0,0,0,5,0,1,1700,107.0,1,0,0,0,15,9,3,49,14,14,13,10,37.8,514,-6,0.5,0,0,1,0,0,0,0,0,0,0,4,0,1,1700,107.4,1,0,0,0,15,4,3,49,15,15,15,12,38.0,520,-4,1.3,0,0,0,0,1,0,0,0,0,0,15,0,1,2100,136.7,1,0,0,0,16,4,3,52,9,8,4,4,42.0,524,+8,3.5
ノーブルスノー,2,5.9,1.5,2.1,0,1,1700,1,0,0,0,4,7,8,482,+2,0,1,0,4,52.0,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,113.0,0,0,1,0,16,5,4,55,9,9,7,8,37.8,480,-6,0.4,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,106.3,0,1,0,0,15,13,4,55,9,11,10,7,38.6,486,+14,0.5,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,106.4,1,0,0,0,16,9,4,55,10,10,2,2,39.1,472,-14,0.4,0,1,0,0,0,0,0,0,0,0,7,0,1,1700,106.7,1,0,0,0,12,9,4,55,10,10,8,7,38.2,486,+2,0.7,0,1,0,0,0,0,0,0,0,0,3,0,1,1700,107.4,1,0,0,0,14,10,4,55,4,3,3,2,37.9,484,-8,0.2
アイアンテーラー,5,4.8,1.9,3.0,0,1,1700,1,0,0,0,5,8,3,466,-2,0,1,0,3,53.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1400,84.8,0,0,0,1,16,15,3,53,6,5,0,0,38.5,468,+16,1.3,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,114.2,0,1,0,0,11,10,3,54,1,1,1,1,38.0,452,-2,0.4,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,111.4,0,0,1,0,11,8,3,54,2,2,2,2,36.6,454,-6,0.1,0,0,0,0,0,0,0,0,1,0,1,0,1,1800,112.8,0,1,0,0,14,10,3,54,1,1,1,1,38.1,460,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ペイシャオブワキア,1,11.8,2.7,4.4,0,1,1700,1,0,0,0,5,9,12,442,-14,0,1,0,3,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1700,105.4,1,0,0,0,14,7,3,54,4,4,2,2,37.2,456,+2,0.0,1,0,0,0,0,0,0,0,0,0,4,0,1,1700,107.0,1,0,0,0,14,11,3,54,10,10,8,7,38.4,454,+2,0.7,0,1,0,0,0,0,0,0,0,0,3,0,1,1700,107.6,1,0,0,0,14,11,3,54,9,9,7,4,38.3,452,+6,0.7,0,1,0,0,0,0,0,0,0,0,13,0,1,1700,110.1,1,0,0,0,14,13,3,54,9,8,5,6,41.6,446,-4,2.8
ライムチャン,4,2.9,1.2,1.5,0,1,1700,1,0,0,0,6,10,1,476,-4,0,1,0,4,55.0,0,0,1,0,0,0,0,0,0,0,2,0,1,1700,106.9,0,1,0,0,15,15,4,55,4,6,5,2,39.0,480,-2,0.2,0,0,0,1,0,0,0,0,0,0,3,0,1,1800,113.3,1,0,0,0,15,4,4,55,7,6,4,3,39.0,482,-2,0.5,0,0,0,0,0,1,0,0,0,0,5,0,1,1800,114.0,0,1,0,0,16,12,4,55,2,2,1,1,39.7,484,+10,0.6,0,0,0,1,0,0,0,0,0,0,13,0,1,1800,117.9,0,1,0,0,15,12,4,54,4,4,3,5,43.0,474,+4,3.0,0,0,0,1,0,0,0,0,0,0,2,0,1,1800,116.7,1,0,0,0,10,5,4,55,2,2,2,2,39.3,470,-10,0.0
アオイサンライズ,13,33.8,5.4,9.0,0,1,1700,1,0,0,0,6,11,6,412,-6,0,1,0,3,53.0,0,0,0,0,0,0,0,0,1,0,6,0,1,1400,85.2,1,0,0,0,16,16,3,52,9,10,0,0,37.4,418,-7,0.8,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,89.9,0,1,0,0,10,3,3,54,7,7,4,0,38.7,425,+3,-0.3,0,0,0,0,0,0,0,0,1,0,14,1,0,1600,98.0,0,1,0,0,18,9,3,54,2,2,0,0,35.4,422,+22,1.1,0,0,0,0,0,0,0,1,0,0,13,1,0,1600,97.5,1,0,0,0,16,7,3,54,3,3,0,0,36.3,400,0,1.1,0,0,0,0,0,0,0,1,0,0,3,1,0,1600,96.8,1,0,0,0,16,4,3,54,5,5,0,0,35.1,400,0,0.4
