馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
マイネルオスカル,5,29.6,0,1,1700,1,0,0,0,1,1,5,478,0,1,0,0,3,52.0,0,0,0,0,0,0,1,0,0,0,10,0,1,1800,111.5,0,0,1,0,15,6,3,54,1,1,1,1,39.2,478,+2,1.8,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,115.1,0,1,0,0,14,11,3,54,6,6,4,5,39.4,476,0,2.8,0,0,0,0,1,0,0,0,0,0,8,0,1,1600,98.4,0,1,0,0,12,3,3,56,1,1,0,0,37.9,476,+2,1.5,0,0,0,0,0,0,0,0,1,0,1,0,1,1800,112.3,0,0,1,0,12,9,3,56,3,3,3,3,38.1,474,-2,0.0,0,0,0,0,0,0,0,1,0,0,9,0,1,1400,86.4,0,0,0,1,13,6,3,55,5,6,0,0,39.7,476,+18,3.0
タイセイスペリオル,7,33.2,0,1,1700,1,0,0,0,1,2,2,460,-10,1,0,0,5,54.0,0,0,0,0,0,0,0,0,0,1,6,0,1,1700,105.7,0,1,0,0,12,7,5,57,7,7,8,6,38.1,470,-4,1.1,0,0,0,0,1,0,0,0,0,0,13,0,1,1400,85.7,1,0,0,0,16,15,5,57,11,11,0,0,36.9,474,+4,2.1,0,0,0,0,0,1,0,0,0,0,1,0,1,1200,70.3,0,0,1,0,16,6,5,57,6,5,0,0,36.3,470,0,0.0,0,0,0,0,1,0,0,0,0,0,6,0,1,1400,84.4,1,0,0,0,16,8,5,57,11,11,0,0,36.5,470,+2,0.7,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,97.1,0,0,0,1,16,3,5,57,3,4,0,0,36.7,468,+2,1.2
コマビショウ,2,2.1,0,1,1700,1,0,0,0,2,3,8,496,+10,1,0,0,3,54.0,0,0,0,0,1,0,0,0,0,0,8,0,1,1600,96.1,0,0,1,0,16,9,3,56,11,11,0,0,35.9,486,0,1.1,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,113.6,1,0,0,0,9,5,3,56,3,3,3,6,36.1,486,-4,0.2,0,0,0,0,0,1,0,0,0,0,3,0,1,1800,115.0,1,0,0,0,9,4,3,56,2,2,1,1,36.8,490,-8,0.3,0,0,0,0,0,0,0,0,0,1,1,0,1,1700,106.2,1,0,0,0,16,15,3,56,4,6,5,3,37.3,498,-4,-0.6,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,111.3,0,0,1,0,13,10,3,55,9,9,7,4,36.1,502,0,0.3
クリノフウジン,3,20.6,0,1,1700,1,0,0,0,2,4,5,490,0,1,0,0,4,54.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1800,110.6,0,0,0,1,16,2,4,57,10,10,9,4,37.1,490,-6,-0.2,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,112.8,0,0,1,0,16,4,4,57,9,8,6,9,38.1,496,+4,0.8,0,0,0,0,0,1,0,0,0,0,9,0,1,1800,114.8,0,1,0,0,12,6,4,57,6,7,8,9,38.3,492,+6,1.8,0,0,0,0,0,0,0,0,0,1,8,0,1,1700,107.0,1,0,0,0,15,10,4,54,13,13,7,6,38.2,486,-16,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナンヨープルートー,9,19.3,0,1,1700,1,0,0,0,3,5,2,504,-8,1,0,0,4,56.0,0,0,0,0,0,0,0,0,0,1,4,0,1,1700,105.3,0,1,0,0,12,4,4,57,10,10,3,2,38.2,512,+10,0.7,0,0,0,0,0,0,1,0,0,0,9,0,1,1800,111.1,0,0,1,0,15,4,4,57,12,12,12,11,37.7,502,-10,1.4,0,0,0,0,1,0,0,0,0,0,11,0,1,2100,133.7,1,0,0,0,11,4,4,57,11,11,10,10,38.5,512,+2,2.7,0,0,0,0,0,1,0,0,0,0,11,0,1,1800,114.4,0,1,0,0,16,6,4,55,13,13,15,10,37.8,510,+8,2.1,0,0,0,0,1,0,0,0,0,0,4,0,1,2100,129.6,0,0,0,1,16,2,4,55,3,3,4,4,36.1,502,+6,0.5
ラニカイシチー,14,195.0,0,1,1700,1,0,0,0,3,6,4,468,-2,1,0,0,4,52.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,87.8,1,0,0,0,10,2,4,57,6,5,5,0,38.0,470,-6,-0.6,0,0,0,0,1,0,0,0,0,0,16,0,1,1600,100.7,0,1,0,0,16,8,4,57,5,8,0,0,39.6,476,+4,3.2,0,0,0,0,0,0,1,0,0,0,10,0,1,1800,115.1,0,1,0,0,13,6,4,57,7,7,7,7,40.3,472,-1,3.7,0,0,0,0,0,0,0,0,0,0,1,0,1,1600,103.6,0,1,0,0,14,7,4,57,6,6,4,4,38.6,473,-13,-0.1,0,0,0,0,0,0,1,0,0,0,11,0,1,1200,74.5,1,0,0,0,16,7,4,56,16,16,0,0,36.6,486,+16,1.4
ケルティックソード,4,24.5,0,1,1700,1,0,0,0,4,7,2,478,-18,1,0,0,5,55.0,0,0,0,0,0,0,0,0,0,1,5,0,1,1700,105.4,0,1,0,0,12,2,5,57,4,3,4,4,38.1,496,+14,0.8,0,0,0,0,1,0,0,0,0,0,4,0,1,1400,85.5,1,0,0,0,16,8,5,57,4,4,0,0,37.7,482,-12,0.3,0,0,0,0,0,0,0,1,0,0,9,0,1,1800,115.3,0,0,1,0,10,7,5,57,1,1,1,1,40.7,494,-6,1.8,0,0,0,0,0,0,0,1,0,0,8,0,1,1400,86.2,0,1,0,0,16,6,5,57,12,12,0,0,37.4,500,+4,1.6,0,0,0,0,0,0,0,0,1,0,4,0,1,1400,84.8,1,0,0,0,16,2,5,57,2,2,0,0,37.6,496,+8,0.3
キングズアフェアー,8,48.7,0,1,1700,1,0,0,0,4,8,3,500,0,0,0,1,6,54.0,0,0,1,0,0,0,0,0,0,0,9,0,1,1700,106.6,1,0,0,0,15,15,6,57,3,3,3,3,39.5,500,-8,0.6,0,0,1,0,0,0,0,0,0,0,5,0,1,1700,106.6,1,0,0,0,15,4,6,57,2,2,2,2,37.6,508,-12,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1,1800,114.5,1,0,0,0,16,10,6,57,9,9,7,5,40.1,520,+6,2.7,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,106.5,1,0,0,0,15,1,6,55,2,2,2,2,38.4,514,-16,0.6
ダンツゴウユウ,1,5.1,0,1,1700,1,0,0,0,5,10,5,474,+4,1,0,0,4,56.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,110.2,0,0,1,0,15,3,4,57,10,10,10,8,36.9,470,+6,0.5,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,97.0,1,0,0,0,16,8,4,57,11,11,0,0,36.4,464,-6,0.3,0,0,0,0,1,0,0,0,0,0,4,0,1,1600,96.5,1,0,0,0,14,2,4,57,12,12,0,0,35.7,470,+4,1.1,0,0,0,0,0,0,0,0,1,0,8,0,1,1400,84.9,1,0,0,0,15,8,4,57,13,13,0,0,36.4,466,-4,0.6,0,0,0,0,0,0,0,0,1,0,10,0,1,1400,84.9,1,0,0,0,16,6,4,57,12,13,0,0,36.2,470,0,1.4
タガノグルナ,13,8.6,0,1,1700,1,0,0,0,6,11,16,474,-2,1,0,0,4,56.0,0,0,0,0,0,0,0,1,0,0,13,0,1,1900,121.7,1,0,0,0,15,8,4,57,1,2,2,4,41.6,476,+6,3.7,0,0,0,0,0,0,1,0,0,0,4,0,1,1800,113.2,0,1,0,0,15,14,4,57,1,1,1,1,37.7,470,+4,0.1,0,0,0,0,0,0,0,0,0,1,1,0,1,1700,105.9,1,0,0,0,15,16,4,54,1,1,1,1,38.7,466,-16,-0.5,0,0,0,0,0,0,0,1,0,0,13,0,1,1400,85.7,0,1,0,0,16,9,4,56,6,5,0,0,38.6,482,0,1.8,0,0,0,0,0,0,0,1,0,0,13,0,1,1800,113.8,0,0,1,0,16,9,4,54,2,2,2,4,41.4,482,+6,2.5
ホーリーブレイズ,6,20.0,0,1,1700,1,0,0,0,7,13,2,482,+10,1,0,0,4,56.0,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,105.1,0,1,0,0,12,3,4,57,12,12,11,11,37.0,472,+8,0.5,0,0,0,0,0,0,1,0,0,0,8,0,1,1800,111.1,0,0,1,0,15,11,4,57,10,11,10,12,37.8,464,-10,1.4,0,0,0,0,0,0,0,1,0,0,10,0,1,1800,112.9,1,0,0,0,16,3,4,55,8,8,10,10,37.1,474,+8,1.1,0,0,0,0,0,0,0,1,0,0,8,0,1,1900,119.8,1,0,0,0,15,10,4,57,14,14,11,14,39.0,466,+4,1.8,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,112.9,1,0,0,0,16,8,4,56,4,4,4,3,37.7,462,0,0.2
ケールダンセール,12,12.2,0,1,1700,1,0,0,0,7,14,0,502,-6,0,1,0,3,50.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1700,105.3,1,0,0,0,16,1,3,52,6,6,4,3,38.5,508,+20,0.0,0,0,0,0,0,0,0,1,0,0,8,0,1,1800,114.0,1,0,0,0,16,1,3,54,4,4,4,4,39.6,488,+2,1.2,0,0,0,0,1,0,0,0,0,0,3,0,1,1600,98.7,1,0,0,0,16,10,3,54,4,2,0,0,39.2,486,-10,0.3,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,112.4,0,0,1,0,12,5,3,54,2,2,1,1,38.7,496,+6,0.1,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,114.5,1,0,0,0,10,8,3,54,5,5,5,5,39.1,490,-6,0.6
カシノランペイジ,10,432.3,0,1,1700,1,0,0,0,8,15,2,504,-4,1,0,0,3,51.0,0,0,0,0,0,0,0,0,0,1,12,0,1,1700,107.3,0,1,0,0,12,11,3,54,10,11,12,12,39.0,508,+8,2.7,0,0,0,0,0,0,1,0,0,0,11,0,1,1400,87.6,0,1,0,0,12,7,3,56,12,12,0,0,38.4,500,+3,3.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,90.0,1,0,0,0,12,10,3,56,6,5,5,3,37.4,497,-5,-0.3,0,0,0,0,0,0,0,1,0,0,14,0,1,1400,88.7,0,1,0,0,16,2,3,56,15,16,0,0,39.6,502,-1,3.1,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,91.0,1,0,0,0,10,10,3,54,3,4,3,1,38.9,503,-5,-0.5
ナムラヘラクレス,11,12.3,0,1,1700,1,0,0,0,8,16,1,490,0,1,0,0,4,56.0,0,0,0,0,0,0,0,0,0,1,3,0,1,1700,105.7,1,0,0,0,10,1,4,57,1,1,1,1,38.3,490,+6,0.3,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,112.6,0,0,1,0,15,10,4,57,2,2,2,2,37.7,484,-2,0.2,0,0,0,0,0,0,0,0,1,0,6,0,1,1800,114.5,0,1,0,0,14,12,4,57,2,2,2,2,39.2,486,+2,2.2,0,0,0,0,0,0,0,1,0,0,15,0,1,1800,113.6,1,0,0,0,16,12,4,57,2,1,1,2,40.3,484,-2,2.5,0,0,0,0,0,0,0,1,0,0,7,0,1,1800,112.5,1,0,0,0,16,10,4,55,2,2,2,2,37.7,486,-4,0.7
