馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
デルマサングリア,15,328.7,107.6,175.3,0,1,1300,1,0,0,0,1,1,4,414,-2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,16,0,1,1200,78.8,1,0,0,0,16,14,3,54,8,10,0,0,42.6,416,-6,5.4,0,0,1,0,0,0,0,0,0,0,14,0,1,1150,73.3,1,0,0,0,16,11,3,54,9,9,0,0,39.9,422,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドナプリモ,2,4.0,1.5,2.0,0,1,1300,1,0,0,0,2,2,2,458,+6,0,1,0,3,54.0,0,0,0,0,1,0,0,0,0,0,2,0,1,1300,80.1,1,0,0,0,16,2,3,54,1,1,0,0,37.9,452,-4,0.0,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,74.6,1,0,0,0,16,1,3,54,9,8,0,0,38.3,456,-6,1.2,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,75.1,1,0,0,0,16,15,3,54,12,13,0,0,39.2,462,-2,2.4,0,0,0,0,0,0,1,0,0,0,14,0,1,1800,119.8,0,1,0,0,16,4,3,54,4,4,12,12,40.8,464,0,3.0,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,74.9,1,0,0,0,16,16,3,54,15,14,0,0,38.0,464,0,1.9
アスクヴェリウェル,9,40.9,5.6,8.8,0,1,1300,1,0,0,0,2,3,3,446,0,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1300,80.7,1,0,0,0,16,5,3,56,5,5,0,0,37.9,446,-10,0.9,0,0,0,0,0,0,1,0,0,0,7,0,1,1200,74.9,1,0,0,0,15,16,3,56,8,7,0,0,38.4,456,+6,1.7,0,0,0,0,1,0,0,0,0,0,7,0,1,1300,81.1,0,0,0,1,16,15,3,56,3,2,0,0,37.6,450,-2,0.9,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,75.1,1,0,0,0,16,2,3,56,8,7,0,0,38.9,452,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オペラカイジン,1,6.0,1.8,2.7,0,1,1300,1,0,0,0,3,4,15,456,-12,1,0,0,3,54.0,0,0,0,0,1,0,0,0,0,0,2,0,1,1300,80.5,0,0,0,1,16,7,3,53,1,1,0,0,37.1,468,-2,0.3,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,73.4,1,0,0,0,16,5,3,53,3,3,0,0,38.8,470,+16,0.2,0,0,0,0,0,0,0,0,1,0,7,0,1,1400,87.1,1,0,0,0,14,14,3,55,9,7,0,0,38.2,454,-6,1.5,0,0,0,0,1,0,0,0,0,0,7,0,1,1400,87.2,1,0,0,0,16,5,3,55,6,7,0,0,38.7,460,-2,1.7,0,0,0,0,1,0,0,0,0,0,9,0,1,1600,101.3,1,0,0,0,16,13,3,52,3,2,0,0,39.6,462,+14,1.5
フジワンタイフーン,12,48.2,10.4,16.8,0,1,1300,1,0,0,0,3,5,3,478,-4,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,9,0,1,1400,87.8,1,0,0,0,16,10,3,56,2,2,0,0,39.6,482,-4,1.5,0,0,0,0,0,0,0,0,0,1,8,0,1,1000,62.0,1,0,0,0,14,3,3,56,10,9,0,0,37.6,486,0,2.2,0,0,0,0,0,0,1,0,0,0,14,1,0,1400,85.7,1,0,0,0,18,5,3,56,18,16,0,0,37.0,486,+2,1.7,0,0,0,0,1,0,0,0,0,0,13,0,1,1300,83.5,1,0,0,0,16,9,3,55,16,15,0,0,37.4,484,+10,3.1,1,0,0,0,0,0,0,0,0,0,8,0,1,1000,62.4,1,0,0,0,8,2,3,51,4,8,0,0,37.9,474,-6,2.5
クレバージェット,4,6.1,1.7,2.5,0,1,1300,1,0,0,0,4,6,2,520,+6,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,5,0,1,1300,81.1,1,0,0,0,16,6,3,56,2,2,0,0,38.7,514,-2,1.0,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,73.2,1,0,0,0,16,6,3,56,9,9,0,0,37.6,516,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オメガクオリティー,8,3.9,1.3,1.7,0,1,1300,1,0,0,0,4,7,6,482,+6,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,3,0,1,1200,73.5,1,0,0,0,16,1,3,56,3,3,0,0,38.4,476,-6,0.8,0,0,0,0,0,1,0,0,0,0,3,0,1,1200,73.4,1,0,0,0,16,9,3,56,5,5,0,0,38.0,482,-4,0.2,0,0,0,0,0,0,1,0,0,0,14,1,0,1600,99.6,1,0,0,0,16,14,3,56,2,1,1,0,37.6,486,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フジサンデルタ,11,25.4,4.5,7.1,0,1,1300,1,0,0,0,5,8,1,494,+2,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,4,0,1,1400,87.8,1,0,0,0,16,10,3,56,7,4,0,0,38.5,492,+4,1.2,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.3,1,0,0,0,16,15,3,56,12,12,0,0,37.3,488,-2,0.6,0,0,0,0,0,1,0,0,0,0,11,0,1,1800,119.0,0,1,0,0,16,6,3,56,9,9,3,5,41.8,490,-4,3.4,0,0,0,0,1,0,0,0,0,0,11,0,1,2100,138.6,1,0,0,0,16,3,3,56,14,13,13,12,41.3,494,-6,4.1,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,120.1,1,0,0,0,9,3,3,56,5,5,3,3,41.2,500,0,1.4
ヒューリスティクス,7,5.9,1.8,2.6,0,1,1300,1,0,0,0,5,9,3,500,+2,0,0,1,3,56.0,0,0,0,0,1,0,0,0,0,0,6,0,1,1400,86.8,1,0,0,0,16,9,3,56,5,4,0,0,38.0,498,-14,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,1,1800,119.6,1,0,0,0,16,6,3,56,2,2,1,2,43.1,512,+4,3.2,0,0,0,0,0,1,0,0,0,0,10,0,1,1800,120.2,1,0,0,0,14,2,3,55,11,11,10,8,40.2,508,0,1.8,0,0,1,0,0,0,0,0,0,0,7,1,0,2000,126.5,1,0,0,0,11,4,3,55,1,1,1,1,36.1,508,0,0.6
ペイシャオブライフ,14,27.5,6.3,10.1,0,1,1300,1,0,0,0,6,10,3,480,+6,0,1,0,3,54.0,0,0,1,0,0,0,0,0,0,0,8,1,0,1200,71.8,1,0,0,0,16,15,3,54,3,3,0,0,36.6,474,-4,0.9,0,0,1,0,0,0,0,0,0,0,5,1,0,1200,70.9,1,0,0,0,16,9,3,54,3,3,0,0,36.3,478,+2,0.4,0,0,0,0,0,0,1,0,0,0,2,0,1,1200,73.6,0,0,1,0,16,2,3,51,5,5,0,0,37.3,476,-2,1.5,0,0,0,0,0,0,1,0,0,0,12,0,1,1200,75.7,0,1,0,0,16,16,3,54,4,4,0,0,40.1,478,-2,3.4,0,0,0,0,0,1,0,0,0,0,9,0,1,1200,74.7,1,0,0,0,16,14,3,54,2,2,0,0,40.2,480,+6,1.5
ムーンサルト,13,283.6,68.5,111.5,0,1,1300,1,0,0,0,6,11,3,472,-6,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,8,0,1,1150,72.0,1,0,0,0,16,16,3,56,2,2,0,0,39.5,478,-2,2.2,0,0,0,0,0,1,0,0,0,0,15,0,1,1800,121.7,1,0,0,0,15,9,3,54,2,3,7,11,43.1,480,+6,5.1,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,74.7,0,1,0,0,16,15,3,56,13,12,0,0,38.0,474,+4,2.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1200,75.8,1,0,0,0,16,6,3,55,10,11,0,0,38.7,470,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グヴィアズダ,10,63.0,13.7,22.2,0,1,1300,1,0,0,0,7,12,4,422,-6,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,6,0,1,1200,74.8,1,0,0,0,16,14,3,56,8,6,0,0,38.0,428,0,1.0,0,0,0,0,1,0,0,0,0,0,7,0,1,1300,81.8,1,0,0,0,16,6,3,56,15,13,0,0,37.7,428,+2,1.5,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,74.1,1,0,0,0,16,3,3,56,5,4,0,0,39.2,426,0,0.9,0,0,0,0,0,1,0,0,0,0,2,0,1,1200,74.2,1,0,0,0,16,8,3,55,5,4,0,0,38.1,426,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
テンポディヴァルス,5,12.9,2.7,4.2,0,1,1300,1,0,0,0,7,13,3,440,-4,1,0,0,3,53.0,0,0,0,0,1,0,0,0,0,0,4,0,1,1300,80.5,1,0,0,0,16,11,3,53,4,3,0,0,38.0,444,0,0.7,0,0,0,0,0,1,0,0,0,0,3,0,1,1200,73.3,1,0,0,0,16,11,3,53,5,5,0,0,38.2,444,0,0.3,0,0,0,0,1,0,0,0,0,0,11,0,1,1300,81.9,0,0,0,1,16,16,3,55,12,10,0,0,37.6,444,-4,1.7,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,74.2,1,0,0,0,16,3,3,55,16,15,0,0,37.9,448,+16,0.2,0,0,0,1,0,0,0,0,0,0,17,1,0,1200,71.9,1,0,0,0,18,13,3,54,18,18,0,0,35.7,432,0,2.0
ロトヴィグラス,3,40.2,7.9,12.7,0,1,1300,1,0,0,0,8,14,12,464,+4,1,0,0,3,56.0,0,0,0,0,1,0,0,0,0,0,6,0,1,1400,88.0,1,0,0,0,16,12,3,56,6,6,0,0,39.2,460,0,1.1,0,0,0,0,1,0,0,0,0,0,4,0,1,1400,87.4,0,0,0,1,16,9,3,56,11,10,0,0,37.4,460,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グログラン,6,119.4,18.0,29.3,0,1,1300,1,0,0,0,8,15,15,484,+34,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,10,0,1,1800,120.9,0,1,0,0,11,4,3,54,3,3,2,6,44.3,450,-4,6.1,0,0,0,0,0,0,0,1,0,0,6,0,1,1800,118.5,0,1,0,0,12,7,3,53,5,5,4,4,39.7,454,-8,1.4,0,0,0,0,0,0,0,0,1,0,13,0,1,1800,117.4,1,0,0,0,16,1,3,53,6,7,9,9,40.2,462,-4,2.7,0,0,0,0,0,0,0,0,1,0,9,0,1,1400,87.3,1,0,0,0,15,10,3,54,8,5,0,0,38.1,466,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
