馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
サンマルアナザー,14,19.8,0,1,1700,1,0,0,0,1,1,2,462,-2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1800,117.1,1,0,0,0,15,14,3,56,9,8,4,2,39.8,464,-8,0.7,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,118.7,1,0,0,0,15,11,3,56,12,12,10,7,39.6,472,-6,2.1,0,0,0,0,0,1,0,0,0,0,11,0,1,1800,120.9,0,1,0,0,14,12,3,56,11,10,8,12,42.5,478,-2,1.9,0,0,0,0,0,1,0,0,0,0,13,0,1,1800,120.4,1,0,0,0,16,6,3,55,15,15,16,16,41.1,480,+8,3.0,0,0,0,0,1,0,0,0,0,0,15,0,1,1600,102.5,0,1,0,0,16,7,3,55,11,12,0,0,40.2,472,-2,4.1
トモジャオーサム,9,211.2,0,1,1700,1,0,0,0,2,2,2,516,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,13,0,1,1400,89.6,1,0,0,0,16,3,3,56,12,12,0,0,40.9,516,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タマモブラボー,11,29.1,0,1,1700,1,0,0,0,2,3,3,498,+2,1,0,0,3,54.0,0,0,0,0,0,0,0,0,1,0,7,1,0,2400,151.3,1,0,0,0,12,2,3,56,10,10,9,8,34.9,496,-2,1.2,0,0,0,0,0,0,0,0,1,0,10,1,0,1600,96.9,1,0,0,0,16,9,3,56,12,11,0,0,35.2,498,+8,1.0,0,0,0,0,0,0,1,0,0,0,8,1,0,2000,124.3,1,0,0,0,12,8,3,52,8,8,8,9,34.8,490,-6,1.4,0,0,0,0,0,0,1,0,0,0,16,1,0,1400,86.1,1,0,0,0,18,3,3,55,18,18,0,0,35.9,496,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マーナガルム,6,13.8,0,1,1700,1,0,0,0,3,4,2,456,+4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,5,0,1,2000,130.2,1,0,0,0,16,4,3,56,12,13,13,12,39.9,452,0,1.2,0,0,0,0,0,0,1,0,0,0,6,0,1,1800,116.9,0,1,0,0,14,6,3,55,8,8,10,10,40.2,452,+2,1.1,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,116.3,1,0,0,0,16,3,3,55,5,5,4,5,38.8,450,+2,0.8,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,116.2,1,0,0,0,12,3,3,55,4,3,3,3,39.2,448,-2,1.8,0,0,0,0,0,0,0,1,0,0,5,1,0,1600,96.1,0,1,0,0,12,11,3,55,10,7,0,0,36.8,450,+2,1.6
グランオーラ,12,109.1,0,1,1700,1,0,0,0,3,5,3,494,-4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,10,0,1,1200,74.2,0,1,0,0,16,12,3,56,13,14,0,0,38.2,498,+8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,1800,112.9,1,0,0,0,12,7,3,54,2,2,2,2,37.8,490,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
セイカメテオライト,4,9.5,0,1,1700,1,0,0,0,4,6,2,446,+2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,3,0,1,1800,117.4,1,0,0,0,14,8,3,56,9,8,4,2,39.2,444,-6,0.4,0,0,0,0,0,1,0,0,0,0,3,0,1,1800,117.1,0,1,0,0,16,15,3,56,6,6,7,5,39.5,450,-2,1.5,0,0,0,0,1,0,0,0,0,0,6,0,1,2100,137.5,1,0,0,0,16,11,3,56,6,6,5,4,41.1,452,-2,3.0,0,0,0,0,1,0,0,0,0,0,3,0,1,2100,137.0,0,0,0,1,16,9,3,56,7,7,4,3,40.5,454,-6,2.2,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,119.7,1,0,0,0,16,2,3,56,12,12,12,11,39.4,460,+8,1.2
ブルベアセロリ,10,118.1,0,1,1700,1,0,0,0,4,7,0,442,-2,0,1,0,3,51.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1400,88.0,1,0,0,0,16,5,3,53,15,15,0,0,38.9,444,+4,1.8,0,0,0,0,0,0,0,0,1,0,11,0,1,1200,75.3,0,1,0,0,16,12,3,54,11,12,0,0,37.8,440,-16,2.1,0,0,0,0,0,0,0,0,0,1,9,1,0,1200,70.7,0,1,0,0,17,4,3,54,9,8,0,0,34.7,456,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブルベアミョウガ,5,12.4,0,1,1700,1,0,0,0,5,8,1,504,+2,1,0,0,3,56.0,0,0,1,0,0,0,0,0,0,0,4,0,1,1700,109.1,1,0,0,0,15,3,3,56,14,13,9,6,38.3,502,-12,0.2,0,0,0,0,0,0,0,1,0,0,14,1,0,1800,112.7,1,0,0,0,16,7,3,56,16,16,0,0,35.1,514,-2,1.9,0,0,0,0,0,0,0,0,1,0,16,1,0,1800,111.1,1,0,0,0,18,16,3,55,11,11,0,0,36.1,516,+10,2.7,0,0,0,0,0,0,0,0,1,0,9,0,1,1800,117.9,1,0,0,0,16,13,3,55,10,12,14,14,38.7,506,+12,3.2,0,0,0,1,0,0,0,0,0,0,10,1,0,1800,112.0,1,0,0,0,11,1,3,54,8,8,0,0,37.6,494,+4,3.9
ロジペルレスト,1,1.6,0,1,1700,1,0,0,0,5,9,2,510,-4,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,116.6,1,0,0,0,16,8,3,56,3,2,2,4,39.4,514,-4,0.6,0,0,0,0,1,0,0,0,0,0,7,0,1,1600,100.2,0,0,0,1,16,2,3,56,5,4,0,0,38.5,518,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ロードゲイル,15,38.9,0,1,1700,1,0,0,0,6,10,20,510,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1,1400,88.2,0,1,0,0,16,12,3,52,5,5,0,0,38.4,508,-4,2.7,0,0,0,0,1,0,0,0,0,0,3,0,1,1400,89.0,1,0,0,0,16,12,3,52,3,3,0,0,39.9,512,+2,2.0,0,0,0,1,0,0,0,0,0,0,8,0,1,1200,73.8,0,1,0,0,15,5,3,55,11,10,0,0,37.7,510,+10,1.5,0,0,0,0,0,1,0,0,0,0,16,0,1,1800,132.3,1,0,0,0,16,16,3,54,4,3,6,12,54.6,500,0,15.1
