馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
エアースピーダー,9,285.6,1,0,1800,0,1,0,0,1,1,1,474,0,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,7,0,1,1700,114.2,1,0,0,0,10,3,2,54,5,6,8,8,43.1,474,-4,1.5,0,0,0,0,0,0,0,0,0,0,8,0,1,1200,76.5,0,0,1,0,14,4,2,54,12,12,0,0,39.7,478,-2,1.5,0,0,0,0,0,0,0,0,0,0,3,0,1,1200,76.3,1,0,0,0,9,7,2,54,5,5,0,0,39.7,480,-2,0.4,0,0,0,0,0,0,0,0,0,0,1,0,1,1000,62.6,1,0,0,0,7,4,2,54,2,2,0,0,38.3,482,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハギノアップロード,3,14.2,1,0,1800,0,1,0,0,2,2,1,450,-14,1,0,0,2,54.0,1,0,0,0,0,0,0,0,0,0,3,1,0,1800,114.7,1,0,0,0,10,6,2,54,3,3,4,4,34.8,464,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サージュ,5,60.8,1,0,1800,0,1,0,0,3,3,2,484,-6,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,5,0,1,1700,111.8,1,0,0,0,10,3,2,54,5,5,5,5,39.9,490,+6,0.8,0,0,0,0,0,0,0,0,0,0,1,0,1,1700,115.2,0,0,1,0,8,1,2,54,4,4,4,3,40.6,484,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アガラス,2,1.3,1,0,1800,0,1,0,0,4,4,8,496,+8,1,0,0,2,54.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1800,111.2,1,0,0,0,16,6,2,54,4,3,3,0,34.1,488,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カサブランカボーテ,10,371.0,1,0,1800,0,1,0,0,5,5,2,422,-20,0,1,0,2,54.0,0,0,1,0,0,0,0,0,0,0,9,1,0,1800,114.1,1,0,0,0,11,7,2,54,11,11,11,10,39.2,442,-4,3.2,0,0,1,0,0,0,0,0,0,0,11,1,0,1800,114.4,1,0,0,0,15,11,2,53,12,13,15,14,37.3,446,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トーセンギムレット,4,5.1,1,0,1800,0,1,0,0,6,6,7,508,+2,1,0,0,2,54.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1600,96.5,1,0,0,0,15,1,2,54,8,6,0,0,34.8,506,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイコート,6,74.5,1,0,1800,0,1,0,0,7,7,2,452,-4,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,3,0,1,1700,111.3,1,0,0,0,10,6,2,54,2,2,2,2,39.8,456,0,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1700,112.6,0,0,0,1,8,6,2,54,1,4,4,5,41.3,456,-10,0.0,0,0,0,0,0,0,0,0,0,0,3,0,1,1600,109.7,1,0,0,0,10,10,2,54,5,5,5,5,43.2,466,0,0.7,0,0,0,0,0,0,0,0,0,0,3,0,1,1500,100.8,0,0,1,0,7,6,2,54,2,2,5,5,41.3,466,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ライズインザノース,8,94.8,1,0,1800,0,1,0,0,7,8,2,472,0,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,9,0,1,1700,115.3,1,0,0,0,10,8,2,54,10,10,7,7,42.8,472,-4,4.3,0,0,0,0,0,0,0,0,0,0,2,0,1,1700,112.1,0,0,0,1,6,1,2,54,3,3,3,3,41.8,476,+2,1.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1600,109.0,1,0,0,0,10,2,2,54,1,1,1,1,43.2,474,-10,-0.1,0,0,0,0,0,0,0,0,0,0,3,0,1,1700,116.1,1,0,0,0,11,7,2,54,3,3,1,1,44.0,484,+14,0.8,0,0,0,0,0,0,0,0,0,0,4,0,1,1200,77.7,0,1,0,0,8,1,2,54,6,4,0,0,40.6,470,0,1.0
ナイママ,1,10.2,1,0,1800,0,1,0,0,8,9,2,436,-10,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,2,0,1,1700,111.1,1,0,0,0,10,5,2,54,5,6,4,4,39.4,446,-2,0.1,0,0,0,0,0,0,0,0,0,0,1,0,1,1500,98.2,0,0,1,0,7,3,2,54,5,5,2,1,39.0,448,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウィンターフェル,7,19.9,1,0,1800,0,1,0,0,8,10,2,498,-10,1,0,0,2,54.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1700,111.0,1,0,0,0,10,7,2,54,4,4,3,3,39.4,508,+4,-0.1,0,0,0,0,0,0,0,0,0,0,2,0,1,1200,75.3,0,0,1,0,14,10,2,54,6,5,0,0,39.6,504,+14,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1000,62.2,1,0,0,0,8,3,2,52,2,2,0,0,37.2,490,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
