馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,芝,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ベターハーフ,7,19.4,0,1,1800,1,0,0,0,1,1,3,472,+6,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,8,0,1,1800,116.6,1,0,0,0,11,11,3,54,2,2,2,2,41.1,466,+2,1.2,0,0,0,0,1,0,0,0,0,0,8,0,1,1600,101.5,1,0,0,0,16,5,3,54,15,16,0,0,37.5,464,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジューンバラード,4,9.2,0,1,1800,1,0,0,0,2,2,3,420,+4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,117.3,0,1,0,0,16,12,3,54,12,11,8,6,38.7,416,+4,0.5,0,0,0,0,1,0,0,0,0,0,6,0,1,1600,100.8,0,1,0,0,15,15,3,54,3,4,0,0,38.3,412,-6,0.8,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,117.9,1,0,0,0,16,16,3,54,8,7,7,7,40.6,418,+4,0.0,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,117.2,1,0,0,0,16,8,3,54,15,15,13,11,39.4,414,-4,0.1,0,0,0,0,1,0,0,0,0,0,9,1,0,1600,96.5,1,0,0,0,15,8,3,54,14,14,0,0,34.0,418,-16,0.8
ペシュジェイド,15,384.7,0,1,1800,1,0,0,0,2,3,7,442,-4,0,1,0,3,51.0,0,0,0,0,1,0,0,0,0,0,10,0,1,1600,102.4,0,0,1,0,16,14,3,52,8,10,0,0,38.7,446,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジャストベリー,13,107.2,0,1,1800,1,0,0,0,3,4,2,422,-4,0,1,0,3,53.0,0,0,0,0,0,1,0,0,0,0,6,0,1,1800,118.6,1,0,0,0,15,12,3,54,11,11,10,10,40.5,426,-10,1.3,0,0,0,0,0,1,0,0,0,0,12,0,1,1800,118.2,1,0,0,0,16,6,3,54,14,14,14,11,41.1,436,+10,2.7,0,0,1,0,0,0,0,0,0,0,5,0,1,1700,110.5,1,0,0,0,14,10,3,54,2,3,5,3,39.4,426,-8,0.6,0,0,0,0,1,0,0,0,0,0,10,0,1,1600,103.1,1,0,0,0,16,9,3,54,10,9,0,0,39.1,434,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニシノアメイズ,3,8.3,0,1,1800,1,0,0,0,3,5,2,496,+2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,117.5,1,0,0,0,15,8,3,54,9,9,8,8,39.7,494,0,0.2,0,0,0,0,0,1,0,0,0,0,4,0,1,1800,117.6,1,0,0,0,16,1,3,54,12,12,11,8,39.9,494,+8,0.9,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,118.7,1,0,0,0,16,4,3,54,11,11,15,11,39.9,486,+6,1.2,0,0,0,0,0,1,0,0,0,0,12,1,0,1800,111.0,1,0,0,0,16,2,3,54,14,14,13,13,36.8,480,+8,1.9,0,0,0,0,1,0,0,0,0,0,7,1,0,1600,97.1,1,0,0,0,15,8,3,54,12,12,0,0,34.9,472,0,0.6
アクトオネストリー,11,37.6,0,1,1800,1,0,0,0,4,6,0,460,0,0,1,0,3,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エフルラージュ,1,1.7,0,1,1800,1,0,0,0,4,7,5,482,+4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,2,0,1,1800,116.7,1,0,0,0,16,11,3,54,3,3,3,1,39.7,478,-2,0.0,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,117.3,1,0,0,0,16,2,3,54,6,4,12,15,40.6,480,+4,1.8,0,0,0,0,1,0,0,0,0,0,12,1,0,2000,124.6,1,0,0,0,18,3,3,54,18,17,17,0,34.9,476,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キタノハピネス,12,200.6,0,1,1800,1,0,0,0,5,8,1,422,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,6,0,1,1800,118.2,0,1,0,0,13,5,3,54,7,7,8,8,39.7,428,-6,2.6,0,0,0,0,0,0,0,0,1,0,11,0,1,1400,87.8,0,1,0,0,16,2,3,54,14,13,0,0,38.4,434,+2,1.2,0,0,0,0,0,0,0,0,0,1,10,0,1,1700,111.8,0,1,0,0,10,9,3,51,6,6,8,8,40.6,432,-2,2.7,0,0,0,0,0,0,0,1,0,0,15,1,0,1800,112.6,1,0,0,0,16,4,3,54,10,10,0,0,37.1,434,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フロンサック,6,214.9,0,1,1800,1,0,0,0,5,9,5,452,-2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,118.6,1,0,0,0,16,10,3,54,14,14,12,12,40.6,454,-6,1.9,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,120.5,1,0,0,0,15,14,3,54,8,8,6,6,41.3,460,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビレッジベルベ,9,210.7,0,1,1800,1,0,0,0,6,10,3,436,+4,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,10,0,1,1800,119.4,0,1,0,0,16,8,3,54,16,16,16,16,39.6,432,-16,2.6,0,0,0,0,0,1,0,0,0,0,7,0,1,1800,118.6,1,0,0,0,16,10,3,51,3,3,4,5,41.8,448,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
