馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ペイシャラストパイ,5,186.7,0,1,1400,0,1,0,0,1,1,7,482,-10,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,1400,83.6,1,0,0,0,16,13,3,53,15,15,0,0,34.9,490,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノオンリーワン,8,125.3,0,1,1400,0,1,0,0,1,2,2,432,+2,0,1,0,3,52.0,0,0,0,0,0,0,0,1,0,0,7,0,1,1400,87.7,0,1,0,0,16,4,3,52,7,7,0,0,38.7,430,0,1.1,0,0,0,0,0,0,0,0,1,0,10,1,0,1400,84.5,0,1,0,0,16,3,3,52,10,10,0,0,36.7,430,0,1.5,0,0,0,0,0,0,0,1,0,0,10,1,0,1400,83.0,1,0,0,0,18,16,3,54,13,12,0,0,35.2,430,0,1.1,0,0,0,0,0,0,0,1,0,0,14,1,0,1800,111.5,1,0,0,0,15,15,3,54,7,7,0,0,36.0,430,-2,1.5,0,0,0,0,0,0,0,1,0,0,8,1,0,1600,96.0,1,0,0,0,17,3,3,54,12,9,0,0,36.7,432,0,1.7
ロンリイマンサパタ,1,9.1,0,1,1400,0,1,0,0,2,3,2,516,-8,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,116.5,1,0,0,0,16,5,3,56,1,1,1,1,39.9,524,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウカササギ,11,2.6,0,1,1400,0,1,0,0,2,4,2,464,0,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,2,0,1,1400,86.7,0,1,0,0,16,1,3,54,1,1,0,0,38.3,464,+2,0.1,0,0,0,0,0,0,0,1,0,0,5,0,1,1400,87.1,1,0,0,0,16,7,3,54,5,7,0,0,38.5,462,-2,1.5,0,0,0,0,0,0,0,0,1,0,2,0,1,1200,74.6,1,0,0,0,14,5,3,54,5,5,0,0,38.6,464,+2,0.5,0,0,0,0,0,0,0,1,0,0,14,0,1,1200,75.8,1,0,0,0,16,5,3,54,11,11,0,0,38.6,462,+2,3.2,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,74.3,0,1,0,0,16,16,3,54,2,2,0,0,36.7,460,0,0.5
ラー,3,36.7,0,1,1400,0,1,0,0,3,5,2,426,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,5,0,1,1400,87.4,0,1,0,0,16,14,3,56,10,9,0,0,38.1,426,-4,0.8,0,0,0,0,0,0,0,0,1,0,17,1,0,1400,86.6,0,1,0,0,18,17,3,55,18,15,0,0,36.6,430,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グランプリワン,7,43.0,0,1,1400,0,1,0,0,3,6,2,462,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,9,0,1,1400,87.8,0,1,0,0,16,12,3,55,2,5,0,0,39.1,466,+2,1.2,0,0,0,0,0,0,0,0,1,0,8,0,1,1400,87.1,1,0,0,0,16,8,3,55,10,10,0,0,39.1,464,+8,1.4,0,0,0,0,0,0,0,0,1,0,8,0,1,1400,88.4,0,1,0,0,12,7,3,54,7,6,0,0,39.9,456,0,1.7,0,0,0,0,0,0,0,0,1,0,3,0,1,1400,87.7,0,1,0,0,13,1,3,54,7,7,0,0,39.8,456,-14,2.5,0,0,0,0,0,0,0,0,0,1,11,1,0,1200,71.6,0,0,1,0,15,2,3,52,12,13,0,0,36.0,470,0,1.6
メイショウランセツ,14,8.0,0,1,1400,0,1,0,0,4,7,13,456,+8,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,7,0,1,1400,87.6,1,0,0,0,10,10,3,55,3,4,0,0,39.1,448,+2,1.1,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,87.5,1,0,0,0,11,2,3,55,4,5,0,0,39.2,446,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルプリサイス,6,4.4,0,1,1400,0,1,0,0,4,8,13,488,+14,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,86.7,1,0,0,0,10,5,3,55,3,4,0,0,38.4,474,-2,0.2,0,0,0,0,0,0,0,1,0,0,2,0,1,1400,86.4,1,0,0,0,11,6,3,55,3,2,0,0,38.6,476,+4,1.1,0,0,0,0,0,0,0,0,1,0,4,0,1,1400,86.1,0,0,0,1,12,12,3,54,2,3,0,0,38.5,472,-4,0.8,0,0,0,0,0,0,0,0,0,1,5,0,1,1000,60.9,1,0,0,0,12,3,3,54,7,5,0,0,36.8,476,+4,1.3,0,0,0,0,0,0,1,0,0,0,5,1,0,1600,98.0,1,0,0,0,12,1,3,54,3,3,2,0,36.3,472,0,1.6
ウォーターオリジン,9,30.6,0,1,1400,0,1,0,0,5,9,0,514,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トーセンマイスター,2,10.7,0,1,1400,0,1,0,0,5,10,2,472,-2,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,14,1,0,1400,84.0,1,0,0,0,18,2,3,56,15,12,0,0,35.2,474,+2,1.3,0,0,0,0,0,0,0,0,1,0,5,1,0,1400,84.2,0,1,0,0,16,9,3,55,7,10,0,0,36.5,472,+18,1.2,0,0,0,0,0,0,0,0,0,1,9,1,0,1200,70.6,0,1,0,0,17,12,3,54,7,5,0,0,36.1,454,+4,0.9,0,0,0,0,0,0,0,0,0,1,3,1,0,1200,69.4,1,0,0,0,11,10,3,54,2,2,0,0,34.5,450,-8,0.3,0,0,0,0,0,0,1,0,0,0,4,1,0,1400,84.5,1,0,0,0,10,6,3,54,5,6,0,0,36.2,458,0,0.9
