馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アサケボス,13,415.1,1,1,1,452,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,13,0,2000,123.3,1,0,0,0,18,10,3,55,7,7,8,9,37.9,452,-8,2.7,0,0,0,0,0,0,0,0,1,0,15,0,1600,98.1,1,0,0,0,18,4,3,55,14,15,0,0,35.5,460,+18,2.2,0,0,0,0,0,0,0,0,1,0,9,1,1400,88.3,0,1,0,0,13,6,3,54,13,13,0,0,38.8,442,-2,3.1,0,0,0,0,0,0,0,0,0,1,14,1,1000,61.9,0,0,0,1,14,1,3,51,14,14,0,0,37.5,444,+4,3.2,0,0,0,0,0,0,0,0,0,1,10,1,1000,62.0,1,0,0,0,12,9,3,51,9,11,0,0,37.7,440,+4,2.4
モズアンジェラ,8,250.7,2,2,2,430,-10,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,11,0,2200,137.6,1,0,0,0,18,11,3,51,13,16,18,16,37.3,440,-6,2.0,0,0,0,0,0,0,0,0,1,0,11,0,1800,109.4,1,0,0,0,18,16,3,54,18,18,0,0,36.0,446,-6,2.0,0,0,0,0,0,0,0,0,1,0,9,1,1800,118.0,0,1,0,0,15,3,3,54,5,6,10,10,38.5,452,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴットフルール,5,2.3,3,3,15,484,+12,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,2,0,2200,136.6,1,0,0,0,15,13,3,54,11,11,6,2,37.0,472,-2,0.0,0,0,0,0,0,0,0,0,1,0,3,0,2000,125.2,1,0,0,0,12,8,3,54,4,4,4,4,36.2,474,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドンキースタイル,10,14.4,4,4,10,460,0,1,0,0,3,55.0,0,0,0,0,0,0,0,0,0,1,10,0,2000,122.8,1,0,0,0,18,5,3,56,6,6,7,6,37.1,460,-2,0.9,0,0,0,0,1,0,0,0,0,0,2,0,1800,110.2,1,0,0,0,16,13,3,55,2,2,2,0,35.4,462,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ポベーダテソーロ,2,7.9,4,5,9,454,-8,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,7,0,2400,147.6,1,0,0,0,12,5,3,56,5,5,5,5,35.6,462,+10,1.3,0,0,0,0,1,0,0,0,0,0,3,0,2400,147.5,1,0,0,0,12,5,3,56,9,9,10,10,34.2,452,-6,0.1,0,0,0,0,0,0,0,0,1,0,5,0,2000,124.3,0,1,0,0,16,9,3,55,12,12,10,9,36.4,458,+2,0.4,0,0,0,0,0,0,0,0,1,0,5,0,2000,122.8,1,0,0,0,9,3,3,55,6,6,6,6,35.5,456,+6,0.4,1,0,0,0,0,0,0,0,0,0,4,0,1800,114.5,0,1,0,0,5,3,3,54,2,2,2,1,37.4,450,-6,1.1
アッフェルマーレ,9,101.5,5,6,1,458,-2,0,1,0,3,53.0,0,0,1,0,0,0,0,0,0,0,10,0,2000,123.9,1,0,0,0,11,5,3,53,2,2,2,6,38.4,460,-2,1.9,0,0,0,0,0,0,0,0,1,0,14,0,1600,98.6,0,1,0,0,15,15,3,54,8,5,0,0,36.2,462,-2,2.0,0,0,0,0,0,0,0,0,1,0,9,0,1600,97.7,1,0,0,0,13,3,3,54,11,12,0,0,34.1,464,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダブルクラッチ,12,25.6,5,7,21,474,0,1,0,0,3,56.0,0,0,0,0,0,0,0,0,1,0,5,1,1800,116.8,1,0,0,0,10,3,3,55,1,1,1,2,40.0,474,-2,1.3,0,0,0,0,0,0,0,1,0,0,6,0,1600,97.1,1,0,0,0,13,3,3,55,4,4,0,0,35.6,476,+14,0.8,0,0,0,0,0,0,0,0,0,1,6,0,1200,70.5,1,0,0,0,12,9,3,54,5,5,0,0,35.9,462,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイモンノツバサ,11,287.7,6,8,0,526,+2,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,7,0,2400,149.7,1,0,0,0,9,7,3,56,9,8,8,9,35.5,524,-6,1.3,0,0,0,0,0,0,0,0,1,0,14,1,2000,131.8,1,0,0,0,14,1,3,56,13,12,13,14,40.4,530,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エイシンロード,1,3.4,6,9,2,482,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,3,0,2000,121.9,1,0,0,0,16,11,3,54,8,9,7,5,35.2,482,-6,0.0,0,0,0,0,0,0,0,1,0,0,5,1,1800,116.4,1,0,0,0,16,5,3,53,9,9,7,5,38.7,488,+4,1.7,0,0,0,0,0,0,0,0,1,0,5,1,1400,86.3,1,0,0,0,16,8,3,53,11,10,0,0,37.7,484,0,0.6,0,0,0,0,0,0,0,1,0,0,8,0,1400,82.8,1,0,0,0,18,8,3,54,15,15,0,0,34.7,484,+4,0.9,0,0,0,1,0,0,0,0,0,0,3,0,1600,96.7,0,1,0,0,11,5,3,54,3,3,0,0,34.2,480,-4,0.1
ケルンキングダム,6,53.0,7,10,0,438,0,0,0,1,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
