馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ヒロシゲセブン,12,33.7,1,0,2000,1,0,0,0,1,1,2,494,-2,1,0,0,3,56.0,1,0,0,0,0,0,0,0,0,0,7,1,0,2000,122.7,1,0,0,0,12,7,3,56,12,12,12,11,35.7,496,0,0.7,0,1,0,0,0,0,0,0,0,0,9,1,0,2600,163.7,1,0,0,0,11,7,3,56,10,10,10,8,37.3,496,-8,1.5,0,1,0,0,0,0,0,0,0,0,8,1,0,2000,122.3,0,1,0,0,11,6,3,56,8,9,8,7,36.1,504,+6,0.8,0,1,0,0,0,0,0,0,0,0,4,1,0,2000,122.1,1,0,0,0,15,2,3,56,15,14,14,12,35.9,498,-8,0.3,0,0,0,0,0,0,0,1,0,0,7,0,1,1800,114.9,0,1,0,0,15,3,3,56,13,12,10,10,39.3,506,+4,1.3
ナポリタン,7,156.8,1,0,2000,1,0,0,0,1,2,2,472,+10,0,1,0,3,53.0,1,0,0,0,0,0,0,0,0,0,12,0,1,1700,110.5,1,0,0,0,14,13,3,54,7,8,4,4,41.6,462,-2,2.0,0,0,0,0,0,0,0,0,1,0,17,1,0,1800,111.5,1,0,0,0,18,16,3,54,5,8,0,0,40.1,464,-8,5.1,0,0,0,0,0,0,0,0,1,0,8,1,0,1800,109.5,1,0,0,0,18,5,3,54,14,14,0,0,36.2,472,0,1.2,0,0,0,0,0,0,0,0,0,1,7,1,0,2000,121.3,1,0,0,0,18,7,3,54,16,16,12,12,36.2,472,-6,1.0,0,0,0,0,0,0,0,1,0,0,6,1,0,2200,136.6,1,0,0,0,16,11,3,54,16,16,8,7,36.2,478,-4,0.4
ニシノフリヒメ,6,140.6,1,0,2000,1,0,0,0,2,3,3,418,0,0,1,0,3,54.0,0,1,0,0,0,0,0,0,0,0,12,1,0,1800,110.7,1,0,0,0,14,8,3,54,6,9,9,12,37.0,418,+4,2.5,0,1,0,0,0,0,0,0,0,0,4,1,0,1800,110.4,0,1,0,0,15,1,3,54,6,6,5,4,37.6,414,+2,0.3,0,0,0,0,1,0,0,0,0,0,11,1,0,1800,109.3,1,0,0,0,18,5,3,54,8,6,6,0,35.0,412,+4,1.1,0,0,0,0,0,1,0,0,0,0,11,1,0,2000,123.7,1,0,0,0,18,8,3,54,4,4,2,3,36.5,408,-10,1.0,0,0,0,0,0,1,0,0,0,0,5,1,0,1800,112.1,1,0,0,0,15,12,3,54,3,3,2,2,35.0,418,-6,0.3
キングジョーカ,5,12.8,1,0,2000,1,0,0,0,2,4,2,468,-6,1,0,0,3,56.0,1,0,0,0,0,0,0,0,0,0,10,1,0,1500,90.1,1,0,0,0,14,3,3,56,2,3,2,0,36.3,474,+2,1.3,0,1,0,0,0,0,0,0,0,0,2,1,0,1800,110.2,0,1,0,0,15,14,3,56,1,1,1,1,37.9,472,-4,0.1,0,1,0,0,0,0,0,0,0,0,5,1,0,2000,122.1,0,1,0,0,11,11,3,56,4,4,3,2,36.4,476,0,0.6,0,0,0,0,1,0,0,0,0,0,14,0,1,2100,139.4,1,0,0,0,16,15,3,56,8,8,9,12,42.2,476,+2,4.6,0,0,0,0,1,0,0,0,0,0,5,1,0,2000,122.9,1,0,0,0,14,5,3,56,5,5,5,0,34.1,474,0,0.7
ブケパロス,11,176.2,1,0,2000,1,0,0,0,3,5,3,446,-2,1,0,0,3,56.0,0,1,0,0,0,0,0,0,0,0,6,0,1,1700,108.5,1,0,0,0,14,5,3,55,10,10,11,9,38.7,448,0,1.2,0,1,0,0,0,0,0,0,0,0,6,0,1,1700,109.8,0,1,0,0,9,1,3,53,3,3,3,5,40.8,448,-2,1.4,0,1,0,0,0,0,0,0,0,0,4,0,1,1700,106.9,0,0,0,1,14,2,3,53,5,4,5,5,39.1,450,0,0.4,0,0,0,0,0,0,0,1,0,0,8,0,1,1900,122.6,1,0,0,0,12,4,3,53,11,11,11,9,39.0,450,+2,1.6,0,0,0,0,0,0,0,0,1,0,6,0,1,1800,114.0,0,0,0,1,16,12,3,53,9,8,8,7,38.7,448,+12,2.4
コスモダリア,10,263.1,1,0,2000,1,0,0,0,3,6,5,410,-2,0,1,0,3,52.0,0,0,1,0,0,0,0,0,0,0,15,1,0,2000,125.5,0,1,0,0,16,16,3,52,13,14,14,16,38.3,412,+2,3.3,0,0,0,0,1,0,0,0,0,0,16,1,0,2000,123.7,1,0,0,0,16,11,3,51,16,16,16,0,36.0,410,-12,3.4,0,0,0,0,1,0,0,0,0,0,18,1,0,1800,114.5,1,0,0,0,18,6,3,54,5,9,12,0,38.9,422,0,5.1,1,0,0,0,0,0,0,0,0,0,7,1,0,1500,94.5,1,0,0,0,10,8,3,54,2,2,2,0,37.3,422,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クイーンズトゥルー,3,5.7,1,0,2000,1,0,0,0,4,7,3,430,0,0,1,0,3,54.0,0,0,1,0,0,0,0,0,0,0,2,1,0,2000,122.0,1,0,0,0,16,12,3,54,7,7,6,6,36.5,430,-2,0.1,0,0,0,0,1,0,0,0,0,0,11,0,1,1600,102.2,1,0,0,0,16,2,3,54,13,14,0,0,39.0,432,-4,2.7,0,0,0,0,0,1,0,0,0,0,9,1,0,1600,97.6,1,0,0,0,16,14,3,54,6,8,8,0,35.9,436,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ベリータ,14,34.9,1,0,2000,1,0,0,0,4,8,2,446,+2,0,1,0,3,54.0,1,0,0,0,0,0,0,0,0,0,10,1,0,2000,123.3,1,0,0,0,12,11,3,54,6,6,4,5,37.0,444,+4,1.3,0,0,1,0,0,0,0,0,0,0,2,1,0,2000,122.2,0,1,0,0,16,6,3,54,1,1,1,1,36.3,440,+2,0.0,0,0,0,1,0,0,0,0,0,0,12,1,0,2000,126.4,0,0,1,0,15,11,3,54,12,12,9,13,39.1,438,-2,1.9,0,0,0,0,1,0,0,0,0,0,9,1,0,1800,108.3,1,0,0,0,18,8,3,52,9,10,11,0,35.1,440,+6,1.3,0,0,0,0,0,1,0,0,0,0,8,1,0,2000,123.4,1,0,0,0,18,1,3,54,14,15,14,13,36.0,434,+6,1.0
ターフェルムジーク,4,25.9,1,0,2000,1,0,0,0,5,9,2,422,+6,0,1,0,3,54.0,1,0,0,0,0,0,0,0,0,0,6,1,0,1500,89.9,1,0,0,0,14,11,3,54,9,7,9,0,35.7,416,+2,1.1,0,0,0,0,0,0,0,1,0,0,15,1,0,1600,99.5,1,0,0,0,18,4,3,54,14,14,0,0,39.6,414,-4,4.5,0,0,0,0,0,0,0,1,0,0,5,1,0,1600,95.8,1,0,0,0,17,7,3,54,9,8,0,0,35.3,418,+6,0.4,0,0,0,0,0,0,0,1,0,0,9,1,0,1800,112.2,1,0,0,0,16,4,3,54,6,6,0,0,35.6,412,-6,1.4,0,0,0,0,0,0,1,0,0,0,4,1,0,1600,96.7,1,0,0,0,16,7,3,54,15,15,16,0,34.4,418,0,0.2
パスティス,8,2.0,1,0,2000,1,0,0,0,5,10,3,484,+10,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,6,1,0,2200,135.0,1,0,0,0,13,10,3,56,8,7,6,6,36.3,474,+2,0.8,0,0,0,0,0,0,1,0,0,0,2,1,0,2200,132.4,1,0,0,0,18,13,3,56,8,9,8,6,35.5,472,-8,0.0,0,0,0,0,0,0,0,0,1,0,3,1,0,2600,159.4,1,0,0,0,17,9,3,56,13,13,10,6,35.6,480,-2,0.4,0,0,0,0,0,0,0,1,0,0,3,1,0,2200,134.8,1,0,0,0,13,4,3,56,8,8,7,7,33.5,482,+2,0.1,0,0,0,0,0,0,0,1,0,0,11,1,0,1600,96.2,1,0,0,0,14,13,3,56,14,14,0,0,34.7,480,0,2.1
