馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ウィズワンアコード,4,52.1,9.2,14.0,1800,1,1,3,476,-6,54.0,11,113.4,15,10,54,4,5,4,42.5,482,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エバートロピカル,11,6.1,1.6,2.2,1800,1,2,1,420,+2,52.0,4,108.3,15,1,54,13,11,0,33.4,418,+4,0.4,13,97.5,16,10,15,14,35.9,414,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バレーノロッソ,1,16.3,4.2,6.3,1800,2,3,14,500,+18,53.0,16,139.1,16,9,56,2,2,2,39.0,482,-6,2.9,6,126.5,12,2,4,3,33.9,488,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オートヴィル,6,19.7,4.0,5.9,1800,2,4,1,494,+4,53.0,5,109.1,17,2,56,8,9,9,34.0,490,0,0.6,13,124.0,18,17,12,11,36.1,490,+10,1.3,16,122.3,16,3,16,16,43.2,480,-18,4.9,12,111.6,1,7,36.2,498,+4,1.5,10,127.7,4,45.2,494,0,9.4
ミッキーボニータ,9,3.9,1.6,2.1,1800,3,5,2,450,-4,53.0,3,94.4,17,7,56,7,7,0,36.0,454,+10,0.6,9,124.8,16,16,10,10,35.9,444,-4,1.1,2,97.4,11,1,3,3,34.7,448,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヴィヤンシーコ,7,29.0,5.0,7.5,1800,3,6,1,430,0,55.0,6,108.6,15,10,55,8,7,0,33.9,430,+4,0.7,10,97.1,16,3,8,11,35.4,426,-8,1.8,16,113.2,16,6,2,2,39.7,434,+2,3.1,4,113.6,3,3,35.1,432,0,0.3,0,0,0,0,0,0,0
トウケイサミドリ,16,257.9,40.4,61.4,1800,4,7,3,456,+10,54.0,12,124.3,16,3,54,5,6,9,37.2,446,-6,1.0,9,109.3,15,3,9,10,34.7,452,0,1.4,13,110.6,16,13,12,12,37.1,452,0,2.0,14,115.5,4,6,38.1,452,0,2.5,0,0,0,0,0,0,0
ネル,10,5.5,1.6,2.3,1800,4,8,3,488,0,55.0,10,115.0,16,9,56,4,5,3,40.6,488,0,3.4,3,123.3,14,6,1,1,39.9,488,-2,1.7,10,124.3,18,11,8,8,36.6,490,+2,0.9,4,123.7,11,6,34.3,488,-2,0.8,4,123.7,9,34.2,490,+10,0.3
ホウオウシックス,14,22.9,5.6,8.4,1800,5,9,1,454,+4,53.0,14,83.6,18,7,56,5,5,0,36.9,450,-6,2.4,6,95.8,16,8,2,2,35.7,456,+2,0.3,8,124.0,11,6,5,6,35.3,454,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オモウツボ,15,64.2,15.4,23.4,1800,5,10,5,480,0,54.0,14,75.4,16,10,54,9,10,0,39.7,480,0,2.7,8,109.0,16,16,16,16,36.1,480,-4,1.4,7,69.5,18,3,6,4,34.9,484,+14,0.9,8,86.6,10,11,37.4,470,+2,1.0,5,70.7,2,35.3,468,-6,0.8
スターズテソーロ,8,25.2,5.7,8.5,1800,6,11,30,506,+4,55.0,7,123.2,11,8,55,11,11,11,35.9,502,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピースラヴィング,3,42.3,6.3,9.5,1800,6,12,3,512,-4,53.0,12,98.3,18,4,56,9,13,0,37.9,516,-4,1.7,7,151.1,11,11,1,1,35.5,520,-4,1.1,8,97.4,16,15,13,13,36.0,524,0,0.9,11,119.6,2,4,41.4,524,0,3.2,0,0,0,0,0,0,0
モンサルヴァート,12,34.9,8.1,12.2,1800,7,13,8,442,-10,55.0,9,137.4,16,9,56,9,10,8,36.4,452,-2,0.6,8,119.5,16,2,11,11,41.9,454,0,4.0,10,113.0,16,7,14,14,35.2,454,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クスリバコ,2,3.8,1.4,1.8,1800,7,14,2,450,-2,56.0,2,123.0,16,4,56,14,14,13,35.7,452,0,0.1,3,110.3,16,3,6,8,36.8,452,-4,0.4,11,123.5,16,15,11,8,38.0,456,0,2.0,7,94.9,8,7,35.9,456,+4,1.0,4,123.2,17,35.8,452,+2,0.6
カラドゥラ,5,19.4,4.3,6.4,1800,8,15,2,456,-2,51.0,8,110.3,15,15,51,15,14,11,36.3,458,+4,0.7,8,96.8,16,6,14,14,35.3,454,-2,1.2,8,98.5,14,4,14,14,34.3,456,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンライズローリエ,13,52.1,12.5,19.0,1800,8,16,0,464,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
