馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
トキワ,15,273.4,38.9,57.4,1400,1,1,6,474,-4,52.0,14,73.0,14,1,56,5,7,0,37.7,478,-4,1.9,10,59.9,12,3,12,11,35.4,482,+12,2.3,9,69.3,16,16,3,4,38.1,470,+2,0.6,1,58.9,4,2,36.2,468,-10,-0.3,5,59.5,2,35.9,478,0,0.5
メイショウヤクシマ,2,7.7,1.8,2.4,1400,1,2,2,466,-2,57.0,3,83.7,16,8,57,13,13,0,36.2,468,0,0.4,1,85.0,16,13,13,14,36.2,468,0,-0.1,2,85.1,16,13,10,9,37.5,468,-6,0.2,4,72.7,4,10,36.6,474,+2,0.6,14,74.6,7,37.7,472,+2,1.8
セネッティ,1,21.9,3.9,5.5,1400,2,3,4,498,+2,57.0,5,83.3,15,11,57,15,15,0,35.6,496,0,0.6,9,85.1,16,1,4,5,36.9,496,+2,1.5,3,85.5,16,12,9,10,36.9,494,-8,0.3,4,83.6,12,11,36.6,502,0,1.0,10,85.4,11,36.9,502,+10,1.0
ボクノナオミ,12,62.3,8.8,12.7,1400,2,4,4,492,+8,55.0,6,71.7,15,9,53,4,4,0,37.1,484,+2,0.2,10,68.2,13,13,10,12,34.1,482,0,1.3,8,72.6,16,6,7,9,36.9,482,0,0.8,1,72.1,9,2,37.2,482,-2,-0.5,4,84.9,9,37.7,484,0,0.5
スワーヴカイザー,13,86.2,10.4,15.2,1400,3,5,49,542,+6,57.0,7,112.6,16,5,57,10,9,10,37.9,536,+4,0.8,13,96.6,16,3,3,3,35.8,532,-14,0.7,4,118.2,10,7,6,6,37.9,546,0,1.0,3,112.4,14,11,37.0,546,+12,1.0,6,84.5,4,36.7,534,+4,1.0
バーンフライ,5,79.6,14.7,21.5,1400,3,6,3,482,-2,55.0,8,71.8,16,8,55,12,13,0,36.5,484,-10,0.7,0,0,0,0,0,0,0,0,0,0,9,117.5,9,8,7,5,39.9,484,0,4.1,12,99.7,1,4,38.8,484,+6,2.8,14,100.7,3,38.5,478,+6,2.2
ヨドノビクトリー,8,34.7,4.9,7.0,1400,4,7,4,478,0,57.0,6,83.5,15,9,57,3,2,0,36.9,478,-8,0.8,12,68.2,14,14,4,4,34.2,486,+2,0.7,1,83.9,15,4,2,2,37.1,484,+2,0.0,2,84.5,10,3,37.5,482,-2,0.1,5,85.3,14,37.2,484,+2,0.6
ラインフィール,14,86.8,12.3,18.0,1400,4,8,2,510,+8,57.0,15,85.7,16,3,57,2,2,0,39.7,502,0,2.4,1,71.9,15,8,2,1,37.6,502,-6,0.0,2,71.4,15,10,3,3,38.2,508,0,0.0,6,85.7,8,2,39.0,508,+2,0.8,4,85.0,7,37.8,506,-4,0.5
サウスアミューズ,9,266.6,43.6,64.4,1400,5,9,6,442,+4,53.0,1,89.7,12,2,52,5,5,3,39.9,438,0,-0.2,9,69.7,15,6,10,10,34.1,438,+18,0.9,1,90.4,10,9,6,5,38.3,420,-10,-1.3,11,89.4,6,15,39.2,430,-6,3.3,10,87.4,11,38.0,436,0,1.9
キタノユーリン,16,337.6,52.1,76.8,1400,5,10,4,490,+6,55.0,14,73.4,15,6,52,4,4,0,38.8,484,-2,1.9,9,60.0,13,9,9,8,36.4,486,-2,2.1,1,59.5,12,8,3,2,36.5,488,-4,-0.6,16,73.5,7,10,37.6,492,+10,2.2,11,72.9,7,38.5,482,0,0.8
メイショウサチシオ,3,4.2,1.7,2.3,1400,6,11,15,506,+6,55.0,4,82.8,16,7,55,2,2,0,35.9,500,-2,0.1,10,98.4,14,12,1,2,38.9,502,0,3.0,7,84.8,15,2,3,3,37.4,502,+2,0.5,1,83.9,5,2,37.2,500,+6,-0.2,1,84.8,2,37.2,494,+2,-0.4
ソーディヴァイン,11,4.6,1.6,2.2,1400,6,12,3,530,+2,55.0,5,71.3,16,1,55,1,1,0,37.2,528,+2,0.2,5,71.2,16,1,7,6,36.7,526,-10,0.6,5,79.1,16,1,1,1,37.9,536,-4,0.6,3,84.0,15,2,37.6,540,+4,0.2,0,0,0,0,0,0,0
ブライスガウ,7,10.0,2.5,3.5,1400,7,13,4,498,-2,55.0,11,84.2,15,7,55,5,7,0,37.3,500,+4,1.5,4,71.0,16,16,4,6,36.7,496,+8,0.4,2,83.4,14,14,2,2,36.4,488,+2,0.0,14,70.6,14,5,35.9,486,0,1.2,8,73.6,1,37.4,486,+4,1.2
タマモカトレア,4,7.0,2.3,3.1,1400,7,14,4,478,+2,51.0,12,84.2,15,4,53,12,12,0,36.8,476,+10,1.5,1,85.3,14,12,3,4,36.7,466,-6,-0.7,2,83.6,15,2,4,3,37.7,472,-2,0.1,3,85.9,2,8,38.1,474,-6,0.2,10,108.2,16,38.4,480,+6,2.0
モルゲンロート,10,41.3,7.0,10.2,1400,8,15,7,472,-6,57.0,8,72.0,15,6,57,6,6,0,37.0,478,+4,1.1,1,71.1,15,11,7,7,36.5,474,0,-0.4,2,78.4,16,4,5,4,37.1,474,0,0.0,3,78.5,13,3,36.3,474,+2,0.1,7,72.4,11,38.2,472,+4,0.9
グローリーグローリ,6,3.7,1.6,2.0,1400,8,16,2,486,+2,55.0,1,82.8,16,16,55,4,3,0,36.2,484,+4,-0.4,2,83.9,15,9,7,5,36.3,480,-6,0.6,2,85.1,16,15,5,3,37.6,486,+2,0.0,10,86.7,5,9,38.3,484,-2,1.2,3,83.8,3,37.4,486,+6,0.3
