馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
トーアエグレット,15,82.7,7.9,36.4,1300,1,1,8,484,+6,54.0,9,75.9,16,8,54,9,8,0,40.1,478,-12,2.6,11,123.0,12,8,2,2,41.7,490,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドナプリモ,2,39.9,4.6,20.5,1300,1,2,1,452,-4,54.0,4,74.6,16,1,54,9,8,0,38.3,456,-6,1.2,10,75.1,16,15,12,13,39.2,462,-2,2.4,14,119.8,16,4,4,4,40.8,464,0,3.0,10,74.9,16,15,38.0,464,0,1.9,0,0,0,0,0,0,0
トラストロン,1,10.8,2.0,7.9,1300,2,3,2,424,-10,54.0,6,74.4,16,1,54,2,4,0,38.9,434,-4,1.1,3,73.6,16,11,7,6,37.8,438,-2,0.1,8,97.1,16,14,8,10,36.0,440,+16,1.0,8,93.4,1,5,39.1,424,-6,1.6,6,93.7,3,36.9,430,0,1.2
グレートシングス,16,98.0,13.0,60.9,1300,2,4,0,478,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラプチュア,13,277.4,35.9,171.1,1300,3,5,2,438,-2,54.0,14,76.4,16,11,54,6,7,0,40.5,440,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クレバージェット,5,1.5,1.1,1.1,1300,3,6,2,514,-2,56.0,2,73.2,16,6,56,9,9,0,37.6,516,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アストロローグ,12,57.1,6.0,27.1,1300,4,7,32,506,+8,53.0,15,125.2,16,12,53,3,3,10,46.9,498,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ツキミザケ,7,139.2,17.9,84.4,1300,4,8,4,418,+2,54.0,9,74.5,16,15,54,13,12,0,37.3,416,-8,0.8,13,103.3,16,15,12,13,40.8,424,-8,3.4,6,74.9,16,14,11,13,39.0,432,0,1.7,14,92.1,15,16,38.9,432,0,3.0,0,0,0,0,0,0,0
ナムラファラー,3,6.2,1.3,3.8,1300,5,9,3,470,0,56.0,4,74.4,16,1,56,12,12,0,38.2,470,+2,1.0,4,73.6,16,12,9,6,37.8,468,0,0.4,6,73.8,16,9,10,8,38.0,468,+14,1.2,8,87.3,11,11,37.1,454,+2,1.8,9,90.8,4,37.5,452,+6,1.5
フチコマ,10,54.8,5.9,26.8,1300,5,10,1,498,+2,54.0,7,75.1,16,2,54,13,13,0,38.0,496,-4,1.7,7,74.6,16,7,5,7,38.6,500,-2,0.9,9,74.0,16,3,9,10,38.1,502,+8,1.5,9,88.3,5,1,38.4,494,0,1.0,0,0,0,0,0,0,0
リネンオーカン,8,139.0,17.9,84.4,1300,6,11,2,484,-2,54.0,7,74.8,16,5,54,12,13,0,38.4,486,-2,1.5,10,76.0,16,10,9,8,40.2,488,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ルコンセール,6,10.6,1.8,6.8,1300,6,12,3,456,+10,54.0,5,74.1,16,4,54,5,6,0,38.7,446,-16,1.4,7,74.7,16,12,8,6,39.3,462,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリームヒルト,9,31.8,4.9,21.7,1300,7,13,4,464,-2,54.0,10,119.9,16,11,54,11,9,8,43.3,466,+2,3.4,9,95.7,16,13,15,14,36.2,464,+4,1.8,10,102.3,18,18,15,14,34.6,460,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スマートリゲル,11,45.1,4.5,19.8,1300,7,14,3,488,-2,56.0,7,74.7,16,15,56,15,15,0,38.0,490,-10,1.3,14,75.0,15,13,15,14,36.8,500,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラヴィーズロマーン,4,14.2,2.0,7.9,1300,8,15,2,452,0,56.0,12,76.0,16,16,56,14,13,0,38.8,452,+2,2.3,5,73.7,16,4,8,7,38.3,450,+4,0.5,4,85.8,16,5,16,16,35.6,446,+4,0.8,14,112.6,15,12,34.5,442,0,2.5,0,0,0,0,0,0,0
ハードファクト,14,46.5,4.5,19.7,1300,8,16,15,440,-14,53.0,0,0,0,0,0,0,0,0,0,0,0,0,11,74.5,16,3,2,2,39.6,454,+2,1.9,4,74.4,16,1,4,3,39.4,452,+4,0.8,12,91.2,3,13,38.8,448,0,4.4,0,0,0,0,0,0,0
