馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
マイネルトワイス,11,40.0,3.8,11.4,1800,1,1,2,484,-6,56.0,8,109.1,15,2,56,11,11,10,39.6,490,+4,1.2,5,108.9,15,11,4,5,39.1,486,-10,0.8,8,137.0,16,14,5,5,40.3,496,0,2.1,3,115.8,4,10,39.1,496,-10,0.4,7,117.2,5,40.0,506,-8,0.8
ナイトメア,15,348.6,29.1,93.5,1800,2,2,12,522,+11,56.0,0,0,0,0,0,0,0,0,0,0,0,0,9,102.7,10,7,6,8,39.8,511,-9,2.8,13,113.1,15,11,10,10,43.3,520,-4,5.1,11,62.0,11,10,37.7,524,+20,2.1,15,98.1,17,38.8,504,-2,4.2
オーバーハング,8,17.1,2.1,5.7,1800,2,3,3,490,0,56.0,5,109.3,15,5,56,13,9,12,38.3,490,-2,1.3,6,133.0,14,12,9,9,37.1,492,0,1.1,6,100.7,16,12,14,15,38.6,492,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダンスメーカー,3,1.8,1.1,1.1,1800,3,4,8,482,-4,56.0,3,98.9,15,7,54,6,7,0,37.2,486,-2,0.0,3,99.5,16,3,13,10,37.4,488,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キタノアラムシャ,10,224.5,18.6,59.5,1800,3,5,2,464,-2,56.0,14,110.6,15,11,56,12,15,13,40.3,466,+2,3.1,12,134.3,14,14,7,7,38.6,464,-8,2.4,4,99.7,16,13,16,14,37.6,472,+2,1.7,6,116.6,9,13,39.3,470,+2,1.2,10,136.2,13,38.1,468,+6,2.7
ラプチュア,9,32.1,6.1,18.7,1800,4,6,2,428,-2,52.0,9,109.4,15,5,54,10,11,13,39.1,430,0,2.1,8,101.5,16,8,4,5,39.3,430,-2,1.4,3,100.1,16,14,4,4,38.1,432,-6,0.8,13,82.3,5,5,39.5,438,-2,2.2,14,76.4,11,40.5,440,0,3.1
フジワンタイフーン,12,356.8,33.3,107.3,1800,4,7,3,478,0,56.0,9,110.8,14,14,56,3,3,6,41.4,478,0,3.6,12,81.6,15,5,15,15,36.7,478,-4,1.9,9,87.8,16,10,2,2,39.6,482,-4,1.5,8,62.0,3,10,37.6,486,0,2.2,14,85.7,5,37.0,486,+2,1.7
アカツキ,2,92.6,7.8,24.2,1800,5,8,3,458,+8,53.0,12,110.8,15,11,53,13,13,13,39.6,450,-4,2.8,5,99.9,16,2,15,14,38.1,454,+4,1.2,8,100.5,16,7,14,14,38.5,450,0,2.5,3,100.1,9,5,38.0,450,-6,0.4,3,100.7,7,37.7,456,0,0.5
トップフィリア,6,23.7,2.4,6.7,1800,5,9,4,452,+6,56.0,6,109.0,15,4,56,4,4,5,39.2,446,-4,0.9,5,85.5,16,3,11,11,37.0,450,-6,1.4,3,86.8,16,6,3,3,37.9,456,-4,0.5,6,74.6,1,9,38.2,460,+2,0.9,4,73.6,16,38.0,458,0,0.4
グランサム,5,3.0,1.1,1.9,1800,6,10,9,464,+2,56.0,2,98.7,16,1,56,8,8,0,37.2,462,-6,0.7,3,115.0,15,12,7,7,38.0,468,-2,0.5,4,136.2,13,7,6,5,37.5,470,-4,0.7,2,123.0,9,3,36.5,474,+18,0.5,2,123.6,3,36.1,456,-2,0.1
パリスハート,4,179.3,14.6,46.3,1800,6,11,3,452,-2,54.0,6,109.5,15,4,54,8,8,7,39.1,454,+16,1.3,12,111.1,15,2,13,13,40.1,438,-4,1.7,6,74.2,16,16,7,8,38.7,442,-6,1.3,6,88.8,16,6,40.0,448,-12,0.8,4,73.3,16,37.8,460,0,1.1
サンベンド,7,27.3,2.8,8.1,1800,7,12,1,456,0,53.0,4,116.0,14,5,53,6,6,11,39.1,456,-10,1.2,9,137.2,16,15,15,14,39.8,466,-8,3.1,4,118.4,16,16,7,8,39.1,474,-2,0.3,4,116.4,10,5,39.9,476,0,0.9,3,119.7,15,38.7,476,0,0.4
ガブリエル,14,20.3,2.0,5.5,1800,7,13,4,462,-6,56.0,8,70.2,16,14,56,4,6,0,38.3,468,-2,1.6,4,79.9,16,13,11,11,36.8,470,-4,0.5,3,87.2,16,14,3,3,38.9,474,-6,0.3,2,86.8,1,5,37.3,480,0,0.8,0,0,0,0,0,0,0
ベリーグウ,13,710.1,78.0,252.4,1800,8,14,2,494,-18,56.0,15,111.8,15,5,56,14,14,14,41.5,512,+4,3.9,0,0,0,0,0,0,0,0,0,0,14,121.0,15,7,15,15,41.2,508,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レッドフレイ,1,9.2,1.9,5.1,1800,8,15,0,470,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
