馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ワイルドオーキッド,4,8.1,1.6,2.3,1600,1,1,2,398,-6,54.0,3,94.9,11,2,54,6,6,0,34.1,404,0,0.6,4,115.0,10,3,3,3,36.9,404,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホウオウブリュレ,8,174.9,25.6,42.8,1600,2,2,1,424,+6,54.0,9,84.2,17,4,54,7,9,0,36.5,418,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オトリコミチュウ,7,6.4,1.7,2.5,1600,3,3,2,432,0,54.0,3,82.7,18,6,54,1,1,0,35.0,432,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニンジンムスメ,6,238.3,31.0,51.7,1600,4,4,1,406,-2,54.0,15,84.7,17,1,51,14,16,0,36.1,408,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エイシンロード,3,2.4,1.2,1.5,1600,5,5,1,480,-4,54.0,4,108.4,9,1,52,1,1,1,37.2,484,+14,1.5,3,95.1,11,8,2,2,35.3,470,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ココリアッピア,5,13.7,3.0,4.6,1600,6,6,3,432,+2,51.0,4,113.0,15,14,51,2,4,4,36.4,430,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハミングデイズ,2,8.8,2.1,3.2,1600,6,7,4,454,-8,54.0,6,82.8,13,13,54,3,5,0,36.3,462,+4,0.8,4,97.5,9,3,3,2,34.6,458,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ミチビキ,1,7.9,1.6,2.4,1600,7,8,2,460,+8,54.0,3,83.0,13,10,54,11,9,0,35.1,452,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アウトラン,9,63.9,10.0,16.6,1600,7,9,8,464,+2,54.0,9,97.3,15,2,54,2,1,0,36.1,462,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キアレッツァ,10,6.2,1.8,2.6,1600,8,10,6,418,-4,54.0,4,70.8,15,10,54,7,6,0,34.7,422,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナミノハナ,11,299.0,53.6,89.5,1600,8,11,1,412,0,51.0,15,58.4,18,18,52,13,0,0,34.6,412,+6,1.8,14,86.1,16,16,15,15,36.3,406,-6,2.1,10,100.8,11,6,11,11,35.9,412,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
