馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
クリノストロング,13,15.5,0,1,1200,0,1,0,0,1,1,26,482,+18,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,1200,70.8,1,0,0,0,12,4,3,52,6,8,0,0,36.0,464,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンライマ,12,346.6,0,1,1200,0,1,0,0,1,2,1,460,-8,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,13,0,1,1200,78.0,1,0,0,0,16,14,3,54,15,15,0,0,38.2,468,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウチュウセンカン,9,104.9,0,1,1200,0,1,0,0,2,3,1,464,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,8,0,1,1200,76.3,1,0,0,0,12,6,3,56,7,7,0,0,38.7,470,+14,1.4,0,0,0,0,0,0,1,0,0,0,8,1,0,1400,86.1,1,0,0,0,8,2,3,54,8,8,0,0,38.1,456,-6,4.4,0,0,0,0,0,0,0,0,1,0,10,1,0,1600,98.6,1,0,0,0,10,1,3,54,5,4,0,0,37.4,462,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ノルニル,11,148.9,0,1,1200,0,1,0,0,2,4,2,432,-6,0,1,0,3,53.0,0,0,0,0,0,1,0,0,0,0,12,0,1,1200,77.1,1,0,0,0,16,8,3,51,14,14,0,0,37.4,438,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウイギョク,4,12.7,0,1,1200,0,1,0,0,3,5,1,472,-2,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,5,0,1,1200,75.5,1,0,0,0,15,11,3,56,3,2,0,0,39.9,474,0,1.8,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,87.0,1,0,0,0,16,14,3,56,1,2,0,0,39.4,474,0,1.4,0,0,0,0,0,0,0,0,1,0,5,0,1,1400,86.9,0,1,0,0,11,5,3,55,4,5,0,0,38.8,474,+4,1.3,0,0,0,0,0,0,0,1,0,0,8,0,1,1200,74.0,1,0,0,0,16,2,3,55,7,6,0,0,37.7,470,+2,1.4,0,0,0,1,0,0,0,0,0,0,7,0,1,1200,73.0,0,0,1,0,15,12,3,55,9,10,0,0,37.2,468,+2,1.8
モズソノママ,3,18.7,0,1,1200,0,1,0,0,3,6,2,486,+2,1,0,0,3,54.0,0,0,0,0,0,0,1,0,0,0,7,0,1,1200,75.2,1,0,0,0,16,6,3,56,7,8,0,0,38.8,484,-6,1.7,0,0,0,0,0,0,0,0,1,0,7,0,1,1200,72.6,0,1,0,0,15,15,3,55,12,13,0,0,36.2,490,-8,0.8,0,0,0,0,0,0,0,0,1,0,7,0,1,1400,87.5,0,1,0,0,11,1,3,55,1,1,0,0,39.8,498,-8,1.9,0,0,0,0,0,0,0,1,0,0,6,1,0,1200,72.1,1,0,0,0,9,3,3,55,6,6,0,0,34.3,506,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブルベアヴェルデ,8,23.0,0,1,1200,0,1,0,0,4,7,3,468,0,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,11,0,1,1200,74.8,1,0,0,0,15,6,3,55,2,2,0,0,38.6,468,+12,1.7,0,0,0,0,0,0,0,1,0,0,13,0,1,1200,76.3,1,0,0,0,13,8,3,54,12,11,0,0,39.5,456,+2,3.3,0,0,0,0,0,0,0,0,1,0,13,0,1,1400,89.6,0,1,0,0,16,14,3,52,3,3,0,0,41.2,454,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウズシオ,16,423.1,0,1,1200,0,1,0,0,4,8,1,516,-10,1,0,0,3,56.0,0,0,0,0,0,0,1,0,0,0,13,0,1,1200,76.9,1,0,0,0,15,1,3,56,12,12,0,0,39.5,526,0,3.2,0,0,0,0,0,1,0,0,0,0,15,0,1,1200,76.0,1,0,0,0,16,6,3,56,10,12,0,0,40.3,526,+20,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,1,1400,91.4,1,0,0,0,16,14,3,55,14,15,0,0,39.9,520,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チーキーキュート,10,69.4,0,1,1200,0,1,0,0,5,9,0,420,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マッシヴレジェンド,7,27.3,0,1,1200,0,1,0,0,5,10,1,466,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,5,0,1,1200,75.5,1,0,0,0,12,12,3,56,5,5,0,0,37.9,472,-4,0.6,0,0,0,0,0,0,0,1,0,0,13,0,1,1400,90.0,1,0,0,0,16,14,3,54,8,9,0,0,40.3,476,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スリーコーズライン,5,17.1,0,1,1200,0,1,0,0,6,11,5,462,-8,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,8,0,1,1800,118.0,1,0,0,0,16,1,3,55,8,6,5,6,41.9,470,0,2.1,0,0,0,0,0,0,0,0,1,0,7,0,1,1400,88.3,1,0,0,0,16,2,3,55,16,14,0,0,38.3,470,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウモルサ,1,1.4,0,1,1200,0,1,0,0,6,12,1,484,+4,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,2,0,1,1200,74.1,1,0,0,0,16,7,3,56,1,1,0,0,37.2,480,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デュアリティ,6,50.6,0,1,1200,0,1,0,0,7,13,2,500,+2,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,8,0,1,1200,75.2,1,0,0,0,16,10,3,54,15,14,0,0,37.0,498,+2,1.7,0,0,0,0,0,1,0,0,0,0,6,0,1,1200,73.6,1,0,0,0,15,6,3,54,8,7,0,0,37.1,496,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヤマニンスリジエ,15,346.6,0,1,1200,0,1,0,0,7,14,1,430,+6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,10,0,1,1200,78.2,1,0,0,0,12,9,3,54,9,10,0,0,40.0,424,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アイファーエンター,14,261.4,0,1,1200,0,1,0,0,8,15,4,436,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,14,0,1,1200,77.2,1,0,0,0,16,7,3,54,12,11,0,0,38.8,442,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
