馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
クリノオオクニヌシ,9,18.8,4.4,7.2,1,0,2000,1,0,0,0,1,1,3,460,-6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,7,0,1,1700,109.0,1,0,0,0,16,2,3,56,10,10,5,5,39.8,466,+16,1.5,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,112.4,0,0,0,1,16,7,3,56,8,7,5,4,37.8,450,-20,0.3,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,113.0,0,0,0,1,16,10,3,53,10,9,7,6,38.1,470,+6,0.8,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,115.0,1,0,0,0,14,3,3,53,8,8,8,6,38.0,464,-2,0.2,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,113.9,1,0,0,0,13,13,3,53,7,7,7,8,38.3,466,+4,0.3
ゴースト,1,5.0,1.4,2.0,1,0,2000,1,0,0,0,1,2,1,490,+8,0,0,1,3,56.0,0,0,0,0,0,0,0,0,0,1,5,1,0,2000,121.3,1,0,0,0,18,12,3,56,7,8,10,8,36.9,482,-10,0.5,0,0,0,0,0,0,1,0,0,0,3,1,0,2200,139.2,0,1,0,0,17,1,3,56,3,3,5,4,34.0,492,0,0.0,0,0,0,0,0,0,1,0,0,0,8,1,0,2200,137.7,0,1,0,0,13,3,3,56,9,9,10,10,35.0,492,-26,1.1,0,0,0,0,0,0,0,1,0,0,15,1,0,1600,103.7,1,0,0,0,15,15,3,56,15,15,0,0,37.6,518,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニホンピロターナー,14,75.7,10.5,17.4,1,0,2000,1,0,0,0,2,3,4,478,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,4,0,1,1400,88.6,1,0,0,0,10,9,3,56,5,4,3,0,38.9,482,+12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,1800,117.1,1,0,0,0,16,12,3,55,9,9,8,7,39.7,470,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ローザンヌ,2,23.3,5.0,8.2,1,0,2000,1,0,0,0,2,4,1,468,-2,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,4,1,0,1800,108.8,1,0,0,0,16,5,3,54,8,7,6,5,37.1,470,+2,0.6,0,0,0,0,0,0,1,0,0,0,8,1,0,1600,96.8,0,1,0,0,16,7,3,54,8,9,9,0,36.2,468,0,1.2,0,0,0,0,0,0,0,1,0,0,11,1,0,2000,122.5,1,0,0,0,14,6,3,54,7,8,10,10,35.7,468,-2,1.3,0,0,0,0,0,0,0,0,1,0,8,1,0,1800,108.4,1,0,0,0,18,5,3,54,16,13,0,0,35.3,470,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダブルクラッチ,12,35.9,6.9,11.4,1,0,2000,1,0,0,0,3,5,2,472,+6,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,6,1,0,1800,108.8,1,0,0,0,12,8,3,55,9,10,10,10,36.0,466,-4,0.5,0,0,0,0,0,0,0,0,1,0,12,1,0,1600,97.4,0,1,0,0,18,9,3,56,11,10,0,0,37.1,470,0,1.4,0,0,0,0,0,0,0,1,0,0,5,1,0,1600,94.7,1,0,0,0,17,4,3,56,16,15,0,0,34.8,470,-4,0.5,0,0,0,0,0,0,0,1,0,0,12,1,0,2000,123.4,1,0,0,0,13,7,3,56,2,2,2,2,37.7,474,0,2.4,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,116.8,1,0,0,0,10,3,3,55,1,1,1,2,40.0,474,-2,1.3
プロム,5,7.7,2.3,3.5,1,0,2000,1,0,0,0,3,6,3,470,-4,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,1,8,1,0,1800,107.6,1,0,0,0,14,13,3,54,1,2,2,2,37.5,474,-14,1.3,0,1,0,0,0,0,0,0,0,0,16,1,0,1800,109.7,1,0,0,0,16,14,3,54,5,5,2,2,37.6,488,+6,1.6,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,108.1,1,0,0,0,17,15,3,54,1,1,0,0,35.2,482,-4,0.4,0,0,0,0,0,0,0,1,0,0,2,1,0,1800,107.9,1,0,0,0,14,4,3,54,1,1,0,0,36.1,486,-2,0.2,0,0,0,0,0,0,0,0,1,0,3,1,0,1800,107.8,1,0,0,0,18,3,3,54,3,3,0,0,35.5,488,0,0.1
ヤマカツマッハ,16,25.0,4.3,6.9,1,0,2000,1,0,0,0,4,7,2,498,-4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,5,1,0,2000,121.8,1,0,0,0,13,4,3,56,5,5,4,2,37.3,502,+2,0.6,0,0,0,0,0,0,1,0,0,0,8,1,0,2200,139.7,0,1,0,0,17,4,3,56,1,1,1,1,34.8,500,-12,0.5,0,0,0,0,0,0,0,0,1,0,13,1,0,2200,137.7,1,0,0,0,18,7,3,56,1,1,1,1,39.1,512,+4,2.1,0,0,0,0,0,0,0,0,1,0,7,1,0,2400,152.9,1,0,0,0,10,10,3,56,1,1,1,1,35.5,508,-6,0.8,0,0,0,0,0,0,0,0,0,1,14,1,0,2000,127.6,0,0,1,0,18,2,3,53,5,4,6,11,41.0,514,+4,3.0
ランドリュウオー,3,12.6,3.0,4.7,1,0,2000,1,0,0,0,4,8,3,438,-4,1,0,0,3,53.0,0,0,0,0,0,0,0,0,0,1,7,1,0,1800,107.6,1,0,0,0,14,2,3,56,13,13,12,11,36.3,442,0,1.3,0,0,1,0,0,0,0,0,0,0,3,1,0,2000,123.6,0,1,0,0,15,13,3,56,2,2,2,2,36.8,442,+6,0.5,0,0,0,0,0,0,0,0,1,0,4,1,0,1800,108.0,1,0,0,0,18,12,3,53,9,10,0,0,36.1,436,0,0.5,0,0,0,0,0,0,0,1,0,0,6,1,0,1600,94.2,1,0,0,0,18,14,3,56,7,10,0,0,34.8,436,-6,0.7,0,0,0,0,0,0,0,1,0,0,7,1,0,1600,95.0,1,0,0,0,17,7,3,56,11,10,0,0,35.6,442,-2,0.8
ルデュック,11,3.4,1.3,1.6,1,0,2000,1,0,0,0,5,9,2,474,+4,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,1,3,1,0,2000,121.7,1,0,0,0,13,12,3,56,3,3,3,1,37.4,470,-2,0.5,0,0,0,0,0,0,1,0,0,0,2,1,0,2200,139.2,0,1,0,0,17,7,3,56,2,2,2,2,34.3,472,-2,0.0,0,0,0,1,0,0,0,0,0,0,10,1,0,1800,110.1,1,0,0,0,12,5,3,55,6,6,0,0,34.7,474,-2,1.4,0,0,0,0,0,0,0,0,0,1,6,1,0,2000,122.6,1,0,0,0,18,12,3,56,11,11,10,11,36.7,476,-6,0.7,0,0,0,0,0,0,0,0,1,0,3,1,0,2000,122.1,1,0,0,0,10,6,3,55,3,3,2,2,36.0,482,0,0.9
オノーレペスカ,6,92.5,18.3,30.7,1,0,2000,1,0,0,0,5,10,6,426,0,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,11,1,0,2000,124.0,0,1,0,0,18,9,3,54,13,13,15,14,34.8,426,+28,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,2200,138.9,1,0,0,0,8,4,3,54,1,1,1,3,39.1,398,-4,3.4,0,0,0,0,0,0,0,1,0,0,12,0,1,1800,118.2,1,0,0,0,16,16,3,54,12,10,7,9,41.0,402,-6,2.5,0,0,0,0,0,0,0,0,1,0,13,1,0,1600,98.5,0,1,0,0,15,6,3,54,13,13,0,0,35.7,408,+2,1.9
