馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
センショウレイナ,7,29.5,0,1,1800,1,0,0,0,1,1,2,474,-6,0,1,0,6,55.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,114.3,0,1,0,0,16,16,6,55,12,11,10,9,37.6,480,+6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,2600,162.9,1,0,0,0,12,6,6,55,4,4,3,3,36.0,474,-2,1.3,0,1,0,0,0,0,0,0,0,0,9,1,0,2600,165.8,0,0,1,0,11,1,6,55,6,5,10,10,36.6,476,+6,1.5,0,1,0,0,0,0,0,0,0,0,8,1,0,2600,160.4,1,0,0,0,12,3,6,55,8,9,11,12,35.7,470,+4,1.0
クインアマランサス,2,4.8,0,1,1800,1,0,0,0,1,2,12,472,-4,0,1,0,5,55.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1800,113.2,1,0,0,0,14,13,5,55,5,5,5,5,37.7,476,+8,0.0,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,114.6,1,0,0,0,12,4,5,54,1,3,4,4,38.5,468,+10,1.5,0,0,0,0,1,0,0,0,0,0,3,0,1,1600,97.9,1,0,0,0,14,11,5,55,3,3,0,0,37.1,458,+4,0.5,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,112.2,0,1,0,0,12,1,5,55,3,3,4,4,37.6,454,-10,0.3,0,0,0,0,0,0,1,0,0,0,1,0,1,1800,113.9,1,0,0,0,16,1,5,54,7,8,11,10,37.6,464,+4,0.0
メイショウハニー,6,86.6,0,1,1800,1,0,0,0,2,3,3,430,-6,0,1,0,4,54.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1800,115.7,1,0,0,0,10,10,4,54,9,8,5,5,39.6,436,+30,1.1,0,0,0,0,0,0,0,0,0,1,1,0,1,1700,107.1,1,0,0,0,16,1,4,54,9,7,7,7,37.9,406,-8,0.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1400,84.9,1,0,0,0,16,3,4,54,7,7,0,0,37.3,414,-4,0.4,0,0,0,0,0,0,0,0,1,0,5,0,1,1400,85.7,0,0,1,0,16,5,4,52,10,10,0,0,37.6,418,0,1.8,0,0,0,0,0,0,0,0,1,0,3,0,1,1400,86.6,1,0,0,0,16,10,4,53,7,8,0,0,37.8,418,-4,0.6
レジェンディスト,1,2.2,0,1,1800,1,0,0,0,2,4,3,460,-4,0,1,0,4,54.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,114.8,1,0,0,0,10,6,4,53,2,2,1,2,39.2,464,+14,0.2,0,0,0,0,0,0,0,1,0,0,1,0,1,1800,116.5,0,1,0,0,12,10,4,53,1,1,1,1,37.7,450,0,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カリンカ,5,7.2,0,1,1800,1,0,0,0,3,5,2,430,0,0,1,0,4,54.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,114.1,0,1,0,0,16,11,4,54,2,2,3,2,37.9,430,-2,0.2,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,113.1,1,0,0,0,15,5,4,53,11,11,10,8,37.2,432,+8,0.3,0,0,0,0,0,0,0,0,0,1,1,0,1,1700,104.8,0,0,1,0,15,7,4,54,2,2,2,2,37.7,424,+8,-0.1,0,0,0,0,0,0,0,0,0,1,4,0,1,1700,107.9,1,0,0,0,16,11,4,54,5,5,7,5,39.6,416,-8,0.3,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,115.9,1,0,0,0,15,2,4,54,1,1,1,1,40.0,424,-2,0.7
エクロジオン,15,115.3,0,1,1800,1,0,0,0,3,6,10,470,-12,0,1,0,6,55.0,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,114.4,1,0,0,0,10,4,6,55,5,5,5,3,39.0,482,+6,1.4,0,0,0,0,0,0,0,1,0,0,5,0,1,1800,113.6,1,0,0,0,14,11,6,55,3,3,4,2,38.3,476,+4,0.4,0,0,0,0,0,0,0,0,1,0,6,0,1,1800,115.0,1,0,0,0,14,10,6,55,10,9,2,2,40.8,472,-4,0.6,0,0,0,0,0,0,0,0,0,1,10,0,1,1700,106.5,1,0,0,0,16,11,6,55,14,14,13,12,38.7,476,0,1.2,0,0,0,0,0,0,0,0,0,1,13,0,1,1700,107.6,1,0,0,0,16,5,6,55,13,14,12,13,39.1,476,0,2.8
マーブルフレンテ,8,225.4,0,1,1800,1,0,0,0,4,7,7,514,+8,0,1,0,6,55.0,0,0,1,0,0,0,0,0,0,0,13,0,1,1700,107.9,1,0,0,0,15,13,6,55,3,3,2,2,39.4,506,0,1.1,0,0,0,1,0,0,0,0,0,0,6,0,1,1800,114.4,0,0,1,0,11,5,6,52,6,7,7,7,37.4,506,+2,0.7,0,0,0,0,0,0,0,1,0,0,13,0,1,1800,115.1,1,0,0,0,14,2,6,55,10,10,8,9,39.4,504,+4,1.9,0,0,0,0,0,0,0,0,1,0,2,0,1,1800,113.1,0,1,0,0,11,6,6,55,3,3,3,2,37.8,500,-2,0.0,0,0,0,0,0,0,1,0,0,0,7,0,1,1400,86.4,0,1,0,0,15,6,6,55,8,8,0,0,37.7,502,+2,0.5
ハイエストクイーン,16,304.5,0,1,1800,1,0,0,0,4,8,18,472,+6,0,1,0,4,53.0,0,0,0,0,0,0,0,0,0,1,16,0,1,1700,115.8,1,0,0,0,16,4,4,52,7,6,15,16,47.2,466,+4,10.5,0,0,0,1,0,0,0,0,0,0,1,0,1,1800,115.6,1,0,0,0,15,13,4,52,2,2,2,3,39.0,462,0,0.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1800,116.0,1,0,0,0,14,10,4,51,3,3,3,3,39.6,462,+2,1.4,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,117.9,1,0,0,0,16,15,4,53,3,3,3,3,38.0,460,-2,0.2,0,0,0,0,0,0,1,0,0,0,4,0,1,1800,117.3,0,1,0,0,16,13,4,53,7,7,8,10,38.6,462,0,0.5
ナムラキヌ,3,14.6,0,1,1800,1,0,0,0,5,9,1,480,+8,0,1,0,4,54.0,0,0,0,0,0,0,0,0,1,0,4,0,1,2000,123.3,0,1,0,0,16,6,4,54,8,6,7,7,37.6,472,-2,0.6,0,0,0,0,0,0,0,0,0,0,2,0,1,1900,126.2,0,1,0,0,8,4,4,53,3,3,3,0,38.3,474,+9,0.2,0,0,0,0,0,0,0,0,0,0,3,0,1,1600,97.0,0,1,0,0,11,6,4,54,7,6,0,0,36.6,465,+11,1.8,0,0,0,0,0,0,0,0,1,0,11,0,1,1800,115.9,1,0,0,0,14,4,4,52,1,1,1,2,41.9,454,-12,1.5,0,0,0,0,0,0,0,0,0,1,13,0,1,1700,108.1,1,0,0,0,16,16,4,52,3,3,4,8,41.2,466,+14,2.8
シンコーメグチャン,10,8.9,0,1,1800,1,0,0,0,5,10,3,476,+2,0,1,0,4,54.0,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,115.6,1,0,0,0,10,10,4,54,5,5,7,5,38.0,474,+2,0.8,0,0,0,0,0,0,0,1,0,0,4,0,1,1800,112.4,0,1,0,0,16,11,4,53,14,13,11,9,38.1,472,+2,0.7,0,0,0,0,0,0,0,1,0,0,2,0,1,1800,113.5,1,0,0,0,10,6,4,53,7,7,7,6,37.9,470,-4,0.5,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,113.5,0,1,0,0,16,10,4,52,14,13,14,13,37.9,474,+10,1.0,0,0,0,0,0,0,0,0,1,0,10,0,1,1800,115.0,1,0,0,0,14,3,4,54,14,14,12,9,38.9,464,0,2.5
