馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
アミーコドーロ,11,255.4,21.8,77.9,1800,1,1,6,462,0,54.0,10,76.1,15,14,54,11,10,0,40.6,462,-4,2.7,11,73.7,16,4,11,8,38.3,466,-4,1.4,4,71.9,16,3,7,6,36.2,470,-2,1.1,3,71.4,4,4,34.9,472,0,0.5,0,0,0,0,0,0,0
ダークショット,16,495.4,54.3,195.4,1800,1,2,16,466,+10,54.0,0,0,0,0,0,0,0,0,0,0,0,0,13,101.7,18,7,12,13,35.7,456,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルエフォート,7,51.8,5.1,17.3,1800,2,3,21,464,+4,56.0,7,124.1,16,7,54,8,8,14,36.0,460,+2,1.0,6,109.0,11,5,10,10,34.1,458,-4,1.2,11,113.6,15,9,13,13,36.0,462,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホウオウジャンプ,4,6.8,1.2,3.1,1800,2,4,2,518,0,56.0,3,95.9,16,8,56,13,12,12,35.0,518,+4,0.3,3,112.9,15,12,10,11,35.0,514,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レッドエルソル,3,12.1,1.8,5.2,1800,3,5,6,436,-2,54.0,5,98.3,16,4,54,11,10,11,35.9,438,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナンヨーサターン,15,72.7,6.4,22.0,1800,3,6,5,410,0,56.0,15,112.6,16,4,55,16,16,16,37.5,410,0,2.8,5,110.3,18,13,17,17,35.0,410,+10,0.9,13,98.4,18,10,16,15,34.6,400,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アキサミヨー,12,154.8,14.1,49.7,1800,4,7,7,422,+6,54.0,12,96.7,16,6,54,8,13,14,36.5,416,-6,0.8,9,71.5,16,10,11,10,35.4,422,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コスモアルメナーラ,6,47.3,4.1,13.5,1800,4,8,14,482,+8,56.0,5,123.7,11,6,55,7,7,7,35.9,474,0,0.8,11,97.7,18,2,4,5,35.6,474,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リードアゲン,13,58.3,6.3,21.7,1800,5,9,5,476,+2,56.0,10,118.8,16,16,53,6,6,6,43.1,474,+6,4.4,5,113.6,12,1,1,1,36.8,468,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダンエクセル,10,198.1,15.1,53.5,1800,5,10,8,442,-2,53.0,11,70.1,18,17,54,12,12,0,35.4,444,+8,1.6,8,57.3,18,7,13,0,33.9,436,+4,1.1,13,72.8,15,14,4,4,36.8,432,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サトノルーラー,1,2.2,1.1,1.6,1800,6,11,3,522,+4,56.0,2,123.8,15,14,56,9,9,6,35.9,518,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レインボーショット,8,332.5,25.8,92.4,1800,6,12,11,448,0,52.0,15,126.0,15,8,54,10,11,11,36.5,448,+4,2.6,15,98.7,16,15,12,14,35.3,444,-4,1.3,9,97.2,16,3,11,10,35.1,448,+4,0.5,8,97.9,17,14,34.9,444,0,0.9,0,0,0,0,0,0,0
ラストプライドワン,5,43.9,4.9,16.3,1800,7,13,5,470,-6,56.0,9,100.9,14,1,55,11,11,10,36.2,476,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タイセイサルート,14,324.7,23.5,83.8,1800,7,14,5,456,0,54.0,11,121.5,16,5,54,14,14,14,43.6,456,+2,4.5,12,111.7,15,2,11,11,40.8,454,-2,3.4,10,97.7,14,7,10,10,35.9,456,+8,1.3,9,111.9,7,9,34.9,448,0,1.1,0,0,0,0,0,0,0
アビラウンケン,9,35.2,4.6,15.6,1800,8,15,8,490,+12,56.0,7,113.0,9,7,55,3,5,0,34.9,478,-8,2.2,15,101.5,16,8,7,9,39.1,486,+4,2.6,3,96.4,17,3,14,14,33.7,482,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スターライトブルー,2,2.3,1.1,1.1,1800,8,16,3,498,+4,56.0,2,135.1,16,7,56,8,7,11,35.8,494,-2,0.1,2,122.5,18,14,6,6,36.8,496,-8,0.2,3,123.8,15,6,5,5,34.6,504,+2,0.4,3,126.1,11,10,33.8,502,0,0.4,0,0,0,0,0,0,0
