馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ドリームソルジャー,9,10.3,2.2,3.5,2000,1,1,3,456,-4,56.0,1,121.2,18,6,56,4,3,4,35.7,460,+12,-0.7,7,124.2,12,1,7,8,34.5,448,-2,0.8,8,95.9,18,18,16,13,35.8,450,0,0.3,7,98.2,10,5,36.5,450,+2,0.8,3,111.9,11,35.0,448,0,0.5
サンライズノヴァ,6,14.3,3.0,4.9,2000,2,2,9,536,-4,56.0,1,112.5,13,9,56,7,7,5,37.1,540,-8,-0.1,3,114.1,11,11,6,7,37.3,548,+2,0.3,1,97.4,16,10,5,5,36.3,546,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タガノアシュラ,7,11.7,2.2,3.6,2000,3,3,2,508,+6,56.0,2,134.8,7,2,56,1,1,1,36.7,502,-10,0.7,7,112.9,8,3,1,2,38.9,512,+4,2.8,14,96.7,18,5,14,14,35.2,508,+2,1.3,1,121.9,4,1,35.3,506,+10,-0.3,8,110.6,8,35.8,496,-6,0.7
シャイニーゲール,5,6.3,1.5,2.4,2000,4,4,7,466,-4,56.0,3,122.5,5,2,56,5,5,5,35.5,470,+4,0.8,1,125.4,11,8,2,2,36.2,466,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バレーロ,10,108.1,11.7,20.3,2000,5,5,3,478,+4,56.0,11,95.4,16,1,56,16,16,0,34.0,474,+2,0.7,12,85.5,16,8,11,13,37.7,472,+2,1.6,1,85.8,13,9,3,3,38.0,470,+2,-0.2,2,85.5,6,9,37.3,468,+12,0.0,5,97.2,12,35.7,456,0,0.6
ユノディエール,8,79.2,8.1,14.0,2000,6,6,17,448,+10,56.0,10,96.0,10,4,55,8,9,0,34.6,438,+8,1.4,3,109.0,8,6,7,2,34.6,430,0,0.5,1,125.2,15,8,5,5,35.7,430,-2,-0.2,5,111.2,8,14,35.3,432,-6,0.7,2,110.8,2,35.3,438,-2,0.3
インヴィクタ,3,2.8,1.2,1.5,2000,6,7,6,474,-2,56.0,1,147.4,8,7,56,4,5,5,35.1,476,+10,-0.3,7,110.6,13,3,12,11,35.4,466,+2,0.7,1,113.6,10,3,8,6,35.1,464,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エクレアスパークル,2,3.3,1.3,1.8,2000,7,8,2,464,-6,56.0,1,125.3,15,10,56,3,3,3,35.0,470,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンライズソア,11,108.1,15.1,26.1,2000,7,9,12,502,-4,56.0,1,113.8,11,5,55,2,2,2,37.5,506,0,0.0,6,112.1,9,2,1,2,34.6,506,+2,1.3,9,95.9,10,10,6,5,34.9,504,0,1.3,7,95.0,9,2,34.3,504,-2,0.7,1,95.9,4,33.4,506,0,-0.1
アダムバローズ,1,8.6,2.2,3.4,2000,8,10,7,504,0,56.0,1,121.7,5,1,56,1,1,1,35.6,504,-8,0.0,12,123.3,15,10,6,6,36.6,512,+8,0.8,10,124.2,10,7,2,2,35.9,504,+2,1.6,1,120.9,1,1,35.0,502,+10,-0.1,1,109.2,15,36.1,492,+2,-0.2
シロニイ,4,21.1,3.3,5.4,2000,8,11,2,504,+2,56.0,1,105.5,15,6,56,7,7,4,37.6,502,-4,0.0,2,113.5,11,6,3,3,35.8,506,0,0.2,2,113.8,11,7,5,4,37.2,506,-8,0.0,2,111.3,7,4,36.2,514,+10,0.0,1,113.3,13,38.3,504,-16,-0.2
