馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
デルマオフクロサン,4,4.6,1.5,2.0,1200,1,1,6,442,+6,54.0,9,58.2,16,5,54,0,0,0,35.6,436,-6,1.2,2,70.2,16,5,1,1,35.9,442,+6,0.0,8,74.1,16,5,2,2,40.3,436,-2,1.3,13,74.8,1,1,40.3,438,-4,1.9,7,71.9,9,37.6,442,+4,1.2
ティーデュエル,3,29.2,4.8,7.8,1200,1,2,5,434,+2,54.0,10,84.1,18,12,54,2,3,0,36.9,432,+10,1.4,6,70.9,16,3,9,7,35.6,422,-6,0.7,14,88.4,16,5,12,14,40.2,428,-6,1.6,7,70.5,13,7,35.6,434,+22,1.0,9,82.7,9,36.7,412,-6,1.5
チュウワカレント,16,88.6,14.0,23.1,1200,2,3,8,494,+8,56.0,17,97.2,17,1,56,7,5,0,37.1,486,-8,2.6,15,125.2,15,14,3,3,40.3,494,+6,4.5,11,121.3,14,14,10,9,43.0,488,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ショウナンアルマー,12,5.4,1.8,2.7,1200,2,4,7,460,+6,54.0,11,83.2,18,2,54,1,1,0,36.4,454,-8,1.3,11,96.6,16,12,10,10,35.8,462,-2,1.1,6,108.0,16,14,8,10,35.4,464,-2,0.8,12,110.5,5,8,36.8,466,-2,1.1,2,96.7,7,35.2,468,+14,0.0
ベリーグレート,7,22.2,4.5,7.3,1200,3,5,9,418,-10,54.0,16,77.0,16,13,54,4,7,0,41.5,428,-4,3.4,6,70.9,18,5,8,9,35.6,432,+26,0.7,3,71.2,13,8,4,2,35.8,406,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルトルペード,10,10.3,2.5,3.8,1200,3,6,40,422,+12,56.0,0,0,0,0,0,0,0,0,0,0,0,0,6,70.3,16,7,8,7,35.0,410,+6,0.6,5,70.7,12,7,3,3,35.7,404,-6,0.8,5,71.2,2,4,36.1,410,-2,0.9,2,70.7,1,35.5,412,+6,0.3
タイセイサルート,6,16.6,3.5,5.5,1200,4,7,8,464,+12,54.0,6,70.6,16,14,54,10,9,0,35.1,452,-4,0.5,14,110.5,16,14,2,3,36.8,456,0,2.0,11,121.5,16,5,14,14,43.6,456,+2,4.5,12,111.7,2,11,40.8,454,-2,3.4,10,97.7,7,35.9,456,+8,1.3
マテラグローバル,13,120.0,16.9,28.0,1200,4,8,5,500,+1,55.0,11,102.8,12,5,53,7,12,0,42.0,499,-17,3.4,16,98.5,16,9,15,16,36.5,516,+16,2.9,9,107.7,14,2,1,1,42.3,500,-12,3.2,10,121.3,5,10,40.9,512,0,2.2,0,0,0,0,0,0,0
ユキエファルコン,5,3.3,1.3,1.5,1200,5,9,5,474,0,56.0,9,73.9,16,9,56,9,7,0,38.0,474,-2,2.3,3,70.6,16,5,6,6,35.0,476,-4,0.2,2,70.0,16,16,7,3,35.3,480,-4,0.0,3,70.4,18,7,35.3,484,-6,0.2,5,69.7,18,35.8,490,+16,0.4
ベルウッドカペラ,15,45.7,8.3,13.7,1200,5,10,6,466,+12,56.0,11,75.7,15,2,56,11,11,0,39.8,454,-2,3.0,14,97.2,16,15,6,2,35.9,456,-4,1.6,9,70.1,18,1,11,11,35.8,460,+6,1.0,15,77.1,4,10,40.4,454,+4,4.8,10,71.1,10,35.5,450,-2,0.9
ブライトエピローグ,14,10.2,2.6,4.0,1200,6,11,5,442,+4,54.0,12,94.9,12,5,54,10,10,6,42.7,438,-2,2.9,11,87.1,16,3,15,15,37.1,440,-2,1.3,7,74.7,16,16,14,13,37.4,442,-4,1.1,6,73.6,10,4,38.9,446,+12,0.7,5,57.1,6,34.1,434,+2,0.9
ティラール,8,14.3,3.4,5.4,1200,6,12,4,440,-6,54.0,11,97.7,13,4,54,6,5,5,41.7,446,+6,1.1,12,109.6,17,13,6,4,36.6,440,0,1.5,9,96.7,16,6,4,5,35.2,440,0,0.6,6,96.2,16,3,37.0,440,0,0.3,4,92.8,2,34.6,440,-10,0.6
サツキチャン,9,46.0,8.5,13.9,1200,7,13,8,412,+2,54.0,7,71.0,16,2,54,6,6,0,35.5,410,+6,0.6,10,70.1,18,5,11,11,35.6,404,+2,0.4,13,72.8,16,1,14,13,36.3,402,-6,2.0,7,71.9,4,8,35.7,408,-4,1.5,5,59.2,6,34.8,412,0,1.1
バタラ,1,27.8,5.2,8.4,1200,7,14,7,474,+6,53.0,11,83.0,18,4,53,7,7,0,35.0,468,-4,1.3,8,86.7,16,8,10,10,38.4,472,+2,1.5,9,119.2,12,5,1,1,43.7,470,+4,4.7,9,118.4,12,8,40.5,466,0,3.1,0,0,0,0,0,0,0
ジャスティンラヴ,2,23.6,4.8,7.8,1200,8,15,5,406,+2,54.0,12,127.9,16,15,54,3,3,3,38.7,404,+8,2.1,14,110.9,16,8,2,3,37.1,396,-16,2.0,5,123.5,14,3,2,3,36.5,412,+12,0.8,7,83.7,5,6,35.9,400,0,0.8,0,0,0,0,0,0,0
ハヤブサピクシー,11,117.6,23.7,39.3,1200,8,16,5,404,+14,53.0,11,74.5,16,13,54,13,12,0,38.0,390,+4,2.9,10,123.2,10,8,3,3,35.5,386,-4,2.0,16,112.0,18,18,6,5,39.1,390,0,4.0,5,121.8,3,6,35.7,390,-8,0.6,9,96.6,7,35.5,398,-8,0.9
