馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ビービーパドル,2,20.1,2.1,11.6,1800,1,1,3,464,+8,56.0,5,116.0,15,10,56,12,12,7,39.1,456,-2,2.4,12,108.9,12,5,11,11,42.1,458,-4,4.1,9,102.7,16,7,3,2,39.0,462,-8,1.5,8,118.1,13,16,39.5,470,-8,3.2,7,102.2,2,37.7,478,0,2.4
モンスーンジャイア,3,9.0,1.3,5.5,1800,2,2,1,446,+4,53.0,6,109.2,15,3,53,11,11,11,38.8,442,-4,1.5,5,114.1,14,8,6,6,38.8,446,-2,2.1,15,97.8,16,7,14,16,35.3,448,0,1.7,9,99.2,10,6,36.9,448,0,1.1,0,0,0,0,0,0,0
ミヤコギムレット,9,80.7,8.6,57.9,1800,3,3,19,470,-26,55.0,13,120.4,16,5,55,15,15,15,41.8,496,+14,3.7,10,120.1,14,11,14,14,41.0,482,0,3.6,15,124.4,17,6,17,17,36.9,482,0,1.6,7,129.7,4,5,34.8,482,0,0.6,0,0,0,0,0,0,0
コウギョウスター,5,31.4,2.4,14.2,1800,4,4,2,512,-6,56.0,8,110.9,15,4,56,14,13,5,40.0,518,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マサハヤスター,1,1.2,1.0,1.1,1800,5,5,3,480,+4,56.0,2,108.8,15,13,54,2,2,2,39.2,476,0,0.9,5,115.3,11,8,2,2,38.4,476,-2,1.3,2,112.5,11,5,2,2,37.5,478,+2,0.3,5,115.5,2,3,39.4,476,-14,0.8,8,87.7,8,39.6,490,+12,1.5
シンボリバロン,10,40.7,6.2,40.7,1800,6,6,37,460,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,10,110.1,13,3,9,9,35.7,460,0,2.1,15,98.3,16,7,11,12,35.2,460,-2,2.5,15,115.3,5,15,37.5,462,0,4.1,0,0,0,0,0,0,0
テイエムガリバー,6,35.7,3.0,18.3,1800,7,7,1,482,-4,53.0,15,111.8,16,14,56,6,6,0,37.1,486,-4,1.9,11,73.8,16,7,5,6,38.3,490,-6,2.6,11,89.3,16,15,6,10,41.2,496,0,3.2,8,75.6,3,2,40.2,496,+8,1.9,4,74.3,6,37.7,488,0,0.9
ミナミカゼ,8,8.8,1.4,7.1,1800,7,8,1,460,+4,52.0,9,96.0,17,10,54,3,3,0,36.2,456,+2,1.4,13,96.6,16,7,5,11,35.7,454,+6,1.1,7,97.3,18,10,6,6,34.7,448,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キョウワベルナルド,4,17.8,2.0,11.5,1800,8,9,3,452,-4,55.0,12,115.0,16,14,56,7,7,6,40.3,456,-6,3.2,8,110.5,14,10,10,10,34.1,462,+16,0.8,7,99.1,17,1,1,1,37.9,446,0,0.4,7,95.6,6,8,36.1,446,-2,0.9,5,97.4,5,35.8,448,0,0.6
トーマス,7,58.0,5.7,37.7,1800,8,10,15,438,+2,54.0,10,116.7,16,4,56,16,16,15,39.2,436,+2,2.0,10,126.3,16,8,9,9,38.5,434,0,1.9,6,115.8,11,6,7,7,36.0,434,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
