馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
マイネルエパティカ,1,10.6,2.0,3.5,1,0,2000,1,0,0,0,1,1,1,438,0,1,0,0,2,55.0,0,0,0,0,1,0,0,0,0,0,4,1,0,2000,125.2,0,0,1,0,16,5,2,55,1,1,1,0,35.9,438,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ローリングタワー,6,18.5,3.0,5.5,1,0,2000,1,0,0,0,2,2,1,424,+8,1,0,0,2,55.0,0,0,0,0,1,0,0,0,0,0,5,1,0,2000,123.6,1,0,0,0,12,6,2,55,2,3,3,0,36.2,416,-4,1.1,0,0,0,0,0,1,0,0,0,0,7,1,0,2000,125.2,1,0,0,0,18,13,2,54,3,3,3,2,36.7,420,+4,1.5,0,0,0,1,0,0,0,0,0,0,11,1,0,1600,98.4,1,0,0,0,18,16,2,51,13,13,0,0,33.9,416,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メガミノキセキ,4,14.0,2.2,3.9,1,0,2000,1,0,0,0,3,3,4,464,+2,0,1,0,2,54.0,0,0,0,0,0,1,0,0,0,0,10,1,0,2000,125.5,1,0,0,0,18,4,2,54,14,15,14,14,36.1,462,-4,1.8,0,0,0,1,0,0,0,0,0,0,5,1,0,1800,110.0,1,0,0,0,18,18,2,54,17,17,0,0,33.5,466,-2,0.9,0,0,0,1,0,0,0,0,0,0,16,1,0,1800,113.0,1,0,0,0,18,16,2,54,16,18,0,0,35.9,468,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリップスプリンガ,2,30.5,4.3,8.1,1,0,2000,1,0,0,0,4,4,1,424,+2,1,0,0,2,55.0,0,0,0,0,1,0,0,0,0,0,9,1,0,1400,84.2,0,0,1,0,18,5,2,55,12,11,0,0,35.9,422,-4,1.2,0,0,0,1,0,0,0,0,0,0,12,1,0,1400,83.7,1,0,0,0,17,16,2,54,6,8,0,0,37.5,426,+2,2.2,0,0,0,1,0,0,0,0,0,0,2,1,0,1400,82.7,1,0,0,0,18,9,2,54,4,4,0,0,36.0,424,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナムラボンド,7,23.0,3.0,5.5,1,0,2000,1,0,0,0,5,5,1,410,-8,1,0,0,2,55.0,0,0,0,0,0,0,0,1,0,0,5,1,0,2000,123.7,0,0,1,0,11,5,2,52,10,10,10,8,36.8,418,+4,0.4,0,0,0,0,0,0,0,0,1,0,7,1,0,2000,123.5,1,0,0,0,12,1,2,51,6,6,6,7,36.3,414,-4,1.3,0,0,0,0,0,0,0,0,0,1,6,1,0,2000,123.6,1,0,0,0,13,1,2,51,5,5,9,5,37.8,418,0,0.7,0,0,0,0,0,0,0,0,0,1,7,1,0,1200,70.8,1,0,0,0,12,11,2,51,10,9,0,0,36.3,418,+2,1.1,0,0,0,0,0,0,0,0,0,1,14,1,0,1200,72.4,1,0,0,0,18,12,2,54,17,16,0,0,36.9,416,+2,2.7
コスモアルメナーラ,5,77.3,8.8,17.0,1,0,2000,1,0,0,0,6,6,0,474,0,1,0,0,2,55.0,0,0,0,0,1,0,0,0,0,0,11,1,0,1600,97.7,1,0,0,0,18,2,2,52,4,5,0,0,35.6,474,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイレントサード,10,2.7,1.1,1.5,1,0,2000,1,0,0,0,6,7,5,470,+4,1,0,0,2,55.0,0,0,0,0,0,1,0,0,0,0,2,1,0,2000,129.3,0,1,0,0,8,8,2,54,2,2,2,2,34.9,466,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ミルクチョコ,8,185.9,22.0,42.7,1,0,2000,1,0,0,0,7,8,1,452,0,0,1,0,2,54.0,0,0,0,0,1,0,0,0,0,0,10,1,0,2000,125.7,0,0,1,0,16,12,2,54,7,9,9,0,35.6,452,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フルオブライフ,3,2.8,1.1,1.6,1,0,2000,1,0,0,0,7,9,6,532,0,1,0,0,2,55.0,0,0,0,1,0,0,0,0,0,0,5,1,0,1800,110.1,1,0,0,0,12,11,2,54,6,6,0,0,34.5,532,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビジョッテ,9,4.6,1.3,2.1,1,0,2000,1,0,0,0,8,10,2,486,-2,0,1,0,2,54.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1800,111.6,1,0,0,0,14,3,2,54,8,6,8,10,34.7,488,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
