馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
グレープブランデー,1,1.5,1.1,1.1,1800,1,1,5,530,+12,56.0,0,0,0,0,0,0,0,0,0,0,0,0,2,113.9,12,8,4,4,37.4,518,-4,0.0,1,115.4,16,7,2,1,38.2,522,0,-0.2,2,119.8,8,7,36.8,522,0,0.2,0,0,0,0,0,0,0
アドマイヤクーガー,8,7.1,1.5,4.6,1800,2,2,3,438,-6,56.0,10,121.8,14,2,56,5,5,6,35.4,444,-4,1.0,1,109.4,14,8,5,5,34.6,448,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ローレルジャブラニ,3,14.7,1.8,5.8,1800,3,3,1,518,-6,56.0,1,118.9,10,7,56,2,2,2,37.5,524,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ベストリガーズ,2,3.4,1.1,2.2,1800,4,4,2,514,-4,56.0,1,115.1,16,12,56,7,7,7,37.6,518,+2,-1.0,9,118.5,13,10,7,9,38.4,516,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オグリシュンコー,4,196.8,15.2,59.4,1800,5,5,2,474,-6,56.0,2,89.4,8,1,56,4,3,3,37.5,480,+6,0.3,11,118.2,12,2,11,11,37.8,474,+3,2.4,4,90.0,7,5,6,3,38.4,471,+1,0.3,9,128.3,5,9,36.0,470,-12,3.1,3,117.1,7,39.3,482,+10,0.2
シェイクラブハート,6,37.7,3.6,12.9,1800,6,6,1,440,-6,54.0,1,117.1,14,5,54,1,1,1,38.6,446,0,-0.2,4,115.6,14,14,3,3,39.3,446,+6,1.9,6,116.9,12,2,9,9,39.0,440,-4,1.9,13,71.1,6,12,35.4,444,+2,1.1,14,83.9,17,37.5,442,+6,1.8
ムーダ,7,139.0,12.3,48.0,1800,7,7,2,454,0,56.0,4,90.4,8,5,56,7,7,5,37.8,454,-2,1.3,3,90.0,9,3,6,6,37.8,456,+3,0.3,12,107.7,12,9,10,10,39.5,453,+7,1.5,13,117.6,5,14,39.4,446,-2,1.8,1,90.8,2,38.4,448,-5,-0.1
クールファルコン,5,22.0,1.9,6.1,1800,8,8,2,506,0,53.0,1,117.5,15,8,53,1,1,1,37.7,506,-6,-0.5,3,117.7,16,1,1,1,38.3,512,0,0.3,5,116.8,8,6,5,5,37.0,512,0,0.5,12,119.2,10,10,40.1,512,+4,3.2,8,119.5,2,40.2,508,0,3.1
