馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
カメット,3,12.9,2.7,3.9,1,0,1200,1,0,0,0,1,1,3,454,+2,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,6,1,0,1200,69.8,1,0,0,0,16,1,3,56,9,7,0,0,35.1,452,0,0.3,0,0,0,0,0,0,0,0,1,0,1,1,0,1200,71.3,1,0,0,0,16,11,3,55,2,2,0,0,36.0,452,+4,-0.1,0,0,0,0,0,0,0,1,0,0,7,0,1,1400,86.9,1,0,0,0,16,5,3,55,1,1,0,0,38.8,448,-4,1.4,0,0,0,0,0,0,0,1,0,0,7,1,0,1400,82.4,1,0,0,0,18,12,3,55,12,11,0,0,34.6,452,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レムミラス,1,2.9,1.3,1.6,1,0,1200,1,0,0,0,2,2,2,436,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,6,1,0,1400,84.1,1,0,0,0,13,6,3,54,5,6,0,0,34.1,442,0,0.2,0,0,0,0,0,0,0,1,0,0,1,1,0,1200,69.3,1,0,0,0,16,13,3,54,7,7,0,0,34.1,442,+8,-0.3,0,0,0,1,0,0,0,0,0,0,2,1,0,1400,84.0,1,0,0,0,18,18,3,52,6,6,0,0,35.8,434,-6,0.1,0,0,0,0,0,0,0,0,1,0,4,1,0,1600,96.9,1,0,0,0,18,11,3,54,2,2,0,0,34.1,440,0,0.4,0,0,0,0,0,0,0,0,1,0,12,1,0,1400,85.1,1,0,0,0,14,1,3,54,8,9,0,0,35.7,440,0,0.7
フェブノヘア,4,19.2,4.1,6.2,1,0,1200,1,0,0,0,3,3,2,432,+2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,10,1,0,1400,84.5,1,0,0,0,13,12,3,54,5,3,0,0,34.5,430,-12,0.6,0,0,0,0,0,0,0,1,0,0,7,0,1,1400,87.1,0,0,1,0,16,10,3,54,12,9,0,0,37.5,442,+6,0.5,0,0,0,0,0,0,1,0,0,0,4,1,0,1400,82.8,1,0,0,0,14,4,3,54,2,2,0,0,35.5,436,+4,0.3,0,0,0,0,0,0,0,1,0,0,12,1,0,1600,95.0,1,0,0,0,16,7,3,54,2,2,0,0,36.1,432,-2,0.9,0,0,0,0,0,0,0,1,0,0,13,0,1,1200,74.3,1,0,0,0,13,10,3,54,7,6,0,0,38.6,434,-6,2.2
テイエムチュラッコ,7,5.2,1.7,2.3,1,0,1200,1,0,0,0,3,4,7,432,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,4,1,0,1200,70.3,1,0,0,0,10,2,3,54,1,1,0,0,35.3,438,+4,0.2,0,0,0,0,0,0,0,1,0,0,16,1,0,1400,83.8,1,0,0,0,18,9,3,54,2,2,0,0,37.9,434,+10,2.7,0,0,0,0,0,0,0,0,0,1,2,1,0,1200,68.9,0,1,0,0,18,13,3,55,1,1,0,0,34.4,424,-2,0.1,0,0,0,0,0,0,0,0,0,1,1,1,0,1200,69.0,1,0,0,0,18,18,3,54,1,1,0,0,35.3,426,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノイザナミ,5,57.9,9.4,14.4,1,0,1200,1,0,0,0,4,5,2,418,-2,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,12,1,0,1400,84.5,1,0,0,0,13,8,3,54,1,1,0,0,34.9,420,-6,0.6,0,0,0,0,0,1,0,0,0,0,15,0,1,1200,74.5,1,0,0,0,16,7,3,54,12,13,0,0,39.5,426,+8,1.8,0,0,0,0,0,1,0,0,0,0,7,1,0,1200,69.9,1,0,0,0,14,1,3,54,8,8,0,0,35.7,418,+6,0.6,0,0,1,0,0,0,0,0,0,0,8,1,0,1200,69.4,1,0,0,0,16,3,3,54,16,14,0,0,34.2,412,-6,0.6,0,0,0,1,0,0,0,0,0,0,11,1,0,1600,96.9,1,0,0,0,11,5,3,54,10,9,0,0,34.6,418,0,0.8
ケンブリッジギルド,14,10.3,3.2,4.7,1,0,1200,1,0,0,0,4,6,1,470,+6,1,0,0,3,56.0,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,85.9,1,0,0,0,9,7,3,56,3,3,0,0,37.4,464,+4,0.3,0,0,0,0,0,0,0,0,1,0,9,0,1,1400,87.2,1,0,0,0,15,1,3,55,5,7,0,0,37.1,460,+8,0.8,0,0,0,0,0,0,0,1,0,0,1,0,1,1200,72.7,0,1,0,0,14,2,3,55,6,6,0,0,36.7,452,0,0.0,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,86.0,0,1,0,0,16,4,3,55,8,7,0,0,37.5,452,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ミスタージャック,9,105.8,17.1,26.3,1,0,1200,1,0,0,0,5,7,4,508,+1,1,0,0,3,56.0,0,0,0,0,0,0,0,0,0,0,2,0,1,1750,117.3,1,0,0,0,7,2,3,56,1,1,1,1,39.0,507,-2,0.2,0,0,0,0,0,0,0,0,0,0,3,0,1,1750,118.7,1,0,0,0,12,3,3,55,3,3,3,2,39.8,509,+1,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,91.1,1,0,0,0,12,3,3,55,3,3,2,1,40.1,508,+11,-0.6,0,0,0,0,0,0,0,0,0,0,5,0,1,1750,118.7,0,0,0,1,12,7,3,55,6,5,3,3,41.2,497,+4,0.8,0,0,0,0,0,0,0,0,0,0,2,0,1,1750,119.9,1,0,0,0,6,2,3,55,4,4,1,1,41.1,493,-1,0.1
サクラドラジェ,13,6.5,2.1,3.0,1,0,1200,1,0,0,0,5,8,8,448,-12,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1200,69.9,1,0,0,0,11,5,3,54,1,1,0,0,35.7,460,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
イスルギ,10,12.9,3.2,4.6,1,0,1200,1,0,0,0,6,9,1,424,+8,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,5,1,0,1400,81.4,1,0,0,0,14,3,3,54,4,3,0,0,34.6,416,-4,0.4,0,0,0,0,0,1,0,0,0,0,10,1,0,1200,70.4,1,0,0,0,14,13,3,54,11,12,0,0,35.9,420,-6,1.1,0,0,1,0,0,0,0,0,0,0,9,1,0,1200,69.6,1,0,0,0,16,14,3,54,8,9,0,0,35.2,426,+16,0.8,0,0,0,0,0,0,0,0,1,0,8,1,0,1400,83.1,1,0,0,0,11,7,3,54,6,6,0,0,34.2,410,+6,0.9,0,0,0,0,0,0,1,0,0,0,5,1,0,1400,83.5,1,0,0,0,8,6,3,54,2,2,0,0,36.2,404,-8,0.8
クラウンルシフェル,2,9.3,2.1,3.0,1,0,1200,1,0,0,0,6,10,4,478,0,1,0,0,3,56.0,0,0,0,0,0,1,0,0,0,0,11,0,1,1200,73.6,1,0,0,0,16,12,3,56,8,8,0,0,39.0,478,-4,0.9,0,0,0,0,0,1,0,0,0,0,5,1,0,1200,69.9,0,1,0,0,16,8,3,55,3,3,0,0,35.9,482,+4,0.4,0,0,1,0,0,0,0,0,0,0,1,1,0,1200,70.1,1,0,0,0,16,3,3,55,1,1,0,0,35.3,478,0,0.0,0,0,0,0,1,0,0,0,0,0,7,1,0,1400,88.7,0,0,0,1,14,5,3,55,2,2,0,0,37.1,478,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
