馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アルミサエル,9,17.7,5.0,8.2,0,1,1150,1,0,0,0,1,1,14,438,+8,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,12,1,0,1600,96.6,1,0,0,0,16,10,3,51,1,2,2,0,37.9,430,+2,1.0,0,0,0,0,0,1,0,0,0,0,4,1,0,1600,101.1,1,0,0,0,16,13,3,54,3,5,5,0,36.3,428,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウルナ,4,2.9,1.2,1.5,0,1,1150,1,0,0,0,1,2,3,496,+4,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1200,73.8,1,0,0,0,16,16,3,51,3,2,0,0,37.8,492,+2,0.4,0,0,0,0,0,0,0,1,0,0,8,0,1,1400,88.0,1,0,0,0,16,16,3,54,10,9,0,0,38.5,490,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブラックソヴリン,3,16.2,3.4,5.5,0,1,1150,1,0,0,0,2,3,13,450,-4,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,12,0,1,1200,74.9,1,0,0,0,16,7,3,54,7,9,0,0,39.9,454,+2,1.7,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,73.5,1,0,0,0,16,7,3,54,2,2,0,0,39.1,452,+10,0.6,0,0,0,0,0,0,0,1,0,0,4,0,1,1200,72.8,0,1,0,0,15,4,3,51,2,2,0,0,37.3,442,-6,1.1,0,0,1,0,0,0,0,0,0,0,12,0,1,1150,71.3,1,0,0,0,16,2,3,51,7,7,0,0,38.9,448,0,0.9,0,0,0,0,0,1,0,0,0,0,10,1,0,1200,70.5,1,0,0,0,16,8,3,54,2,2,0,0,36.9,448,-4,1.2
ナムラチーター,14,130.9,23.4,40.0,0,1,1150,1,0,0,0,2,4,0,414,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アワーズヒロイン,1,7.3,1.9,2.9,0,1,1150,1,0,0,0,3,5,1,432,-4,0,1,0,3,51.0,0,0,0,0,0,0,0,0,1,0,4,0,1,1200,74.1,1,0,0,0,16,4,3,54,3,5,0,0,37.7,436,-2,0.9,0,0,0,0,0,0,0,0,0,1,5,0,1,1000,59.1,0,0,1,0,14,2,3,51,4,4,0,0,36.0,438,0,0.4,0,0,0,0,0,0,0,0,0,1,5,0,1,1000,60.1,1,0,0,0,14,3,3,51,6,6,0,0,36.6,438,0,0.5,0,0,0,0,0,0,0,0,1,0,12,0,1,1200,75.3,1,0,0,0,16,16,3,54,4,4,0,0,39.5,438,0,1.7,0,0,1,0,0,0,0,0,0,0,10,1,0,1200,70.7,1,0,0,0,16,16,3,54,3,3,0,0,36.9,438,+10,1.4
イケイケヒカル,7,46.5,11.7,19.9,0,1,1150,1,0,0,0,3,6,0,434,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ルミナスハート,11,202.0,38.9,66.7,0,1,1150,1,0,0,0,4,7,0,400,0,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
モナルダ,6,16.1,3.1,5.0,0,1,1150,1,0,0,0,4,8,2,440,-2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,73.1,0,0,1,0,16,16,3,54,5,4,0,0,38.4,442,-8,1.1,0,0,0,0,1,0,0,0,0,0,9,0,1,1400,86.6,0,0,0,1,15,10,3,54,9,10,0,0,37.8,450,-4,1.3,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.8,1,0,0,0,16,6,3,54,10,9,0,0,37.9,454,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キネオボヌール,10,20.0,4.5,7.3,0,1,1150,1,0,0,0,5,9,12,424,+4,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,1,1200,75.1,1,0,0,0,16,1,3,54,3,3,0,0,40.2,420,-4,2.1,0,0,0,0,0,1,0,0,0,0,4,0,1,1200,74.5,1,0,0,0,15,4,3,54,1,1,0,0,38.9,424,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アキノシャイン,8,233.7,37.3,63.9,0,1,1150,1,0,0,0,5,10,8,404,+6,0,1,0,3,51.0,0,0,0,0,0,0,0,0,0,1,15,1,0,1200,70.5,1,0,0,0,18,16,3,51,9,12,0,0,36.4,398,-2,1.8,0,0,0,0,0,0,0,1,0,0,14,0,1,1200,76.7,0,1,0,0,15,4,3,51,7,8,0,0,40.0,400,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フジノマユサン,12,181.6,31.9,54.7,0,1,1150,1,0,0,0,6,11,5,468,-2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,14,0,1,1200,75.8,0,1,0,0,15,6,3,54,14,14,0,0,39.2,470,-4,2.5,0,0,0,0,0,1,0,0,0,0,15,0,1,1200,77.3,1,0,0,0,15,14,3,54,15,15,0,0,38.8,474,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラインハート,2,4.0,1.5,2.0,0,1,1150,1,0,0,0,6,12,9,440,-2,0,1,0,3,53.0,0,0,0,0,0,0,0,1,0,0,12,0,1,1400,88.0,0,0,0,1,16,3,3,54,5,4,0,0,40.1,442,-8,2.2,0,0,0,0,0,0,0,1,0,0,3,0,1,1400,88.0,1,0,0,0,15,1,3,54,8,6,0,0,38.0,450,+2,0.4,0,0,0,0,0,0,1,0,0,0,5,1,0,1600,96.6,1,0,0,0,16,4,3,54,7,7,4,0,36.2,448,-4,0.8,0,0,0,0,0,0,1,0,0,0,3,1,0,1600,99.0,1,0,0,0,11,11,3,54,8,7,8,0,34.2,452,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンメンフィス,15,9.3,2.1,3.2,0,1,1150,1,0,0,0,7,13,5,432,-6,0,1,0,3,51.0,0,0,0,0,0,1,0,0,0,0,7,0,1,1200,73.7,0,1,0,0,15,12,3,54,1,1,0,0,38.8,438,0,0.4,0,0,0,0,0,1,0,0,0,0,7,0,1,1200,74.2,1,0,0,0,16,4,3,54,7,7,0,0,39.2,438,-2,1.0,0,0,0,0,0,1,0,0,0,0,3,1,0,1200,72.4,1,0,0,0,13,12,3,54,5,6,0,0,35.4,440,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ノスタルジック,5,15.4,3.9,6.4,0,1,1150,1,0,0,0,7,14,30,474,+2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,7,1,0,1200,70.2,1,0,0,0,16,14,3,54,9,9,0,0,35.9,472,-2,0.7,0,0,0,0,0,1,0,0,0,0,5,1,0,1200,70.6,1,0,0,0,14,6,3,54,8,6,0,0,35.0,474,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ドヤガオ,13,13.2,2.7,4.3,0,1,1150,1,0,0,0,8,15,1,448,+2,0,1,0,3,54.0,0,0,0,0,0,1,0,0,0,0,5,0,1,1200,74.3,1,0,0,0,16,6,3,54,2,2,0,0,38.8,446,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンバカーニバル,16,175.6,25.6,43.7,0,1,1150,1,0,0,0,8,16,11,450,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,1,0,0,14,1,0,2000,128.0,1,0,0,0,15,12,3,54,13,13,14,14,36.9,456,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
