馬名,着順,単オッズ,複オッズ小,複オッズ大,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,着順,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ケイティバローズ,2,3.0,1.1,1.4,0,1,1800,1,0,0,0,1,1,2,486,-2,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,114.0,1,0,0,0,16,9,3,54,2,2,2,2,39.1,488,0,0.2,0,0,0,0,0,0,0,0,1,0,3,0,1,1400,85.7,0,1,0,0,16,4,3,54,3,3,0,0,38.7,488,+4,1.7,0,0,0,0,0,0,0,0,1,0,8,0,1,1200,74.4,1,0,0,0,16,7,3,52,14,13,0,0,36.6,484,+2,1.1,0,0,0,0,0,0,0,0,1,0,5,0,1,1200,74.3,1,0,0,0,16,9,3,54,4,6,0,0,38.2,482,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グローバルハート,12,9.9,2.6,4.5,0,1,1800,1,0,0,0,1,2,5,458,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,7,1,0,1600,96.9,1,0,0,0,18,12,3,54,4,3,0,0,34.6,458,-6,0.8,0,0,0,0,0,0,0,1,0,0,4,1,0,1800,108.8,1,0,0,0,18,1,3,54,11,8,0,0,34.7,464,-2,0.5,0,0,0,0,0,0,0,0,1,0,7,1,0,1600,97.7,1,0,0,0,10,1,3,54,8,8,0,0,33.4,466,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ポワドサントゥール,13,363.7,51.7,99.8,0,1,1800,1,0,0,0,2,3,16,470,+6,0,1,0,3,52.0,0,0,0,0,0,0,0,0,1,0,11,0,1,1800,118.4,1,0,0,0,14,3,3,54,14,14,11,12,40.6,464,-4,3.4,0,0,0,0,0,0,0,0,1,0,9,0,1,1800,117.9,1,0,0,0,16,5,3,54,11,10,11,8,40.0,468,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラカ,5,3.0,1.3,1.7,0,1,1800,1,0,0,0,2,4,1,420,-4,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,2,0,1,1800,114.7,1,0,0,0,15,14,3,54,14,14,9,8,38.2,424,-8,0.0,0,0,0,0,0,0,0,0,1,0,2,0,1,1800,115.3,1,0,0,0,14,7,3,54,14,14,13,11,38.7,432,+2,0.3,0,0,0,0,0,0,0,1,0,0,5,1,0,2000,122.6,1,0,0,0,16,11,3,54,13,12,8,9,35.1,430,-4,0.8,0,0,0,0,0,0,0,1,0,0,4,1,0,2400,146.6,1,0,0,0,13,9,3,54,7,7,5,4,35.8,434,+2,0.5,0,0,0,0,0,0,0,0,1,0,4,1,0,2200,134.6,1,0,0,0,18,6,3,54,10,11,13,11,36.0,432,0,0.0
ジョウノグロリア,14,39.6,7.7,14.5,0,1,1800,1,0,0,0,3,5,9,462,+14,0,1,0,3,54.0,0,0,0,1,0,0,0,0,0,0,6,1,0,2000,123.2,1,0,0,0,15,7,3,52,6,6,7,7,36.6,448,+8,1.2,0,0,0,0,0,0,0,0,0,1,12,1,0,2000,123.2,1,0,0,0,18,2,3,54,13,13,14,16,36.0,440,-18,1.8,0,0,0,0,0,0,0,0,1,0,7,1,0,1600,97.7,1,0,0,0,9,3,3,54,5,5,0,0,36.2,458,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エーシンオマーン,11,9.6,1.8,3.0,0,1,1800,1,0,0,0,3,6,2,488,+2,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,3,0,1,1800,114.6,1,0,0,0,16,10,3,54,8,8,8,8,39.0,486,0,0.8,0,0,0,0,0,0,0,0,1,0,4,0,1,1800,114.8,1,0,0,0,15,7,3,54,7,8,7,6,38.7,486,+8,0.8,0,0,0,0,1,0,0,0,0,0,2,0,1,1600,100.5,1,0,0,0,16,15,3,54,4,3,0,0,38.2,478,-4,0.0,0,0,0,0,0,0,0,1,0,0,10,0,1,1800,115.9,1,0,0,0,16,12,3,54,12,12,8,9,40.3,482,+12,2.6,0,0,0,0,0,0,0,0,1,0,3,0,1,1800,116.0,1,0,0,0,16,7,3,54,7,7,5,4,38.5,470,+2,0.6
ウインドユナチャン,15,365.3,64.1,123.9,0,1,1800,1,0,0,0,4,7,0,456,0,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マコトエクサルシス,8,35.1,5.5,10.1,0,1,1800,1,0,0,0,4,8,3,458,+4,0,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,4,0,1,1400,87.2,0,0,0,1,10,4,3,54,5,5,5,0,37.9,454,0,1.0,0,0,0,0,0,0,0,1,0,0,7,0,1,1800,114.0,0,0,1,0,15,13,3,54,5,5,5,5,39.1,454,-6,0.9,0,0,0,0,0,0,0,0,1,0,5,0,1,1800,114.9,0,0,1,0,16,2,3,54,5,3,4,5,38.8,460,+4,0.6,0,0,0,0,0,0,0,0,1,0,6,1,0,1800,110.1,1,0,0,0,12,1,3,54,9,7,0,0,36.7,456,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビックセイラー,7,30.4,5.8,10.8,0,1,1800,1,0,0,0,5,9,4,516,-6,0,1,0,3,54.0,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,116.4,1,0,0,0,14,8,3,54,9,9,6,7,40.5,522,0,1.4,0,0,0,0,0,0,0,0,1,0,6,0,1,1800,115.1,1,0,0,0,15,1,3,54,4,4,4,4,39.4,522,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クーファスター,6,58.1,6.6,12.3,0,1,1800,1,0,0,0,5,10,2,480,+2,0,1,0,3,54.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1800,114.7,1,0,0,0,16,3,3,54,14,14,13,10,38.6,478,0,0.9,0,0,0,0,0,0,0,0,1,0,7,0,1,1800,113.7,0,0,0,1,13,13,3,54,6,6,6,7,39.4,478,+2,1.6,0,0,0,0,0,0,0,0,1,0,8,0,1,1800,115.7,1,0,0,0,15,10,3,54,11,12,10,9,39.3,476,+2,1.7,0,0,0,1,0,0,0,0,0,0,5,0,1,1800,117.1,1,0,0,0,14,7,3,54,11,11,9,10,39.7,474,0,0.8,0,0,0,0,0,0,0,0,0,1,10,1,0,1800,109.5,1,0,0,0,16,3,3,54,12,12,11,10,35.5,474,-16,1.1
