馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
オールマイト,10,128.9,1,1,6,478,-4,0,3,58.0,10,7,1,1000,0:59.9,1,14,5,3,56,6,5,0,0,36.2,482,+8,1.4,8,9,1,1900,2:05.5,0,10,1,3,56,1,1,1,2,43.8,474,-2,3.4,9,14,1,1400,1:29.5,1,16,7,3,56,8,11,0,0,41.1,476,+28,3.0,8,11,1,1800,1:56.9,0,13,1,3,55,1,1,1,2,41.1,448,-12,2.2,8,7,0,1800,1:52.6,0,8,2,3,55,1,1,0,0,35.9,460,0,1.7
リボンナイト,4,9.5,2,2,2,438,+6,0,5,60.0,9,3,-1,2970,3:23.5,-1,11,8,5,60,3,2,3,3,13.7,432,-8,1.4,10,5,-1,2860,3:16.0,-1,8,5,5,60,5,5,5,5,13.7,440,+8,4.3,10,11,1,1000,1:00.3,0,12,12,5,57,9,9,0,0,36.7,432,+4,1.2,9,12,1,1400,1:26.9,0,16,4,5,57,5,5,0,0,40.2,428,-9,2.6,-1,4,1,1400,1:26.4,0,8,6,5,52,3,4,3,0,38.8,437,0,0.4
オースミベリル,6,18.8,3,3,1,492,0,0,5,60.0,9,8,-1,2970,3:26.7,-1,9,8,5,60,4,5,6,7,13.9,492,+18,4.2,3,7,-1,2750,3:03.3,-1,13,11,5,60,2,2,5,6,13.3,474,0,3.7,5,3,-1,3000,3:34.0,-1,13,6,5,60,3,4,2,2,14.3,474,-4,0.6,6,8,-1,2880,3:14.1,-1,14,13,5,60,3,5,3,4,13.5,478,-4,2.7,6,4,-1,2880,3:15.7,-1,12,8,5,60,2,2,2,4,13.6,482,-6,1.0
レッドアルディ,12,71.9,4,4,2,494,-2,2,4,60.0,9,10,-1,2970,3:31.5,-1,11,7,4,60,11,11,11,11,14.2,496,+10,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,2400,2:34.7,1,13,11,4,56,7,7,10,13,40.7,486,+4,5.5,10,8,1,1700,1:47.4,1,11,5,4,56,3,5,6,8,38.4,482,-18,0.9,3,15,1,1700,1:52.0,0,15,5,4,55,7,7,11,14,42.2,500,0,6.0
ケイティクレバー,1,2.7,5,5,6,464,+4,0,4,60.0,10,8,0,1800,1:47.0,0,13,10,4,56,8,8,8,8,35.0,460,+8,0.6,5,11,0,2500,2:30.6,0,13,13,4,54,1,1,1,1,38.2,452,-4,2.4,3,13,0,2000,2:01.7,0,15,3,4,54,2,2,2,10,39.6,456,0,3.1,9,12,0,1800,1:47.3,0,15,9,4,54,4,4,0,0,36.1,456,-4,1.2,10,11,0,1800,1:47.4,0,14,10,4,54,8,10,10,9,34.4,460,+4,0.7
ゼンノサーベイヤー,9,5.5,5,6,9,510,-4,0,6,60.0,10,8,-1,2860,3:18.5,-1,11,2,6,60,2,3,7,7,13.9,514,-6,8.2,8,14,1,1200,1:13.2,0,15,8,6,56,14,15,0,0,36.6,520,0,1.9,8,11,1,1200,1:12.2,0,13,8,6,54,3,2,0,0,37.5,520,-2,1.5,8,1,1,1200,1:11.7,0,16,16,6,57,4,2,0,0,36.5,522,+2,-0.1,8,3,1,1200,1:11.4,0,12,1,6,57,1,1,0,0,36.7,520,+2,0.2
リネンソング,11,279.1,6,7,2,478,+12,0,6,60.0,6,13,1,1200,1:13.3,0,14,4,6,57,11,10,0,0,38.3,466,-2,2.2,4,9,-1,2850,3:13.1,-1,13,13,6,60,2,2,7,7,13.6,468,-2,5.4,5,12,-1,3000,3:27.2,-1,13,2,6,60,9,10,11,11,13.8,470,-2,5.9,4,13,-1,2890,3:17.8,-1,14,4,6,60,14,14,14,14,13.7,472,-6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
セネッティ,3,2.7,6,8,13,514,+4,0,6,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,3000,3:20.5,-1,14,10,6,60,6,7,7,7,13.4,510,+4,1.4,5,2,-1,3000,3:33.4,-1,13,9,6,60,2,2,3,3,14.2,506,+2,0.0,5,3,-1,3000,3:25.5,-1,14,12,6,60,3,3,3,4,13.7,504,+6,1.3,4,7,-1,2890,3:12.9,-1,14,6,6,60,7,7,8,8,13.3,498,+2,2.1
メイショウイライザ,7,9.2,7,9,2,440,+4,1,4,58.0,9,6,-1,2970,3:24.9,-1,11,3,4,58,7,7,6,6,13.8,436,0,2.8,10,13,0,1200,1:09.6,0,18,16,4,55,3,2,0,0,36.0,436,0,1.3,10,16,0,1200,1:09.8,0,18,4,4,55,13,12,0,0,35.9,436,-10,1.4,-1,1,1,1400,1:30.9,0,8,7,4,54,1,1,1,1,39.8,446,+4,-1.1,-1,1,1,1400,1:31.2,1,10,10,4,54,2,2,1,1,41.4,442,+3,-0.5
コスモロブロイ,2,66.2,7,10,16,510,0,0,4,60.0,5,15,1,1600,1:39.4,2,15,10,4,57,15,15,0,0,38.1,510,+6,3.0,5,11,1,1600,1:38.9,0,15,9,4,57,4,4,0,0,37.8,504,-18,1.1,5,16,1,1600,1:39.9,1,16,15,4,57,5,8,0,0,39.6,522,-10,3.9,6,13,1,1800,1:56.0,0,16,11,4,56,13,13,13,15,39.1,532,0,2.1,6,12,1,1800,1:54.8,0,15,2,4,56,3,4,7,9,38.2,532,+10,1.5
アキンド,5,40.4,8,11,3,496,0,0,3,58.0,6,10,-1,2880,3:24.6,-1,10,7,3,58,5,5,8,10,14.2,496,-2,5.3,10,4,-1,2860,3:16.2,-1,10,8,3,58,6,6,6,6,13.7,498,+2,6.4,10,10,-1,2860,3:23.0,-1,11,6,3,58,11,11,11,11,14.2,496,+6,12.7,5,13,0,1600,1:38.9,2,16,8,3,51,8,8,0,0,38.0,490,+6,3.1,3,10,0,2000,2:02.1,0,11,6,3,56,3,3,3,6,38.2,484,-6,2.1
ディード,8,49.3,8,12,7,494,-14,0,3,58.0,10,8,-1,2860,3:19.6,-1,10,4,3,58,10,10,10,10,14.0,508,+14,9.8,9,13,1,2000,2:10.7,0,16,6,3,56,6,5,9,12,39.6,494,+4,2.4,9,7,1,2000,2:09.6,0,14,12,3,56,3,3,4,4,40.3,490,-4,1.5,7,11,1,1800,1:58.1,0,16,6,3,56,9,8,3,4,39.5,494,+2,2.3,8,13,0,2000,2:05.2,0,15,14,3,56,9,9,11,13,37.2,492,-8,2.8
