馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
バラーディスト,14,17.8,1,1,12,464,-2,1,3,54.0,8,15,0,2000,2:05.7,0,15,10,3,54,4,4,4,4,38.9,466,-6,3.3,9,6,0,2000,2:03.9,0,10,2,3,54,6,5,6,6,37.2,472,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マイネルリャードフ,16,30.6,1,2,2,438,-2,0,3,56.0,9,12,0,2000,2:03.9,0,15,10,3,56,5,5,7,8,37.6,440,+8,2.1,8,9,0,2000,2:03.7,0,10,1,3,55,6,5,5,5,37.7,432,+4,2.4,8,3,0,2000,2:03.8,0,8,1,3,55,5,6,5,6,38.5,428,+2,1.5,9,6,0,1800,1:49.0,0,10,7,3,54,4,3,0,0,36.9,426,-10,2.2,9,2,0,1600,1:35.7,2,9,6,3,54,1,1,0,0,35.2,436,0,0.0
バリエンテドンナ,9,24.5,2,3,0,492,-2,1,3,54.0,3,6,0,2000,2:03.6,0,16,14,3,54,2,2,1,2,37.1,494,+18,1.2,7,8,0,2000,2:04.1,0,14,14,3,53,2,2,2,2,36.9,476,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アヴァターラ,17,6.1,2,4,6,502,-4,0,3,56.0,10,13,0,1800,1:51.1,0,16,3,3,56,6,8,10,14,36.7,506,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レッドレイル,4,13.2,3,5,4,452,+4,0,3,56.0,9,11,0,1600,1:38.6,1,16,16,3,56,12,11,0,0,35.9,448,-2,1.7,9,6,0,2000,2:05.6,0,12,10,3,55,6,6,5,2,36.6,450,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ナムラテンゲル,8,78.2,3,6,0,478,0,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マテラブレス,11,220.1,4,7,10,490,0,0,3,53.0,8,13,1,1800,1:59.7,1,16,2,3,56,8,8,10,12,40.0,490,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レシプロケイト,6,4.6,4,8,1,516,0,0,3,56.0,3,5,0,1800,1:50.2,0,16,2,3,56,3,2,2,2,36.6,516,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フクヒコ,12,189.9,5,9,1,460,0,0,3,56.0,3,9,0,2600,2:44.8,0,16,14,3,55,5,5,8,8,37.2,460,-4,1.9,7,11,0,2000,2:05.0,0,13,4,3,55,7,7,8,6,36.6,464,+8,2.3,8,6,0,2000,2:04.0,0,9,8,3,53,8,8,9,9,36.7,456,+2,2.1,4,9,1,1800,1:58.4,1,15,8,3,52,9,10,10,10,40.0,454,-10,4.1,1,13,0,2000,2:08.9,1,16,10,3,54,3,3,4,11,40.3,464,-8,2.0
アサケボス,13,445.2,5,10,0,452,-8,0,3,55.0,9,15,0,1600,1:38.1,0,18,4,3,55,14,15,0,0,35.5,460,+18,2.2,9,9,1,1400,1:28.3,1,13,6,3,54,13,13,0,0,38.8,442,-2,3.1,10,14,1,1000,1:01.9,3,14,1,3,51,14,14,0,0,37.5,444,+4,3.2,10,10,1,1000,1:02.0,0,12,9,3,51,9,11,0,0,37.7,440,+4,2.4,10,8,0,1200,1:13.2,0,8,1,3,51,5,8,0,0,37.0,436,0,3.8
