馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
スマートギャツビー,4,14.2,1,1,17,476,+2,2,4,59.0,4,11,1,1200,1:13.8,1,13,1,4,54,4,5,0,0,39.1,474,-2,2.1,9,14,1,1200,1:13.1,3,16,12,4,55,7,7,0,0,37.5,476,-4,2.3,8,1,1,1200,1:13.9,0,16,15,4,56,5,4,0,0,37.7,480,+4,0.0,4,3,1,1200,1:12.7,0,15,3,4,53,7,4,0,0,37.5,476,+6,0.6,3,4,1,1150,1:10.3,0,16,14,4,53,2,2,0,0,38.1,470,-6,1.1
ドラゴンバローズ,1,2.5,2,2,9,512,+4,0,7,60.0,7,4,-1,3000,3:23.1,-1,14,8,7,60,8,8,6,6,13.5,508,+16,1.4,4,11,1,1800,1:54.6,0,12,9,7,54,8,8,8,9,38.7,492,-4,2.8,10,6,1,1700,1:44.4,0,8,3,7,54,3,3,4,6,37.4,496,-2,1.3,7,11,1,1800,1:52.3,0,15,9,7,57,7,4,3,3,39.3,498,-6,3.2,8,16,1,1900,2:00.8,1,16,15,7,57,5,4,7,12,39.4,504,+6,2.9
シゲルキハダマグロ,中止,50.8,3,3,8,468,+6,0,6,60.0,9,9,-1,2970,3:24.3,-1,14,14,6,60,8,8,8,9,13.8,462,+12,4.0,4,7,-1,2850,3:07.5,-1,14,11,6,60,6,6,3,3,13.2,450,+4,3.9,9,6,-1,2970,3:21.9,-1,12,1,6,60,7,8,6,6,13.6,446,+6,2.7,10,10,-1,2860,3:13.2,-1,11,7,6,60,10,9,9,9,13.5,440,+2,2.8,3,12,1,1700,1:47.4,0,15,4,6,57,12,12,13,11,38.0,438,-12,1.8
クニノオーシャン,13,68.9,3,4,57,482,0,0,4,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1800,1:59.2,0,16,12,4,55,14,14,8,6,40.8,482,+2,1.5,5,4,1,1600,1:40.0,1,16,5,4,55,15,12,0,0,37.7,480,+6,1.6,5,3,1,1600,1:39.9,0,12,6,4,55,7,6,0,0,37.8,474,0,1.7,5,5,1,1600,1:38.3,3,14,13,4,55,13,12,0,0,36.5,474,+6,1.4
メイショウバッハ,9,4.9,4,5,9,498,+2,0,6,60.0,7,7,1,1400,1:24.4,0,14,12,6,53,3,5,0,0,36.6,496,+4,0.6,10,7,1,1700,1:44.6,0,10,10,6,53,2,2,2,2,36.6,492,-4,0.6,3,11,1,1700,1:47.2,0,15,13,6,57,2,2,2,3,38.6,496,+10,1.3,5,14,1,1600,1:37.6,2,16,2,6,53,1,1,0,0,39.7,486,-4,2.4,5,15,1,1600,1:38.5,0,16,6,6,57,2,2,0,0,38.8,490,-12,1.8
ハギノグランデ,11,48.0,4,6,25,602,-10,2,4,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,1400,1:29.9,0,16,6,4,55,4,7,0,0,41.9,612,+6,3.7,8,7,1,1400,1:27.6,0,16,7,4,56,9,8,0,0,38.8,606,-8,1.1,9,9,1,1400,1:27.5,1,15,15,4,55,5,5,0,0,38.9,614,+2,1.4,8,11,0,1800,1:52.0,0,11,6,4,54,4,4,0,0,39.1,612,+4,3.2
ブレイクスピアー,3,5.6,5,7,3,496,-6,0,4,59.0,7,5,-1,3000,3:20.7,-1,13,5,4,59,5,5,4,4,13.4,502,+14,1.8,6,5,-1,2880,3:14.4,-1,14,7,4,59,5,5,4,4,13.5,488,+2,2.6,3,5,-1,2750,3:04.4,-1,14,7,4,58,4,6,5,5,13.4,486,+4,4.6,4,8,-1,2850,3:09.6,-1,14,10,4,58,7,7,10,9,13.3,482,-4,4.7,1,6,1,1700,1:47.4,2,13,3,4,56,3,3,4,4,39.5,486,+2,0.5
ライブリシュネル,2,11.7,5,8,11,498,+12,0,9,60.0,6,13,0,1600,1:34.5,0,13,2,9,57,13,13,13,0,35.3,486,+8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,-1,2890,3:12.3,-1,14,12,9,60,3,4,7,5,13.3,478,0,0.9,5,16,1,1400,1:26.2,1,16,12,9,52,12,15,0,0,37.7,478,0,3.4,5,18,0,1400,1:22.5,0,18,17,9,57,8,9,0,0,35.6,478,-4,1.9
ロスカボス,10,13.0,6,9,9,490,-18,2,6,60.0,6,14,1,1200,1:12.3,0,16,16,6,57,5,5,0,0,38.9,508,-2,1.3,5,14,1,1600,1:39.5,0,16,7,6,57,13,12,0,0,37.7,510,+10,2.2,4,14,0,1600,1:34.6,0,15,9,6,57,13,14,0,0,32.7,500,0,1.3,3,12,1,1700,1:47.0,2,15,8,6,57,12,12,12,11,38.4,500,-2,3.0,5,3,1,1600,1:36.1,2,15,4,6,57,13,13,0,0,35.3,502,+4,0.9
ナムラスパルタクス,6,51.6,6,10,9,490,+8,0,5,60.0,9,7,1,1400,1:25.1,0,16,10,5,57,10,8,0,0,37.6,482,-2,0.9,5,9,-1,3000,3:28.6,-1,14,5,5,60,9,11,10,9,13.9,484,0,6.2,4,7,1,1200,1:11.0,2,15,7,5,56,12,11,0,0,35.5,484,+8,0.7,8,8,1,1400,1:26.4,0,13,1,5,57,11,7,0,0,37.9,476,0,2.1,9,9,1,1200,1:11.8,3,16,6,5,57,14,13,0,0,35.2,476,-2,1.0
レッドクライム,8,23.0,7,11,7,466,+6,2,5,60.0,-1,2,1,1400,1:30.8,1,11,7,5,56,6,6,2,2,39.8,460,-4,0.7,1,8,0,1800,1:51.4,0,13,11,5,57,12,12,12,10,35.4,464,-4,1.2,-1,9,1,1800,2:03.9,0,9,4,5,56,5,3,3,7,46.7,468,+6,4.6,3,7,1,1700,1:47.6,0,15,13,5,57,11,12,8,8,38.7,462,+6,2.2,-1,2,1,1400,1:28.0,1,9,1,5,57,3,4,3,0,38.3,456,-12,0.4
オースミベリル,5,90.4,7,12,9,488,+8,0,5,60.0,9,13,1,1800,1:55.6,0,15,9,5,57,8,8,8,13,40.0,480,+2,3.4,3,10,-1,2750,3:05.0,-1,12,3,5,60,7,6,11,10,13.5,478,-4,3.5,8,9,1,1800,1:55.5,1,11,2,5,57,6,6,7,8,40.2,482,-4,3.4,9,9,1,1400,1:26.3,1,16,8,5,57,13,16,0,0,37.9,486,-8,1.8,9,10,0,1400,1:21.6,0,17,18,5,57,3,2,0,0,35.4,494,+6,1.1
ニシノエアレス,7,23.8,8,13,9,462,-2,1,5,58.0,7,12,0,1200,1:09.7,0,18,12,5,55,17,17,0,0,33.2,464,0,0.7,3,10,0,1200,1:09.3,0,16,16,5,55,16,15,0,0,33.9,464,-4,0.6,9,11,0,1400,1:23.5,2,18,10,5,55,13,13,0,0,35.2,468,+2,0.9,10,2,0,1200,1:07.8,0,18,7,5,55,16,14,0,0,33.6,466,+8,0.1,9,11,0,1200,1:09.7,0,15,5,5,55,13,13,0,0,33.7,458,+2,0.9
アドバンスゴード,12,11.7,8,14,3,524,+6,0,7,60.0,7,4,-1,3000,3:19.8,-1,14,14,7,60,5,5,6,5,13.3,518,-2,2.0,7,7,-1,3000,3:21.7,-1,14,7,7,60,4,4,4,4,13.4,520,+2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,-1,2890,3:17.2,-1,14,4,7,60,6,6,4,5,13.6,516,0,1.7,10,13,1,1000,1:00.6,1,14,14,7,57,8,10,0,0,37.3,516,0,1.7
