馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ハートレー,11,25.2,1,1,7,474,+6,2,6,56.0,6,5,0,1800,1:48.3,0,11,11,6,56,9,9,8,8,34.6,468,-4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,2600,2:44.9,0,14,4,6,56,2,2,2,3,40.5,472,-2,2.3,5,3,0,2400,2:24.9,0,11,2,6,56,6,6,9,8,33.7,474,-4,0.1,6,5,0,1800,1:48.3,0,12,3,6,56,7,6,7,7,35.1,478,-8,0.5
ノーブルマーズ,9,5.7,2,2,3,498,+4,0,6,56.0,8,4,0,2400,2:26.4,0,16,11,6,56,9,9,14,10,36.8,494,+2,0.2,5,13,0,2400,2:24.8,0,14,13,6,57,2,2,2,2,38.2,492,-4,4.2,5,9,0,2500,2:34.4,0,12,2,6,56,2,2,3,3,33.6,496,+6,0.7,9,3,0,2200,2:12.1,1,16,2,6,58,10,9,7,7,36.1,490,0,0.5,5,2,0,2500,2:29.8,0,16,4,6,55,3,2,2,3,34.4,490,+4,0.1
アクションスター,12,400.4,3,3,2,480,0,0,9,56.0,6,11,0,2200,2:15.0,0,11,2,9,56,11,11,10,10,35.0,480,+12,1.3,8,10,0,2000,2:01.1,0,15,15,9,51,12,12,12,13,34.2,468,-4,0.7,5,11,0,2000,1:59.7,0,12,13,9,58,11,12,12,0,35.3,472,+2,2.9,5,11,0,1800,1:46.6,0,13,8,9,56,13,12,13,0,34.6,470,-2,2.1,6,14,0,2500,2:38.6,0,15,13,9,56,15,15,14,14,37.2,472,-4,4.7
ケントオー,5,80.9,4,4,3,474,+4,0,7,56.0,8,7,0,2400,2:26.6,0,16,9,7,55,11,12,15,15,36.8,470,+6,0.4,9,9,0,2000,1:59.5,0,12,6,7,56,11,11,11,11,34.1,464,0,1.2,8,4,0,2000,2:00.9,0,15,1,7,55,3,3,4,4,34.7,464,+4,0.5,8,7,0,2400,2:26.5,0,11,6,7,56,3,3,4,6,35.3,460,-4,1.1,4,7,0,2000,2:00.4,0,16,3,7,56,11,10,0,0,32.9,464,0,0.4
ブラックバゴ,6,20.6,5,5,4,528,0,0,7,56.0,6,10,0,2000,1:59.5,0,16,14,7,56,16,16,14,11,34.8,528,+8,0.3,6,6,0,2200,2:11.9,0,12,10,7,56,10,11,9,9,34.9,520,-14,0.7,2,10,0,2000,2:00.6,0,15,1,7,56,11,11,10,10,35.1,534,+4,0.8,6,4,0,2000,1:59.9,0,17,7,7,56,16,16,17,17,33.8,530,+14,0.1,8,1,0,2000,2:01.4,2,15,8,7,54,13,13,11,7,35.0,516,-4,-0.2
ダッシングブレイズ,7,180.8,5,6,3,510,+2,0,7,56.0,8,8,0,2400,2:27.1,0,16,13,7,56,15,15,15,10,37.4,508,+2,0.9,9,11,0,2000,2:00.1,0,12,5,7,56,8,10,10,10,34.8,506,0,1.8,8,5,0,1800,1:48.1,0,12,8,7,58,6,5,0,0,34.6,506,+6,0.6,5,14,0,1600,1:32.7,0,16,3,7,58,9,7,0,0,34.9,500,-6,1.4,8,8,0,1600,1:32.5,0,14,7,7,56,11,10,0,0,34.3,506,-6,1.2
パフォーマプロミス,4,6.0,6,7,6,460,-4,0,7,57.0,6,14,0,2500,2:33.7,1,16,5,7,57,11,11,12,12,36.7,464,+10,1.5,5,1,0,2500,2:33.7,0,12,6,7,56,6,6,6,5,32.6,454,+6,-0.1,9,9,0,2200,2:12.6,1,16,7,7,58,10,12,13,13,36.2,448,-4,1.0,5,3,0,2500,2:29.8,0,16,8,7,56,3,5,5,5,34.2,452,0,0.1,8,1,0,2400,2:26.3,0,12,7,7,54,3,3,4,3,34.4,452,0,0.0
ダンビュライト,1,8.5,6,8,2,492,+2,0,5,56.0,6,6,0,2200,2:14.4,0,11,5,5,57,5,4,4,4,34.9,490,-6,0.7,9,4,0,2000,1:59.0,0,12,3,5,57,8,8,9,9,33.8,496,+14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2200,2:11.7,0,12,2,5,57,6,6,6,9,34.9,482,+2,0.5,9,5,0,2200,2:12.3,1,16,8,5,58,6,5,5,7,36.4,480,+12,0.7
カフジプリンス,10,137.0,7,9,71,538,+24,0,6,56.0,6,13,0,2200,2:15.1,0,17,15,6,56,7,7,8,13,34.8,514,-10,1.3,4,3,0,2000,1:57.9,0,17,7,6,55,3,3,0,0,34.2,524,0,0.0,10,5,0,2000,1:58.4,0,13,4,6,55,10,9,8,9,36.0,524,+4,0.8,5,7,0,2500,2:31.7,0,18,4,6,55,10,11,11,11,34.6,520,-8,0.8,5,4,0,2400,2:24.5,0,13,4,6,56,2,3,3,3,35.5,528,+12,0.4
ステイフーリッシュ,2,3.4,7,10,4,460,+4,0,4,56.0,6,2,0,2000,1:59.3,0,16,15,4,56,12,12,3,2,35.4,456,+6,0.1,9,3,0,2000,1:59.0,0,12,10,4,56,7,6,6,6,34.2,450,-2,0.7,8,11,0,3000,3:07.5,0,18,16,4,57,14,14,14,14,34.8,452,-2,1.4,9,5,0,2400,2:26.4,0,10,4,4,56,3,3,3,3,35.2,454,+2,0.8,5,10,0,2400,2:24.2,0,18,10,4,57,8,10,11,11,34.3,452,-2,0.6
