
1,1,シンボリクリスエス,テーオーフォース,キャンディーストア,(スペシャルウィーク),栗東・岡田,中6週,484kg(+6),---.-,**,牡5黒鹿,浜中,53.0
2019.10.01,金沢,4,白山大賞典,GIII,ダ2100,2:16.4,良,9頭,8番,4人,松若風馬,54.0,4-4-5-4,(38.8),522(+8),グリム(0.5)
2019.07.15,盛岡,3,マーキュリ,GIII,ダ2000,2:03.7,良,14頭,9番,3人,松若風馬,54.0,2-2-2-2,(38.1),514(-12),グリム(0.5)
4,7,Run,Away,and,Hide,アポロテネシー,Font,(Pulpit),栗東・山内,中2週,512kg(-2),---.-,**,牡5鹿,松山,54.0
2020.02.08,京都,4,アルデバラ,OP,ダ1900,1:58.5,良,16頭,9番,7人,松山弘平,56.0,4-4-3-3,(37.2),514(+8),ロードレガリス(1.2)
2019.12.29,大井,9,東京大賞典,GI,ダ2000,2:08.3,稍,13頭,1番,7人,武豊,57.0,1-1-1-1,(42.1),506(-10),オメガパフューム(3.4)
2019.12.19,名古屋,5,名古屋グラ,GII,ダ2500,2:44.2,稍,12頭,9番,5人,三浦皇成,56.0,3-3-3-5,(40.9),516(+2),デルマルーヴル(1.8)
2019.11.17,東京,1,晩秋S,3勝,ダ2100,2:09.8,良,16頭,15番,2人,三浦皇成,55.0,2-2-2-2,(38.2),514(+6),フリーフリッカー(-0.4)
2019.11.02,東京,1,3歳上2勝クラス,ダ2100,2:10.2,良,9頭,5番,4人,藤岡佑介,57.0,2-2-2-2,(36.1),508(-12),スーパーフェザー(-1.0)
4,8,ブラックタイド,デザートスネーク,ジョイアサーティン,(フォーティナイナー),美浦・武井,中8週,488kg(+6),---.-,**,セ6鹿,松田,55.0
2019.12.28,阪神,3,ベテルギウ,L,ダ1800,1:52.1,稍,16頭,9番,8人,松田大作,56.0,2-2-2-2,(36.4),482(-4),ワイルドカード(0.4)
3ヵ月休養鉄砲,[1.0.1.2]2走目,[1.1.0.1]
2019.09.22,中山,1,内房S,3勝,ダ1800,1:52.9,良,15頭,12番,4人,三浦皇成,56.0,2-2-2-2,(37.6),486(0),グラスブルース(-0.2)
2019.06.29,中京,8,白川郷S,3勝,ダ1800,1:51.5,重,16頭,7番,6人,幸英明,56.0,6-6-6-5,(37.9),486(-4),メイプルブラザー(1.2)
2019.04.27,東京,8,春光S,1600下,ダ2100,2:12.8,稍,12頭,13番,1人,三浦皇成,57.0,3-3-4-2,(39.3),490(+2),サノサマー(1.8)
5,9,ネオユニヴァース,ジュンヴァルカン,ピンクリップス,(エンドスウィープ),栗東・友道,中42週,542kg(+18),---.-,**,牡7鹿,藤井勘,54.0
10ヵ月休養鉄砲,[2.0.1.3]2走目,[0.1.0.3]
2019.05.05,東京,5,ブリリアン,L,ダ2100,2:08.4,重,16頭,13番,5人,レーン,54.0,14-10-13-12,(35.7),524(-20),アングライフェン(0.3)
2019.02.02,京都,7,アルデバラ,OP,ダ1900,1:58.2,稍,15頭,15番,5人,松山弘平,56.0,10-10-10-11,(37.3),544(+6),アングライフェン(0.6)
2018.12.28,阪神,7,ベテルギウ,OP,ダ1800,1:52.9,良,16頭,2番,3人,岩田康誠,56.0,8-6-7-8,(37.6),538(+14),ロードアルペジオ(0.4)
2018.11.18,福島,12,福島民友C,OP,ダ1700,1:46.5,良,15頭,15番,3人,荻野極,56.0,7-8-11-13,(38.3),524(-2),ヒラボクラターシュ(1.4)
5,10,プリサイスエンド,メイショウウタゲ,シールビーバック,(フジキセキ),栗東・安達,中4週,518kg(+2),---.-,**,牡9栗,高倉,56.0
2020.01.26,京都,11,東海S,GII,ダ1800,1:51.8,重,16頭,9番,16人,城戸義政,56.0,13-12-11-12,(37.0),516(0),エアアルマス(1.6)
2019.12.28,阪神,13,ベテルギウ,L,ダ1800,1:53.6,稍,16頭,14番,14人,鮫島克駿,59.0,14-14-13-10,(36.7),516(+4),ワイルドカード(1.9)
2019.11.03,京都,中,みやこS,GIII,ダ1800,,良,16頭,15番,16人,国分恭介,56.0,16-16-15-15,(0.0),512(-8),ヴェンジェンス(0.0)
2019.02.17,東京,14,フェブラリ,GI,ダ1600,1:37.9,良,14頭,4番,13人,北村宏司,57.0,10-10,(36.7),520(0),インティ(2.3)
2019.01.27,東京,15,根岸S,GIII,ダ1400,1:25.6,良,16頭,13番,10人,酒井学,56.0,15-16,(36.7),520(+6),コパノキッキング(2.1)
6,11,ダイワメジャー,ノーヴァレンダ,モンプティクール,(クロフネ),栗東・斉藤崇,中2週,534kg(+4),---.-,**,牡4黒鹿,シュタ,56.0
2020.02.11,佐賀,3,佐賀記念,GIII,ダ2000,2:07.4,良,12頭,8番,5人,Ａ．シュ,55.0,5-5-4-4,(38.6),530(+6),ナムラカメタロー(0.7)
2019.11.17,福島,5,福島民友C,L,ダ1700,1:45.7,良,15頭,14番,7人,中谷雄太,54.0,5-5-2-3,(38.0),524(0),マイネルユキツバキ(0.3)
2019.11.03,京都,14,みやこS,GIII,ダ1800,1:52.8,良,16頭,13番,11人,松山弘平,54.0,6-6-9-11,(40.4),524(-3),ヴェンジェンス(3.7)
2019.10.01,金沢,3,白山大賞典,GIII,ダ2100,2:16.1,良,9頭,6番,5人,和田竜二,52.0,2-2-2-1,(39.3),527(-3),グリム(0.2)
2019.06.16,東京,9,ユニコーン,GIII,ダ1600,1:36.8,重,13頭,14番,5人,北村友一,56.0,5-5,(37.9),530(+2),ワイドファラオ(1.3)
6,12,エンパイアメーカー,コマビショウ,サウンドバイト,(ホワイトマズル),栗東・南井,中4週,500kg(-2),---.-,**,牡5黒鹿,和田,55.0
2020.01.26,京都,10,東海S,GII,ダ1800,1:51.7,重,16頭,2番,9人,和田竜二,56.0,6-5-6-7,(37.3),502(+4),エアアルマス(1.5)
2019.12.28,阪神,11,ベテルギウ,L,ダ1800,1:53.4,稍,16頭,5番,3人,藤岡康太,56.0,8-8-8-10,(36.8),498(+10),ワイルドカード(1.7)
2019.10.13,京都,1,平城京S,3勝,ダ1800,1:50.9,重,9頭,6番,1人,川田将雅,57.0,9-9-7-7,(36.2),488(0),グレートタイム(0.0)
2019.09.21,阪神,1,3歳上2勝クラス,ダ2000,2:03.8,稍,13頭,3番,1人,川田将雅,57.0,9-8-8-6,(37.2),488(0),スズカフロンティア(-1.0)
2019.09.01,小倉,4,西日本スポ,2勝,ダ1700,1:44.3,不,16頭,12番,2人,川田将雅,57.0,9-9-8-8,(37.2),488(+2),ゴールドラグーン(0.5)
7,13,エンパイアメーカー,ナムラアラシ,ナムラシゲコ,(エンドスウィープ),栗東・牧田,中6週,524kg(-10),---.-,**,牡7鹿,幸,57.0
