馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ドーントレス,5,14.6,3.0,5.4,1200,1,1,3,440,-4,56.0,10,110.2,18,5,56,8,8,0,36.3,444,-6,1.1,4,85.3,16,16,5,4,38.4,450,-2,1.1,8,87.2,15,13,2,2,38.5,452,-2,0.7,9,97.5,4,2,36.5,454,-4,1.2,6,74.7,3,38.5,458,+4,1.1
タイタンフォンテン,8,101.9,9.8,18.4,1200,2,2,3,468,0,56.0,8,73.7,16,14,56,6,8,0,38.7,468,+2,1.6,9,73.3,16,1,4,4,38.2,466,-10,1.1,5,60.4,14,3,9,9,36.7,476,-6,0.6,14,74.6,3,9,39.6,482,+2,3.0,9,75.3,8,39.6,480,0,2.0
コンプトンジュエル,10,5.2,1.6,2.5,1200,2,3,3,436,0,56.0,6,70.9,16,16,56,5,4,0,36.8,436,-6,0.6,16,97.6,16,12,1,3,37.3,442,+6,1.4,3,71.4,10,8,2,2,36.7,436,+2,0.2,4,71.3,3,3,36.7,434,0,1.0,0,0,0,0,0,0,0
マダムプレジデント,14,96.3,15.5,29.6,1200,3,4,0,486,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ディアザイン,9,76.8,9.1,17.1,1200,3,5,2,486,-4,56.0,10,73.7,16,9,56,4,5,0,38.2,490,0,0.9,10,74.3,16,12,2,2,39.1,490,+4,1.1,17,128.4,18,10,10,9,37.4,486,+2,3.3,11,111.1,6,6,41.0,484,+2,2.6,9,112.8,14,36.4,482,0,0.8
シゲルカカオ,13,92.5,12.9,24.6,1200,4,6,3,462,-2,54.0,16,87.6,17,6,54,5,5,0,40.3,464,-10,3.9,0,0,0,0,0,0,0,0,0,0,12,88.3,14,6,1,2,40.6,474,+4,2.7,7,98.1,3,4,35.3,470,0,0.9,0,0,0,0,0,0,0
アートオブキング,1,8.9,2.3,3.9,1200,4,7,3,450,+2,56.0,12,110.6,18,15,56,2,2,0,37.1,448,-6,1.5,16,87.0,18,14,2,3,40.0,454,+2,1.7,2,100.5,16,10,1,1,36.1,452,-8,0.0,9,119.4,5,3,41.7,460,+2,1.8,3,116.5,6,39.0,458,0,1.3
ナイスルール,7,163.4,19.5,37.3,1200,5,8,3,452,+2,56.0,10,123.6,16,7,56,4,4,3,36.9,450,+4,2.1,0,0,0,0,0,0,0,0,0,0,12,99.0,16,16,6,9,35.3,446,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヒカリホクサイ,2,2.0,1.1,1.2,1200,5,9,2,466,+6,56.0,2,70.0,16,14,56,6,4,0,37.3,460,-4,0.3,3,73.3,16,15,2,2,39.0,464,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハバネラ,15,222.4,24.4,46.8,1200,6,10,4,430,-10,51.0,15,117.5,15,1,54,5,6,13,46.9,440,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハクユウリリー,4,22.7,3.7,6.7,1200,6,11,3,422,0,54.0,8,73.9,16,8,54,1,1,0,39.1,422,-4,0.9,6,75.5,15,5,1,1,40.1,426,+2,1.8,6,59.5,14,10,2,2,36.5,424,0,1.0,3,60.9,1,1,37.3,424,-6,0.8,5,61.3,13,38.3,430,+8,1.2
ドラゴンエッグ,3,8.4,1.8,3.0,1200,7,12,4,454,-2,54.0,11,74.6,16,8,54,8,12,0,37.2,456,+4,1.6,3,72.9,16,12,7,6,36.7,452,-4,0.4,14,70.2,16,16,9,10,36.0,456,-6,0.9,3,61.0,13,6,37.2,462,+2,0.5,4,61.1,13,37.0,460,-8,1.0
ワイルドガンズ,6,18.2,3.3,6.0,1200,7,13,10,456,-4,53.0,7,115.6,15,2,56,8,7,7,38.5,460,-6,1.8,10,89.1,16,1,13,14,38.8,466,+12,2.5,4,86.9,14,6,7,8,37.9,454,-14,1.6,4,87.1,8,5,38.7,468,0,1.2,0,0,0,0,0,0,0
シルクダヴィンチ,11,18.5,3.9,7.0,1200,8,14,7,494,-6,56.0,7,86.1,16,5,53,8,5,0,38.5,500,0,1.5,7,119.0,16,6,12,10,40.2,500,-2,1.4,10,83.1,16,15,15,14,38.6,502,+10,2.4,4,87.6,3,14,37.7,492,0,0.7,0,0,0,0,0,0,0
スポーツコート,12,23.5,3.5,6.2,1200,8,15,4,460,-8,56.0,12,74.1,15,9,56,10,10,0,38.7,468,0,1.0,2,73.8,15,10,5,4,37.5,468,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
