1,ゴーゴージャグラー,4,3,1/360,1/205,"1,438",210,0
2,ゴーゴージャグラー,6,6,1/270,1/135,"1,621",331,0
3,ゴーゴージャグラー,1,0,1/288,1/288,288,256,0
5,ゴーゴージャグラー,3,5,1/681,1/255,"2,042",164,0
6,ゴーゴージャグラー,0,0,-,-,246,246,0
7,ゴーゴージャグラー2,0,1,-,1/556,556,189,0
8,ゴーゴージャグラー2,24,18,1/220,1/126,"5,290",261,0
